IdAluno;Resultado;11>;11>48>;11>48>14>;11>9>;13>;14>;14>11>;14>11>48>;14>14>;14>14>14>;14>14>31>;14>14>41>;14>31>;14>31>11>;14>31>14>;14>31>14>31>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>30>31>30>31>;14>31>30>41>;14>31>30>48>;14>31>31>;14>31>31>30>;14>31>41>;14>31>48>;14>32>;14>32>31>;14>38>;14>38>33>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>48>;14>49>;14>49>14>;14>7>;14>8>;15>;16>;16>31>;16>31>14>;16>31>30>;16>31>30>30>;16>31>30>30>30>;17>;17>30>;17>30>30>;17>30>31>;17>31>;28>;28>30>;28>31>;29>;29>14>;29>30>;29>4>;29>4>13>;29>48>;30>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>30>30>30>30>30>30>;30>30>30>31>;30>30>31>;30>30>31>30>;30>30>48>;30>31>;30>31>14>;30>31>14>31>;30>31>30>;30>31>30>30>;30>31>30>30>30>;30>31>30>31>;30>31>30>31>30>;30>31>30>31>30>31>;30>31>30>31>30>31>30>;30>31>30>31>30>31>30>31>;30>32>;30>41>;30>48>;30>48>14>;31>;31>11>;31>14>;31>14>31>;31>14>31>30>;31>14>41>;31>15>;31>16>;31>16>31>;31>30>;31>30>14>;31>30>14>31>;31>30>14>31>30>;31>30>30>;31>30>30>14>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>31>;31>30>31>;31>30>31>14>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>31>30>31>30>31>;31>30>31>30>31>30>31>30>;31>30>32>;31>30>41>;31>30>48>;31>31>;31>31>14>;31>31>30>;31>31>31>;31>31>41>;31>32>;31>41>;31>41>41>;31>48>;31>48>29>;31>48>30>;32>;32>14>;32>14>31>;32>14>31>30>;32>31>;32>31>30>;33>;34>;34>36>;34>36>37>;34>37>;34>37>38>;36>;36>34>;36>34>37>;36>34>37>38>;36>36>;36>36>34>;36>36>34>37>;36>36>34>37>38>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>37>;37>;37>34>;37>36>;37>38>;38>;38>14>;38>33>;38>36>;4>;4>13>;41>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;42>;48>;48>14>;48>14>31>;48>29>;48>29>4>;48>29>4>13>;48>29>48>;48>30>;48>30>30>;48>31>;48>48>;48>48>48>;48>48>48>48>;48>48>48>48>48>;48>49>;49>;49>14>;49>14>31>;49>14>31>30>;49>48>;49>49>;49>49>14>;49>49>49>;49>49>49>49>;49>49>49>49>49>;5>;6>;6>6>;7>;8>;9>
30609-5102;insucesso;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30639-5102;SUCESSO;0;0;0;0;0;60;0;0;4;0;2;0;28;0;0;0;17;0;7;3;2;1;0;0;0;0;4;2;0;0;0;0;3;1;6;2;0;0;0;2;0;1;0;0;4;4;0;4;1;0;2;2;0;0;0;4;4;0;1;0;0;0;0;1;47;2;0;0;0;22;1;10;0;6;2;1;0;0;0;0;0;0;0;0;2;3;0;0;7;1;0;0;0;0;0;0;0;0;0;0;6;1;0;54;0;2;0;0;0;0;0;0;36;1;0;0;13;0;6;4;1;1;0;3;0;0;0;0;0;0;0;0;0;9;0;4;2;1;1;4;0;0;0;0;2;0;0;0;1;0;1;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;7;2;1;0;0;0;29;6;2;5;0;2;0;1;0;5;3;1;1;1;0;0;1;1;0;0;0;0;0;0;0;5;0;0;0;0;2;0;0;0;0;0;0;0;8;5;0
30698-5102;insucesso;0;0;0;0;0;10;0;0;0;0;0;0;4;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;3;1;0;1;1;3;2;1;1;0;0;0;0;0;0;0;1;3;0;1;1;4;1;3;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30786-4912;SUCESSO;7;0;0;1;0;44;7;0;6;0;0;0;16;0;5;0;6;2;2;1;1;1;0;0;0;0;1;0;0;1;0;0;1;1;17;2;3;0;0;1;0;1;0;0;2;2;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;11;4;1;1;1;4;2;3;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;29;0;11;4;3;3;0;0;0;9;3;1;0;3;1;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;4;1;2;1;1;0;1;0;3;0;3;0;0;0;0;0;0;1;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;5;2;1;2;0;0;28;5;0;5;0;2;0;0;0;0;3;1;0;0;0;0;0;3;1;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1
30812-4912;SUCESSO;3;0;0;0;0;19;1;0;1;0;1;0;11;0;0;0;2;0;0;0;0;0;0;0;0;0;4;1;0;2;0;0;2;0;1;0;0;0;0;0;0;0;0;0;4;4;0;1;0;0;4;3;0;2;1;4;1;0;0;0;0;0;0;0;18;1;1;0;0;5;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;5;1;0;3;1;0;0;0;0;0;0;0;0;0;0;32;0;1;0;0;0;0;0;0;11;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;8;0;2;1;1;0;1;0;3;0;1;0;0;0;0;0;0;2;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;6;1;1;0;0;0;15;0;0;4;0;1;0;0;0;0;4;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
31256-5102;insucesso;0;0;0;0;0;9;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;2;1;1;0;1;1;1;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31390-5102;insucesso;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;2;1;2;1;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31451-5102;SUCESSO;0;0;0;0;0;25;0;0;0;0;0;0;6;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;0;0;0;0;0;0;0;3;3;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;9;6;0;0;2;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;1;1;0;0;0;0;0;0;2;0;0;14;0;1;0;0;0;0;0;0;8;5;0;0;2;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;3;1;1;0;2;0;0;0;2;0;0;0;1;0;0;1;2;0;1;0;0;0;14;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31456-4912;insucesso;0;0;0;0;0;15;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;2;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
31476-5102;SUCESSO;0;0;0;0;1;53;0;0;0;0;0;0;29;0;3;0;22;6;5;2;1;3;3;0;0;0;2;1;0;0;1;1;3;0;8;1;0;0;1;2;0;1;0;0;3;3;1;2;0;0;1;1;0;1;0;4;4;0;0;0;0;0;0;0;54;15;10;7;3;14;6;5;0;3;1;1;0;0;0;0;0;0;0;0;1;1;0;0;15;6;0;10;0;0;7;3;0;0;0;2;0;0;0;51;0;13;6;5;2;0;0;0;37;7;5;0;8;3;4;3;1;1;0;12;0;9;7;0;0;0;0;0;0;3;0;1;0;0;1;0;0;0;0;0;5;3;0;0;2;0;2;2;1;0;1;0;4;1;1;0;1;0;0;0;0;0;0;0;2;1;0;0;7;2;2;1;0;0;15;1;1;1;0;1;0;0;0;0;3;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0
