IdAluno;Resultado;11>;11>14>;11>48>;11>48>29>;11>9>;11>9>11>;11>9>11>14>;14>;14>11>;14>11>48>;14>11>48>29>;14>11>9>;14>11>9>11>;14>11>9>11>14>;14>14>;14>14>31>;14>31>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>30>30>30>30>;14>31>30>30>30>30>30>30>;14>31>30>30>30>30>30>30>30>;14>31>30>30>30>30>30>30>30>30>;14>31>30>30>30>30>30>30>30>30>30>;14>31>30>30>30>30>30>30>30>30>30>30>;14>31>30>30>30>30>30>30>48>;14>31>30>30>30>30>30>30>48>30>;14>31>30>30>31>;14>31>30>30>31>30>;14>31>30>31>;14>31>30>31>30>;14>31>30>31>30>30>;14>31>30>31>30>30>31>;14>31>30>31>31>;14>31>30>31>31>48>;14>31>30>31>31>48>30>;14>31>31>;14>31>31>31>;14>31>31>31>41>;14>32>;14>32>31>;14>32>31>14>;14>38>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>31>;14>41>41>41>41>;14>41>41>41>41>7>;14>48>;14>48>14>;14>48>29>;14>48>29>29>;14>48>29>29>14>;14>48>48>;14>7>;16>;16>31>;16>31>30>;16>31>30>31>;16>31>30>31>30>;16>31>30>31>30>31>;16>31>30>31>30>31>30>;16>31>30>31>30>31>30>30>;16>31>31>;16>31>31>14>;16>31>31>14>11>;16>31>31>14>11>9>;16>31>31>14>11>9>11>;16>31>31>14>11>9>11>14>;16>31>32>;16>31>32>31>;16>31>32>31>14>;16>31>32>31>14>31>;16>31>32>31>14>31>30>;16>31>32>31>14>31>30>14>;17>;17>30>;17>30>14>;17>31>;17>31>14>;17>31>14>31>;17>31>14>48>;17>31>14>48>14>;17>31>32>;17>31>32>14>;17>31>32>14>31>;17>31>48>;24>;24>32>;24>32>24>;24>32>24>32>;24>32>24>32>24>;24>32>24>32>24>32>;24>32>24>32>24>32>32>;24>32>24>32>24>32>32>24>;24>32>24>32>24>32>32>24>32>;24>32>24>32>24>32>32>24>32>24>;24>32>24>32>24>32>32>24>32>24>32>;24>32>24>32>24>32>32>24>32>24>32>24>;24>32>24>32>24>32>32>24>32>24>32>24>32>;24>32>24>32>24>32>32>24>32>24>32>24>32>32>;24>32>24>32>24>32>32>24>32>24>32>24>32>32>24>;24>32>24>32>24>32>32>24>32>24>32>24>32>32>24>32>;24>32>24>32>32>;24>32>24>32>32>24>;24>32>24>32>32>24>32>;24>32>24>32>32>24>32>24>;24>32>24>32>32>24>32>24>32>;24>32>24>32>32>24>32>24>32>24>;24>32>24>32>32>24>32>24>32>24>32>;24>32>24>32>32>24>32>24>32>24>32>32>;24>32>24>32>32>24>32>24>32>24>32>32>24>;24>32>24>32>32>24>32>24>32>24>32>32>24>32>;24>32>32>;24>32>32>24>;24>32>32>24>32>;24>32>32>24>32>24>;24>32>32>24>32>24>32>;24>32>32>24>32>24>32>24>;24>32>32>24>32>24>32>24>32>;24>32>32>24>32>24>32>24>32>32>;24>32>32>24>32>24>32>24>32>32>24>;24>32>32>24>32>24>32>24>32>32>24>32>;28>;28>31>;29>;29>14>;29>14>48>;29>14>48>48>;29>29>;29>29>14>;29>48>;30>;30>14>;30>30>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>30>48>;30>30>30>30>30>30>30>30>30>48>14>;30>30>30>30>30>30>30>30>30>48>14>31>;30>30>30>30>30>30>30>30>30>48>14>31>30>;30>30>30>30>30>30>30>30>30>48>14>31>30>31>;30>30>30>30>30>30>30>30>30>48>30>;30>30>30>30>30>30>30>30>30>48>30>30>;30>30>30>30>30>30>30>30>30>48>30>30>30>;30>30>30>30>30>30>30>30>48>;30>30>30>30>30>30>30>30>48>14>;30>30>30>30>30>30>30>30>48>14>31>;30>30>30>30>30>30>30>30>48>14>31>30>;30>30>30>30>30>30>30>30>48>14>31>30>31>;30>30>30>30>30>30>30>30>48>30>;30>30>30>30>30>30>30>30>48>30>30>;30>30>30>30>30>30>30>30>48>30>30>30>;30>30>30>30>30>30>30>48>;30>30>30>30>30>30>30>48>14>;30>30>30>30>30>30>30>48>14>31>;30>30>30>30>30>30>30>48>14>31>30>;30>30>30>30>30>30>30>48>14>31>30>31>;30>30>30>30>30>30>30>48>30>;30>30>30>30>30>30>30>48>30>30>;30>30>30>30>30>30>30>48>30>30>30>;30>30>30>30>30>30>48>;30>30>30>30>30>30>48>14>;30>30>30>30>30>30>48>14>31>;30>30>30>30>30>30>48>14>31>30>;30>30>30>30>30>30>48>14>31>30>31>;30>30>30>30>30>30>48>30>;30>30>30>30>30>30>48>30>30>;30>30>30>30>30>30>48>30>30>30>;30>30>30>30>30>48>;30>30>30>30>30>48>14>;30>30>30>30>30>48>14>31>;30>30>30>30>30>48>14>31>30>;30>30>30>30>30>48>14>31>30>31>;30>30>30>30>30>48>30>;30>30>30>30>30>48>30>30>;30>30>30>30>30>48>30>30>30>;30>30>30>30>48>;30>30>30>30>48>14>;30>30>30>30>48>14>31>;30>30>30>30>48>14>31>30>;30>30>30>30>48>14>31>30>31>;30>30>30>30>48>30>;30>30>30>30>48>30>30>;30>30>30>30>48>30>30>30>;30>30>30>48>;30>30>30>48>14>;30>30>30>48>14>31>;30>30>30>48>14>31>30>;30>30>30>48>14>31>30>31>;30>30>30>48>29>;30>30>30>48>29>14>;30>30>30>48>29>14>48>;30>30>30>48>29>14>48>48>;30>30>30>48>30>;30>30>30>48>30>30>;30>30>30>48>30>30>30>;30>30>31>;30>30>31>30>;30>30>48>;30>30>48>14>;30>30>48>14>31>;30>30>48>14>31>30>;30>30>48>14>31>30>31>;30>30>48>29>;30>30>48>29>14>;30>30>48>29>14>48>;30>30>48>29>14>48>48>;30>30>48>30>;30>30>48>30>30>;30>30>48>30>30>30>;30>31>;30>31>30>;30>31>30>30>;30>31>30>30>31>;30>31>30>31>;30>31>30>31>30>;30>31>30>31>30>30>;30>31>31>;30>31>31>48>;30>31>31>48>30>;30>48>;30>48>14>;30>48>14>31>;30>48>14>31>30>;30>48>14>31>30>31>;30>48>29>;30>48>29>14>;30>48>29>14>48>;30>48>29>14>48>48>;30>48>30>;30>48>30>30>;30>48>30>30>30>;31>;31>14>;31>14>11>;31>14>11>9>;31>14>11>9>11>;31>14>11>9>11>14>;31>14>31>;31>14>31>30>;31>14>31>30>14>;31>14>48>;31>14>48>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>30>30>48>;31>30>30>30>30>30>30>30>30>30>48>30>;31>30>30>30>30>30>30>30>30>30>48>30>30>;31>30>30>30>30>30>30>30>30>30>48>30>30>30>;31>30>30>30>30>30>30>48>;31>30>30>30>30>30>30>48>30>;31>30>30>31>;31>30>30>31>30>;31>30>31>;31>30>31>30>;31>30>31>30>30>;31>30>31>30>30>31>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>31>30>31>30>30>;31>30>31>31>;31>30>31>31>48>;31>30>31>31>48>30>;31>31>;31>31>14>;31>31>14>11>;31>31>14>11>9>;31>31>14>11>9>11>;31>31>14>11>9>11>14>;31>31>31>;31>31>31>41>;31>31>41>;31>31>48>;31>31>48>30>;31>32>;31>32>14>;31>32>14>31>;31>32>31>;31>32>31>14>;31>32>31>14>31>;31>32>31>14>31>30>;31>32>31>14>31>30>14>;31>41>;31>48>;31>48>14>;31>48>14>31>;31>48>30>;32>;32>14>;32>14>31>;32>24>;32>24>32>;32>24>32>24>;32>24>32>24>32>;32>24>32>24>32>24>;32>24>32>24>32>24>32>;32>24>32>24>32>24>32>32>;32>24>32>24>32>24>32>32>24>;32>24>32>24>32>24>32>32>24>32>;32>24>32>24>32>24>32>32>24>32>24>;32>24>32>24>32>24>32>32>24>32>24>32>;32>24>32>24>32>24>32>32>24>32>24>32>24>;32>24>32>24>32>24>32>32>24>32>24>32>24>32>;32>24>32>24>32>24>32>32>24>32>24>32>24>32>32>;32>24>32>24>32>24>32>32>24>32>24>32>24>32>32>24>;32>24>32>24>32>24>32>32>24>32>24>32>24>32>32>24>32>;32>24>32>24>32>32>;32>24>32>24>32>32>24>;32>24>32>24>32>32>24>32>;32>24>32>24>32>32>24>32>24>;32>24>32>24>32>32>24>32>24>32>;32>24>32>24>32>32>24>32>24>32>24>;32>24>32>24>32>32>24>32>24>32>24>32>;32>24>32>24>32>32>24>32>24>32>24>32>32>;32>24>32>24>32>32>24>32>24>32>24>32>32>24>;32>24>32>24>32>32>24>32>24>32>24>32>32>24>32>;32>24>32>32>;32>24>32>32>24>;32>24>32>32>24>32>;32>24>32>32>24>32>24>;32>24>32>32>24>32>24>32>;32>24>32>32>24>32>24>32>24>;32>24>32>32>24>32>24>32>24>32>;32>24>32>32>24>32>24>32>24>32>32>;32>24>32>32>24>32>24>32>24>32>32>24>;32>24>32>32>24>32>24>32>24>32>32>24>32>;32>31>;32>31>14>;32>31>14>31>;32>31>14>31>30>;32>31>14>31>30>14>;32>32>;32>32>24>;32>32>24>32>;32>32>24>32>24>;32>32>24>32>24>32>;32>32>24>32>24>32>24>;32>32>24>32>24>32>24>32>;32>32>24>32>24>32>24>32>32>;32>32>24>32>24>32>24>32>32>24>;32>32>24>32>24>32>24>32>32>24>32>;33>;38>;41>;41>31>;41>31>31>;41>41>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>7>;41>41>41>7>;41>41>6>;41>41>7>;41>6>;41>7>;48>;48>14>;48>14>31>;48>14>31>30>;48>14>31>30>31>;48>29>;48>29>14>;48>29>14>48>;48>29>14>48>48>;48>29>29>;48>29>29>14>;48>29>48>;48>30>;48>30>30>;48>30>30>30>;48>32>;48>32>24>;48>32>24>32>;48>32>24>32>24>;48>32>24>32>24>32>;48>32>24>32>24>32>24>;48>32>24>32>24>32>24>32>;48>32>24>32>24>32>24>32>32>;48>32>24>32>24>32>24>32>32>24>;48>32>24>32>24>32>24>32>32>24>32>;48>32>24>32>24>32>24>32>32>24>32>24>;48>32>24>32>24>32>24>32>32>24>32>24>32>;48>32>24>32>24>32>24>32>32>24>32>24>32>24>;48>32>24>32>24>32>24>32>32>24>32>24>32>24>32>;48>32>24>32>24>32>24>32>32>24>32>24>32>24>32>32>;48>32>24>32>24>32>24>32>32>24>32>24>32>24>32>32>24>;48>32>24>32>24>32>24>32>32>24>32>24>32>24>32>32>24>32>;48>48>;48>48>32>;48>48>32>24>;48>48>32>24>32>;48>48>32>24>32>24>;48>48>32>24>32>24>32>;48>48>32>24>32>24>32>24>;48>48>32>24>32>24>32>24>32>;48>48>32>24>32>24>32>24>32>32>;48>48>32>24>32>24>32>24>32>32>24>;48>48>32>24>32>24>32>24>32>32>24>32>;48>48>32>24>32>24>32>24>32>32>24>32>24>;48>48>32>24>32>24>32>24>32>32>24>32>24>32>;48>48>32>24>32>24>32>24>32>32>24>32>24>32>24>;48>48>32>24>32>24>32>24>32>32>24>32>24>32>24>32>;48>48>32>24>32>24>32>24>32>32>24>32>24>32>24>32>32>;48>48>32>24>32>24>32>24>32>32>24>32>24>32>24>32>32>24>;48>48>32>24>32>24>32>24>32>32>24>32>24>32>24>32>32>24>32>;48>48>48>;48>48>48>32>;48>48>48>32>24>;48>48>48>32>24>32>;48>48>48>32>24>32>24>;48>48>48>32>24>32>24>32>;48>48>48>32>24>32>24>32>24>;48>48>48>32>24>32>24>32>24>32>;48>48>48>32>24>32>24>32>24>32>32>;48>48>48>32>24>32>24>32>24>32>32>24>;48>48>48>32>24>32>24>32>24>32>32>24>32>;48>48>48>32>24>32>24>32>24>32>32>24>32>24>;48>48>48>32>24>32>24>32>24>32>32>24>32>24>32>;48>48>48>32>24>32>24>32>24>32>32>24>32>24>32>24>;48>48>48>32>24>32>24>32>24>32>32>24>32>24>32>24>32>;48>48>48>32>24>32>24>32>24>32>32>24>32>24>32>24>32>32>;48>48>48>32>24>32>24>32>24>32>32>24>32>24>32>24>32>32>24>;48>48>48>32>24>32>24>32>24>32>32>24>32>24>32>24>32>32>24>32>;49>;49>48>;49>48>29>;49>48>29>48>;49>49>;49>49>48>;49>49>48>29>;49>49>48>29>48>;49>49>49>;49>49>49>48>;49>49>49>48>29>;49>49>49>48>29>48>;49>49>49>49>;49>49>49>49>48>;49>49>49>49>48>29>;49>49>49>49>48>29>48>;6>;6>6>;6>6>6>;7>;9>;9>11>;9>11>14>
15054-7111;SUCESSO;1;1;0;0;1;1;1;17;1;0;0;1;1;1;0;0;9;5;0;3;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;3;3;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;2;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;11;1;7;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;3;3;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;1;1;1;1;1;0;0;0;0;0;8;0;5;1;1;1;1;1;1;1;1;0;0;0;0;0;0;2;1;2;2;2;1;1;1;1;0;0;0;2;1;1;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;10;1;1;1;0;0;0;0;0;0;1;0;1;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9;3;1;2;1;1;1
24303-7111;insucesso;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27813-7111;insucesso;2;0;2;2;0;0;0;13;2;2;2;0;0;0;2;1;5;2;0;1;1;1;1;1;0;0;0;0;1;1;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;1;1;1;1;0;3;0;2;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;2;0;0;0;0;1;1;1;1;1;0;0;0;0;2;0;0;0;0;1;1;1;1;1;0;0;1;0;0;0;0;0;0;1;1;1;2;0;0;0;0;1;1;1;1;1;0;0;6;1;0;0;0;0;0;0;0;1;1;2;0;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;1;0;0;4;1;1;1;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27860-7111;SUCESSO;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;6;1;3;3;2;2;2;2;2;2;0;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;0;0;0;0;1;1;1;0;0;2;1;1;1;1;0;0;0;0;1;1;1;2;0;0;0;0;0;0;0;0;0;2;1;1;1;1;0;0;0;0;1;1;1;8;1;0;0;0;0;1;1;1;0;0;3;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31267-7111;SUCESSO;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;3;3;3;1;2;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;3;0;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;1;0;0;0;0;0;0;0;0;0;2;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;4;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;8;1;0;3;1;3;1;2;1;1;0;1;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
