IdAluno;Resultado;1>;1>2>;1>46>;1>46>2>;13>;14>;14>14>;14>2>;14>2>14>;14>2>2>;14>2>31>;14>2>41>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>31>;14>32>;14>32>31>;14>32>31>30>;14>38>;14>38>33>;14>38>36>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;14>49>49>;14>7>;14>7>5>;16>;16>31>;16>31>30>;17>;17>30>;17>30>14>;17>30>30>;2>;2>1>;2>1>46>;2>14>;2>14>2>;2>14>41>;2>2>;2>2>31>;2>3>;2>31>;2>31>30>;2>38>;2>41>;2>41>41>;2>46>;2>46>1>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>41>;30>17>;30>17>30>;30>2>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>41>;30>31>;30>31>30>;30>41>;30>48>;31>;31>14>;31>2>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>41>;31>48>;32>;32>31>;32>31>30>;33>;34>;34>36>;34>38>;36>;36>14>;36>34>;36>34>38>;36>36>;36>36>34>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>36>36>36>36>36>36>;36>38>;38>;38>14>;38>33>;38>36>;38>41>;39>;39>38>;41>;41>14>;41>2>;41>31>;41>31>30>;41>38>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>30>;48>48>;49>;49>48>;49>49>;49>49>48>;5>;5>5>;6>;6>6>;6>6>6>;7>;7>5>;7>5>5>;7>6>;8>
13342-4130;insucesso;3;2;0;0;0;27;1;7;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;4;0;8;2;0;3;1;0;0;1;0;1;1;1;2;2;1;0;16;0;0;6;0;3;0;0;1;1;0;0;0;0;2;2;0;2;0;2;5;3;0;1;1;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;7;0;0;3;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;4;5;2;2;15;0;5;0;12;3;7;5;5;5;0;2;7;2;4;1;0;0;0;15;3;2;1;1;0;3;1;0;1;0;0;3;3;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
13420-6398;SUCESSO;1;1;0;0;0;83;3;14;3;2;1;0;0;0;13;0;12;0;3;1;1;0;0;0;0;5;0;2;34;0;3;10;5;0;0;3;0;1;1;0;7;7;2;0;24;0;0;5;0;3;2;0;0;1;1;0;3;0;0;0;0;0;0;0;56;7;1;2;0;0;1;13;1;6;0;4;1;0;0;1;1;8;7;3;4;39;4;0;33;2;10;4;3;1;0;6;5;0;1;1;0;1;0;2;1;0;2;1;0;0;25;0;1;0;11;0;7;2;0;0;0;1;16;4;1;4;0;0;0;83;8;1;4;2;4;20;0;1;9;5;0;1;1;1;0;5;0;0;2;1;0;0;0;0;2;2;1;0;0;3;1;1;1;
13511-6389;SUCESSO;2;1;1;1;0;82;1;8;1;2;0;0;0;0;27;1;16;3;2;0;0;2;0;0;0;2;0;0;20;0;2;3;1;0;0;2;0;4;4;2;9;7;0;2;13;1;1;1;0;0;2;0;0;1;1;0;2;0;1;1;2;0;0;0;45;6;2;0;4;4;1;9;1;2;0;0;0;0;0;1;1;3;2;2;14;45;2;0;34;3;7;0;0;0;0;0;0;0;10;2;2;1;3;1;0;0;3;3;2;1;27;1;2;1;11;0;6;4;2;2;1;3;11;1;2;2;0;0;0;42;1;0;2;1;0;6;0;0;1;1;0;3;1;1;1;21;7;2;1;5;0;0;0;0;0;0;4;0;0;3;0;0;2;
13564-6388;insucesso;0;0;0;0;0;42;5;3;0;1;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;3;0;0;0;1;1;0;0;0;3;0;0;0;5;0;0;1;1;0;2;0;0;1;0;0;2;1;0;0;1;0;0;0;5;3;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;14;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;36;1;0;0;0;1;16;0;0;6;4;4;0;0;0;0;9;0;1;0;1;5;0;0;0;3;1;0;0;0;3;3;1;0;
14004-4604;SUCESSO;1;0;1;1;0;53;1;11;0;4;1;0;0;0;6;0;5;1;1;0;0;0;0;0;0;5;0;0;16;1;0;4;1;1;0;1;0;2;2;2;1;1;1;0;20;1;1;0;0;0;4;0;0;4;2;0;1;0;0;0;0;0;0;0;15;5;2;2;0;0;0;8;3;2;1;1;0;0;0;1;0;1;0;0;0;17;0;0;12;2;5;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0;1;4;0;1;1;1;0;0;0;0;0;0;0;10;1;1;0;3;0;0;30;2;2;0;0;1;8;0;0;4;2;0;1;0;0;1;2;0;0;0;0;2;2;1;1;2;2;1;0;0;3;2;2;1;
14034-6398;SUCESSO;1;0;1;1;0;16;1;0;0;0;0;0;5;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;7;8;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;4;1;1;1;10;1;0;5;0;1;1;0;0;0;2;1;0;1;1;1;2;0;10;3;1;1;1;0;0;8;0;1;0;0;0;0;0;0;0;0;0;5;0;1;2;0;7;2;12;0;0;0;0;0;5;0;0;4;1;0;1;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;
15073-5714;insucesso;1;0;1;1;0;23;0;5;3;0;0;0;0;0;7;2;3;0;0;0;0;0;0;0;0;3;1;0;5;0;0;3;0;0;0;0;0;0;0;0;1;1;1;0;5;0;0;3;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;7;4;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;12;0;1;0;8;0;4;3;2;2;0;1;6;2;1;2;0;1;0;5;1;1;0;0;0;3;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
15217-7098;SUCESSO;2;1;1;1;0;30;1;6;1;1;1;0;4;2;5;0;5;0;3;1;0;0;1;0;0;0;0;0;6;0;0;1;0;0;0;2;0;2;2;0;3;3;1;0;11;1;0;2;0;1;4;0;0;2;2;0;1;0;1;1;0;8;0;3;14;2;0;0;1;1;0;7;1;2;0;1;0;0;0;0;0;2;1;0;1;17;2;1;12;0;7;2;1;0;0;1;0;0;0;1;1;4;0;1;1;1;3;2;1;0;22;1;2;0;14;0;7;5;2;1;0;2;8;0;2;1;2;1;1;19;1;0;2;2;1;5;0;1;1;1;0;2;2;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0;
15396-4130;insucesso;2;0;1;0;0;21;1;2;0;1;0;0;0;0;5;0;2;0;0;0;0;0;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;2;1;1;0;0;0;0;8;2;1;1;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;9;1;0;0;0;0;0;2;0;2;0;1;0;0;0;0;0;0;0;0;0;10;0;0;7;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;4;0;1;0;3;1;2;2;2;2;0;0;4;0;1;1;0;0;0;15;1;0;0;0;0;3;0;0;1;0;0;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;
15494-5714;SUCESSO;2;1;1;1;0;48;1;6;0;1;1;0;0;0;5;1;0;0;0;0;0;1;0;0;0;0;0;0;16;1;1;2;2;3;3;0;0;1;1;0;1;1;0;0;25;0;0;2;0;0;3;0;0;2;0;0;2;0;0;0;2;0;0;0;14;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;1;3;0;25;5;1;8;1;0;0;0;0;0;1;1;0;0;2;1;2;5;1;0;0;2;2;1;1;39;1;2;1;21;0;12;9;3;2;1;1;8;2;1;3;1;0;0;57;1;4;4;3;1;10;0;0;6;2;0;2;1;1;1;15;1;2;5;7;4;4;3;3;0;0;38;14;7;4;0;0;1;
