IdAluno;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>2>;14>2>14>;14>2>2>;14>2>31>;14>2>31>30>;14>2>41>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>31>;14>31>41>;14>32>;14>32>31>;14>32>31>30>;14>38>;14>38>36>;14>39>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;14>7>;16>;16>31>;16>31>30>;17>;17>30>;17>30>14>;17>30>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>31>;2>14>41>;2>2>;2>2>31>;2>3>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>41>41>;2>46>;2>46>1>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>2>;30>14>31>;30>14>31>30>;30>14>41>;30>17>;30>17>30>;30>2>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>41>;30>30>48>;30>31>;30>31>30>;30>41>;30>48>;31>;31>14>;31>2>;31>30>;31>30>14>;31>30>17>;31>30>17>30>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>41>;31>48>;32>;32>31>;32>31>30>;33>;34>;34>38>;36>;36>14>;36>34>;36>34>38>;36>36>;36>36>34>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>36>36>36>36>36>36>;36>38>;38>;38>14>;38>33>;38>36>;38>41>;39>;41>;41>14>;41>2>;41>31>;41>31>30>;41>38>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>30>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;7>;7>5>;7>5>5>;7>6>;8>
31618-5468;insucesso;0;0;0;0;22;0;2;0;1;0;0;0;1;0;3;1;3;0;2;0;0;0;0;3;3;2;0;0;0;4;0;2;0;0;0;3;0;0;0;3;3;1;0;3;0;0;0;1;0;1;1;1;1;1;1;0;1;1;0;0;0;2;0;1;14;2;0;0;0;0;1;1;0;6;0;4;0;3;1;0;0;1;0;0;3;1;0;1;15;2;1;11;1;0;0;5;2;2;0;0;0;1;0;0;1;0;0;2;0;8;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;1;2;2;0;2;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;1;0;0;5;1;1;0;2
31618-6388;SUCESSO;1;1;0;0;58;2;8;1;2;2;0;1;0;0;22;0;11;0;4;1;1;3;0;0;0;0;3;1;0;14;1;1;2;0;0;2;1;0;0;4;3;1;0;18;0;0;0;3;0;0;2;0;0;5;2;1;4;0;0;0;0;1;0;0;25;6;1;1;0;1;1;1;0;12;3;7;1;4;2;1;1;0;0;3;0;0;1;5;43;5;1;23;1;1;1;12;7;4;2;1;1;0;0;0;2;8;3;1;1;13;11;0;1;1;1;9;0;1;0;1;0;0;0;0;0;0;0;5;1;1;1;0;0;35;1;3;2;1;1;7;0;1;2;1;1;1;1;1;0;6;1;0;3;0;0;0;3;2;1;0;4;2;2;1;0
31666-5468;SUCESSO;1;1;0;0;50;1;3;0;0;0;0;1;0;0;10;0;7;1;2;1;0;0;0;0;0;0;0;0;0;18;2;1;4;2;4;3;0;0;0;3;3;0;2;11;0;0;0;1;0;0;1;0;0;1;1;1;1;0;0;0;1;0;0;0;15;5;0;0;0;2;2;2;0;6;4;2;2;1;0;0;0;1;0;0;1;1;0;0;18;1;1;10;1;1;1;4;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;2;0;22;0;1;0;8;1;4;1;1;0;0;1;4;1;3;0;0;0;30;2;2;3;1;0;5;0;1;2;1;1;1;1;1;0;6;1;1;0;5;4;4;0;0;1;0;3;0;0;0;0
31693-7274;insucesso;2;0;2;2;25;1;7;1;0;1;1;1;0;0;7;4;4;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;6;6;1;1;9;2;2;2;2;1;0;0;0;0;2;2;0;1;1;0;0;0;0;0;0;18;4;1;0;0;0;0;0;0;5;2;1;0;1;1;1;0;0;0;0;1;1;0;3;17;4;0;11;1;0;0;2;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;2;0;0;1;0;0;2;0;0;2;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31698-5388;insucesso;2;1;2;1;46;1;5;0;0;0;0;1;0;0;5;0;2;0;0;0;0;1;1;0;0;0;2;0;0;5;1;0;1;0;0;0;1;1;0;1;1;0;0;11;1;1;0;1;0;0;1;0;0;0;0;0;2;1;1;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;11;1;0;4;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;2;1;0;6;1;0;0;4;0;1;1;0;0;0;1;6;1;0;2;2;0;13;0;1;0;0;1;2;0;0;0;0;0;2;1;1;2;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;0
31698-5714;insucesso;3;1;3;3;23;0;8;0;2;0;0;2;0;0;3;0;1;0;0;0;0;0;1;0;0;0;5;0;0;2;0;0;1;0;0;0;1;1;0;0;0;0;0;17;2;1;1;0;0;0;4;2;0;2;1;0;3;1;1;0;0;0;0;0;5;2;1;0;0;0;0;0;0;2;1;1;0;1;0;0;0;0;0;0;0;0;1;1;9;0;0;3;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;4;0;15;0;2;2;0;2;5;0;1;2;1;1;3;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31698-7274;SUCESSO;3;2;1;1;17;0;8;0;2;1;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;1;1;0;11;2;1;0;2;0;0;3;0;0;2;2;0;0;0;2;1;0;0;0;0;4;2;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5;0;1;4;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;7;0;1;0;1;0;0;0;0;0;0;1;2;1;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;3;1;1;2;3;0;0;1;4;2;2;2;1;0;0;2;2;1;0;0
31753-5714;insucesso;1;1;0;0;40;4;7;0;2;1;0;3;0;0;7;0;4;0;2;0;0;0;1;0;0;0;2;0;0;8;1;0;2;1;0;1;0;0;0;1;1;0;0;16;0;0;0;1;0;0;2;0;0;3;0;0;4;2;0;0;0;0;0;0;13;0;0;0;0;0;0;0;2;3;0;1;0;0;0;0;0;0;0;0;1;1;2;0;17;0;1;9;0;0;0;3;1;0;0;0;0;1;1;0;0;0;0;3;1;0;0;0;3;1;0;11;1;1;0;8;0;4;4;1;0;0;1;7;0;2;2;1;0;38;2;2;3;3;3;8;1;1;3;2;0;1;1;1;0;3;0;1;0;4;2;2;0;0;0;0;1;0;0;0;0
31753-7118;SUCESSO;2;2;0;0;42;3;6;0;0;1;0;1;0;0;5;0;2;0;2;0;0;0;0;0;0;0;6;1;0;10;0;1;2;0;0;0;1;1;1;0;0;0;0;18;1;0;0;1;0;0;1;0;0;2;1;0;3;0;1;1;0;0;0;0;21;0;0;0;0;0;0;0;2;8;0;1;0;1;1;1;1;0;3;0;1;0;3;0;20;0;0;13;0;0;0;4;1;1;1;1;1;1;0;0;0;2;1;3;1;0;0;0;2;2;2;7;0;2;0;4;2;2;2;0;0;0;0;9;3;2;3;0;0;45;1;3;3;2;0;13;0;2;4;2;1;2;2;2;0;2;1;0;0;1;0;1;1;1;0;0;3;1;1;0;0
31761-5469;insucesso;1;0;1;1;61;1;11;1;3;0;0;3;0;0;8;1;5;0;1;0;0;0;0;0;0;0;5;0;1;23;3;0;9;3;0;1;1;1;0;0;0;0;0;29;1;1;1;2;0;2;11;0;3;0;0;0;8;1;0;0;0;3;1;2;17;2;0;0;0;0;0;0;1;8;1;3;0;2;0;0;0;0;0;0;0;0;4;1;20;1;0;11;0;0;0;5;1;1;0;0;0;0;0;4;0;0;0;1;0;0;0;0;2;1;0;10;0;1;0;1;0;0;0;0;0;0;3;10;0;2;5;2;4;72;3;7;1;1;1;16;1;1;4;0;0;1;0;0;1;2;0;1;2;0;0;0;0;0;1;0;4;0;0;0;0
31791-6389;insucesso;1;0;1;1;18;0;9;3;0;0;0;0;0;0;6;1;2;0;2;2;1;0;0;0;0;0;1;0;0;5;1;0;1;0;0;0;1;1;0;1;1;0;0;11;1;1;1;4;2;0;0;0;0;1;1;1;2;1;0;0;0;0;0;0;8;2;2;0;0;0;0;0;0;3;2;2;0;1;0;0;0;0;0;0;0;0;1;0;8;1;0;6;1;0;0;3;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;2;0;16;0;2;3;3;1;7;0;2;3;2;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
31915-5468;SUCESSO;3;1;2;1;59;0;9;0;1;0;0;2;0;0;8;0;6;0;1;0;0;0;0;0;0;0;2;0;0;13;1;0;2;1;0;0;1;1;0;3;3;0;0;24;2;2;0;3;0;0;2;0;0;1;1;1;2;0;1;1;1;2;0;1;34;5;1;0;0;3;1;1;2;14;2;7;2;3;3;2;2;0;1;5;3;1;2;9;28;2;0;19;3;0;0;8;3;2;2;1;1;1;1;0;1;0;0;0;1;1;0;0;1;0;0;4;0;0;0;3;0;0;0;0;0;0;0;6;4;1;0;0;0;46;0;3;3;3;1;6;0;1;1;1;0;3;1;1;1;14;1;4;5;0;0;0;1;0;0;0;1;1;0;0;0
31927-7118;insucesso;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31958-7274;SUCESSO;1;1;0;0;44;1;7;0;2;2;0;0;0;0;22;0;14;0;0;0;0;0;0;0;0;0;4;0;0;5;0;0;2;0;0;1;1;1;0;17;17;3;1;14;0;0;0;2;0;0;3;0;0;3;2;1;1;0;1;1;0;1;0;1;42;5;2;0;0;1;5;5;1;6;0;1;0;0;0;0;0;0;1;0;3;2;3;0;38;1;2;24;1;3;3;3;1;0;0;0;0;2;1;0;0;1;1;3;0;0;0;0;2;2;0;7;0;1;0;5;0;1;1;1;1;1;2;7;0;1;1;1;0;26;1;1;6;3;0;12;0;3;8;5;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
32011-5468;insucesso;2;1;1;1;27;2;0;0;0;0;0;0;9;8;0;0;0;0;0;0;0;0;0;8;6;3;0;0;6;1;0;0;0;0;0;0;1;1;0;0;0;0;0;16;2;1;1;3;0;0;0;0;2;0;0;0;0;0;1;0;0;13;1;12;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;2;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;10;8;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;6;10;0;0;1;1;0;2;0;1;2;1;1;2;1;1;1;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;1
32022-5468;insucesso;2;2;1;1;28;0;9;1;2;1;1;2;0;0;9;0;5;0;1;1;1;1;2;0;0;0;0;0;0;3;0;0;1;1;0;1;0;0;0;6;6;0;0;12;1;0;0;2;0;0;3;2;0;3;2;0;2;0;2;0;0;0;0;0;22;1;0;0;0;0;0;0;0;5;0;2;0;1;1;1;0;1;0;0;4;4;0;0;17;0;0;13;1;0;0;3;1;1;1;0;0;0;0;0;0;1;1;2;0;0;0;0;3;1;0;5;0;1;0;2;0;1;0;0;0;0;1;4;0;0;2;2;0;15;0;1;2;1;1;5;1;2;4;3;0;2;1;1;1;3;0;0;0;2;2;2;0;0;0;0;1;0;0;0;0
32282-5469;insucesso;1;0;1;1;18;0;1;0;1;0;0;0;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;2;1;0;0;0;0;0;0;0;0;0;7;1;1;1;3;0;2;1;0;0;0;0;0;0;0;0;0;0;9;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;4;0;0;2;2;0;1;0;0;1;2;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0
32724-5469;SUCESSO;3;3;1;1;51;2;5;2;0;0;0;0;2;1;5;0;5;0;0;0;0;0;0;0;0;0;2;0;0;14;1;0;2;1;0;3;1;1;0;0;0;0;0;14;0;0;0;7;0;0;1;0;0;0;0;0;0;0;3;3;0;3;0;1;8;3;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;10;1;0;7;3;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;4;2;0;1;1;0;6;1;0;0;2;0;2;0;0;0;0;1;5;3;1;0;0;0;49;0;3;0;0;0;7;0;0;2;0;0;3;3;2;1;0;0;0;0;0;0;0;0;0;9;1;4;0;0;1;0
32790-6388;SUCESSO;1;1;0;0;23;1;5;0;0;0;0;1;0;0;4;0;1;0;1;1;1;0;0;0;0;0;3;0;0;4;1;0;1;1;0;3;0;0;0;2;0;0;0;11;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;8;0;0;0;0;0;0;0;0;5;0;3;0;1;1;0;0;1;3;1;1;1;3;1;17;0;1;7;0;0;0;5;3;1;1;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2;0;0;1;0;22;0;1;1;1;1;7;0;0;3;3;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0
32826-7118;insucesso;3;2;1;1;60;3;6;3;0;0;0;0;0;0;12;5;7;0;0;0;0;0;0;0;0;0;1;0;0;11;1;1;3;2;0;1;2;2;0;6;6;2;0;16;1;1;1;8;2;2;0;0;1;0;0;0;0;0;0;0;1;1;0;0;20;6;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;25;8;0;14;3;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;1;0;0;0;3;2;1;18;1;2;1;4;0;4;3;2;0;0;1;11;2;2;2;0;0;33;0;1;2;0;0;7;0;0;3;0;0;3;2;2;1;1;0;0;0;0;0;0;0;0;3;1;2;0;0;0;0
32853-5468;insucesso;1;0;0;0;27;1;2;0;0;0;0;1;11;2;3;0;1;0;1;1;1;0;0;1;1;0;1;0;0;3;1;0;0;0;0;1;1;1;0;1;1;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;12;1;2;6;1;1;0;0;0;0;0;0;4;0;3;0;2;1;0;0;0;0;0;0;0;0;0;5;1;0;2;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;5;0;2;0;0;0;1;0;0;0;0;0;1;1;0;0;3;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0
32853-6398;insucesso;0;0;0;0;7;0;0;0;0;0;0;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
