IdAluno;Resultado;1>;14>;14>14>;14>14>31>;14>2>;14>2>14>;14>2>2>;14>2>2>31>;14>2>31>;14>2>31>30>;14>2>41>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>30>30>30>30>;14>31>30>31>;14>31>31>;14>31>41>;14>31>48>;14>32>;14>32>31>;14>32>31>30>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;14>49>49>;14>7>;14>7>5>;14>7>5>5>;16>;16>31>;16>31>30>;17>;17>30>;17>30>14>;17>30>30>;17>30>31>;2>;2>14>;2>14>2>;2>14>31>;2>14>41>;2>2>;2>2>31>;2>2>31>30>;2>3>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>41>41>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>2>;30>14>31>;30>14>31>30>;30>14>41>;30>17>;30>17>30>;30>2>;30>30>;30>30>14>;30>30>2>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>31>;30>30>48>;30>31>;30>31>30>;30>31>30>30>;30>32>;30>41>;30>48>;31>;31>14>;31>14>41>;31>2>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>41>;31>41>41>;31>48>;31>48>30>;32>;32>31>;32>31>30>;38>;41>;41>14>;41>2>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>7>;42>;46>;48>;48>14>;48>29>;48>30>;48>48>;48>48>48>;49>;49>48>;49>49>;49>49>48>;49>49>49>;5>;5>5>;6>;6>6>;6>6>6>;7>;7>14>;7>31>;7>5>;7>5>5>;7>6>;8>
14004-4604;SUCESSO;1;22;1;0;7;0;4;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;14;0;0;0;0;4;2;0;0;3;1;1;1;0;0;0;0;0;8;2;0;0;0;1;0;0;0;7;2;0;2;1;1;0;0;0;0;1;0;1;0;0;0;0;0;9;0;0;0;5;0;4;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;10;0;2;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;2;2;1;1;0;1;1;0;0;0;1;0;0;1;1;0;0
15217-7098;SUCESSO;1;16;0;0;4;1;0;0;1;1;0;3;1;4;0;4;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;2;0;3;3;1;0;1;7;1;0;1;0;1;1;0;0;2;2;0;0;0;0;4;0;1;12;2;1;0;0;0;1;1;0;6;1;0;2;0;1;0;0;0;0;0;0;2;1;0;0;0;0;12;2;0;1;10;0;6;2;1;0;0;0;1;0;0;0;1;1;2;1;0;0;1;1;1;2;4;0;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
15396-4130;insucesso;0;10;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0
15396-5469;SUCESSO;0;11;0;0;4;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
15432-5469;SUCESSO;0;42;2;1;4;1;1;0;0;0;1;0;0;12;1;3;2;0;0;0;0;0;0;1;0;2;0;0;7;2;0;2;2;0;0;1;0;0;1;1;1;1;1;1;0;0;10;2;1;0;0;2;0;0;0;1;0;0;1;0;0;0;0;0;13;4;0;2;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;18;1;1;2;7;3;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3;1;0;0;10;1;2;1;1;3;0;1;2;2;0;0;0;0;5;2;0;1;1;0;0;0;0;0;0;0;0;9;0;0;4;0;2;0;0;1;3
15818-5469;SUCESSO;0;21;1;0;1;0;0;0;0;0;0;0;0;5;0;2;0;1;0;0;0;0;0;1;0;0;0;0;5;1;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;6;0;0;0;0;0;0;0;1;4;0;1;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;13;0;0;1;5;0;4;2;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;22;0;2;1;0;4;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;1;0;0;0;0;1
17083-4604;SUCESSO;1;44;1;0;2;0;1;0;1;1;0;0;0;9;0;7;0;5;3;3;2;0;1;0;0;0;0;0;11;3;0;4;2;0;0;2;2;0;1;1;1;0;0;0;0;0;11;1;0;0;0;2;0;0;0;2;2;2;0;0;0;2;0;0;17;1;0;0;0;0;0;0;1;13;1;1;9;1;8;6;5;5;2;4;0;5;2;1;0;0;0;22;2;1;0;15;0;13;9;8;6;5;5;1;1;0;0;4;1;1;0;0;0;1;1;1;2;32;1;3;2;0;7;0;2;3;1;0;1;0;1;0;0;0;0;0;0;1;0;1;0;1;3;2;2;0;0;3;0;0;2;2;0;1
17356-5388;insucesso;1;19;1;0;4;0;2;0;0;0;1;0;0;6;0;5;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;1;0;0;0;0;0;4;4;2;0;0;9;0;0;0;0;2;0;0;1;1;1;0;1;0;0;2;1;1;13;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;0;3;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
17540-5468;SUCESSO;1;46;3;2;4;0;0;0;1;0;0;0;0;19;2;9;0;3;0;0;0;1;1;2;0;2;0;0;7;1;0;2;0;1;0;2;0;0;2;2;1;3;3;0;0;0;7;2;0;0;1;0;0;0;0;1;0;0;0;0;2;1;0;0;27;2;0;0;0;0;1;1;0;8;2;0;3;1;2;0;0;0;0;0;1;3;1;0;0;1;2;35;4;0;2;18;0;7;3;2;0;0;0;1;1;0;1;3;1;2;1;0;0;5;4;3;1;16;1;1;1;1;5;0;0;1;1;0;0;0;1;5;1;1;0;1;0;2;2;0;0;0;2;1;5;0;0;3;0;1;1;1;0;0
17604-4130;SUCESSO;0;102;7;1;4;0;2;0;0;0;0;0;0;30;1;13;3;5;5;3;2;0;0;1;0;1;0;0;8;1;1;3;0;7;2;5;1;0;1;1;1;2;2;0;0;1;5;3;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;22;5;0;1;1;1;0;0;0;7;1;0;7;1;3;2;1;0;0;1;0;3;0;0;0;0;1;42;5;0;0;15;4;6;6;3;2;1;0;0;0;0;1;0;0;2;1;1;0;1;0;0;0;15;2;1;2;1;5;1;0;1;0;0;0;0;0;14;2;0;0;7;3;10;7;2;1;2;3;1;1;0;0;9;1;0;1;1;1;0
17813-4130;SUCESSO;1;43;1;0;6;0;2;0;0;0;0;0;0;5;0;4;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;3;3;0;0;1;0;0;5;5;2;3;0;20;1;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;14;6;0;1;0;0;0;0;1;5;3;0;2;0;1;0;0;0;0;1;0;1;1;0;0;0;0;14;1;0;1;8;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;3;0;0;1;0;0;0;0;1;2;0;0;0;0;0;8;2;6;2;4;0;0;11;4;1;3;0;0;0;0;2;0
17874-5388;SUCESSO;0;30;0;0;4;1;1;0;0;0;0;0;0;4;0;4;0;3;1;1;1;0;0;0;0;0;0;0;3;1;0;1;0;1;1;2;1;0;1;1;1;3;3;0;1;2;12;1;0;0;0;4;0;0;0;3;3;1;3;0;1;0;0;0;18;4;1;1;1;1;0;0;1;8;4;0;4;3;4;3;2;1;1;1;0;4;4;3;0;2;1;18;0;0;0;15;0;8;4;4;3;2;1;0;0;2;0;0;0;1;0;0;0;0;0;0;2;13;0;3;1;1;5;1;1;3;1;0;1;0;0;9;2;1;0;3;0;4;4;4;4;1;2;2;0;0;0;4;0;0;2;2;0;0
