IdAluno;Resultado;1>;1>2>;1>46>;1>46>2>;13>;14>;14>14>;14>14>2>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>32>31>;14>41>;14>41>2>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14>7>;14>7>5>;14>7>5>5>;14>8>;16>;16>31>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>2>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;42>;43>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>43>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>
44112-7114;insucesso;1;1;1;1;0;54;5;0;2;7;2;3;1;0;2;1;0;0;0;0;0;0;0;0;14;0;4;0;0;0;0;0;0;3;0;8;0;0;0;0;0;0;0;17;1;1;1;9;2;2;4;0;3;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;4;2;0;1;1;0;0;0;0;0;0;2;0;1;0;2;1;1;1;29;3;3;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;1;7;2;1;0;0;0;0;10;9;2;0;0;0;12;2;9;8;0;0;0
44113-6402;insucesso;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;1;1;0;0;0;0;1;0;0;0;3;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
44118-6402;insucesso;1;0;1;0;0;13;0;0;0;4;0;1;0;0;1;0;0;0;0;0;0;1;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;1;0;0;1;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;11;0;5;0;0;3;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44127-6402;insucesso;0;0;0;0;0;19;2;0;1;0;0;0;2;1;3;0;3;0;0;0;0;0;0;0;7;0;3;1;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;6;3;0;2;3;0;2;0;0;0;0;2;1;7;2;0;1;5;0;2;1;0;0;0;0;0;1;1;0;0;0;0;25;0;0;1;0;11;0;0;3;1;0;0;0;1;1;2;2;2;0;8;5;1;3;1;1;1;24;5;2;0;9;3;2;5;2;5;2;4;0;0;0;0;0;0;3;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
44176-7114;insucesso;2;0;2;2;0;38;1;0;0;1;0;0;0;0;4;0;2;0;0;0;0;1;0;0;13;0;4;2;1;0;3;2;2;0;0;0;0;0;0;0;0;0;0;11;2;2;2;3;0;0;1;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;8;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;49;0;4;2;0;22;4;1;12;5;3;2;1;1;0;2;1;1;0;16;11;1;6;3;2;2;16;6;3;2;10;6;3;4;2;2;2;2;1;1;2;0;0;2;0;0;0;0;0;0;0;2;2;6;1;0;0;3;0;2;2;1;0;0
44195-6402;SUCESSO;2;0;2;2;0;38;3;0;0;1;0;0;0;0;3;0;2;0;1;1;1;0;0;0;9;0;4;2;0;0;1;1;0;0;1;1;0;0;0;1;1;0;0;7;2;2;2;1;0;0;1;0;1;0;0;0;0;1;0;0;10;0;0;0;6;0;3;1;1;2;0;0;2;12;0;0;0;7;0;5;2;1;1;0;1;1;1;1;2;0;1;1;26;2;1;0;0;9;0;0;3;0;0;0;0;4;0;5;4;2;0;10;8;0;3;0;0;0;18;5;3;0;5;3;3;0;0;0;0;0;2;0;2;0;0;2;8;0;0;0;1;1;0;3;2;1;0;0;0;6;0;2;2;1;0;0
44196-6400;insucesso;2;1;1;1;0;19;2;0;2;4;0;0;0;0;4;1;1;0;0;0;0;0;1;1;8;0;2;0;0;0;1;1;1;0;1;2;0;0;0;0;0;0;0;7;1;1;1;1;1;0;0;4;0;1;1;1;1;5;5;0;4;1;0;0;0;0;0;0;0;0;0;0;0;9;2;0;0;3;0;0;0;0;0;0;0;0;0;1;4;1;1;0;18;0;2;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;3;2;0;1;3;1;0;1;1;0;0;0;0;0;2;1;1;1;2;0;1;0;2;0;0;0;0;4;0;0;0;3;0;0;0;0;0;0
44258-7297;SUCESSO;2;0;2;2;0;24;3;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;12;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;1;1;0;0;0;1;0;0;0;0;0;0;2;1;0;2;0;0;0;1;0;0;0;0;0;0;1;0;3;1;1;1;2;0;1;0;0;0;0;1;1;0;0;0;0;0;0;22;1;4;2;0;6;0;1;6;5;3;3;3;0;0;1;1;1;0;1;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;0;0;0
44332-6401;insucesso;2;1;1;1;0;103;13;3;1;23;4;0;1;0;6;0;4;0;0;0;0;0;1;1;16;0;3;0;0;0;2;2;0;1;5;3;0;0;0;0;0;0;0;37;0;0;0;6;0;1;2;4;1;1;1;1;3;9;6;1;15;2;0;0;0;0;0;0;0;9;4;0;0;18;2;0;0;12;2;0;0;0;8;3;0;0;0;2;12;7;9;5;32;2;2;3;3;7;0;1;1;1;1;0;0;0;0;2;1;0;0;9;8;2;2;0;0;0;12;3;1;0;3;0;0;0;0;0;0;0;5;3;2;1;1;1;9;4;3;0;10;5;4;0;0;0;0;0;0;6;1;0;0;0;1;0
44389-6402;insucesso;0;0;0;0;0;40;4;0;1;2;0;0;8;7;7;0;5;0;0;0;0;1;8;5;8;0;1;1;0;0;1;1;1;0;0;0;0;0;1;2;1;1;1;12;0;0;0;0;0;0;0;1;5;0;0;0;0;8;1;7;15;2;0;0;4;0;2;1;0;4;3;1;1;21;3;0;0;12;1;2;0;0;2;2;4;2;0;0;11;0;9;2;25;0;0;0;0;8;0;0;5;3;1;0;0;0;0;0;0;0;2;3;2;0;1;1;0;0;2;1;0;0;1;1;0;1;1;0;0;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0
44530-6402;insucesso;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44845-7114;insucesso;0;0;0;0;0;20;0;0;0;0;0;0;0;0;5;3;0;0;0;0;0;1;0;0;5;0;3;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;9;6;0;2;2;0;0;0;0;1;0;1;0;0;1;1;1;0;0;12;0;0;1;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;0;0;0
44965-7297;SUCESSO;1;0;1;1;0;35;0;0;0;7;1;1;0;0;11;1;5;1;1;0;1;1;0;0;12;3;1;1;0;0;0;0;0;0;0;1;0;0;0;2;2;2;2;12;1;1;1;2;0;1;3;0;4;0;0;0;0;1;1;0;15;4;0;0;4;1;1;1;1;2;1;0;0;21;3;0;2;12;2;3;1;1;1;1;1;1;3;1;0;0;0;0;28;2;5;3;0;4;0;1;2;0;0;0;0;1;0;4;1;0;0;4;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;2;1;2;0;0;0;3;0;2;1;1;0;0
