IdAluno;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>2>;14>2>14>;14>2>2>;14>2>31>;14>2>31>30>;14>2>38>;14>2>41>;14>3>;14>31>;14>31>14>;14>31>2>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>30>30>30>30>;14>31>31>;14>31>31>30>;14>31>41>;14>31>48>;14>38>;14>38>14>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;14>7>;16>;16>31>;16>31>30>;17>;17>30>;17>30>14>;17>30>30>;17>30>31>;2>;2>1>;2>1>46>;2>14>;2>14>31>;2>2>;2>2>31>;2>31>;2>31>30>;2>31>30>30>;2>38>;2>41>;2>7>;29>;3>;3>2>;30>;30>14>;30>14>2>;30>14>31>;30>14>31>30>;30>17>;30>17>30>;30>2>;30>30>;30>30>14>;30>30>17>;30>30>17>30>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>31>;30>30>31>30>;30>30>41>;30>30>48>;30>31>;30>31>30>;30>41>;30>41>41>;30>48>;30>48>14>;31>;31>14>;31>2>;31>30>;31>30>14>;31>30>17>;31>30>17>30>;31>30>2>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>31>30>30>;31>41>;31>41>41>;31>48>;31>48>30>;32>;33>;34>;34>36>;34>38>;36>;36>14>;36>34>;36>34>38>;36>36>;36>36>34>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>38>;38>;38>14>;38>14>41>;38>2>;38>31>;38>33>;38>36>;38>41>;39>;41>;41>14>;41>2>;41>31>;41>31>30>;41>31>30>30>;41>38>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>30>;48>30>30>;48>48>;48>48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;7>;7>5>;7>5>5>;7>6>
31693-7274;insucesso;2;0;2;2;25;1;7;1;0;1;1;0;1;0;7;4;0;4;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;6;6;1;1;1;9;2;2;2;1;0;0;2;2;0;0;1;0;0;0;0;18;4;1;0;0;0;0;0;5;2;0;0;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;3;3;17;4;0;11;1;0;0;0;2;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;2;0;1;0;0;2;0;0;2;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31698-7274;SUCESSO;3;2;1;1;17;0;8;0;2;1;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;1;1;0;0;11;2;1;2;0;3;1;2;2;0;0;0;0;0;0;0;4;2;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;0;1;4;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;7;0;1;0;1;0;0;0;0;0;1;2;1;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;3;0;0;2;3;0;0;0;0;1;0;4;2;2;2;1;0;0;0;2;2;1;0
31753-7118;SUCESSO;2;2;0;0;42;3;6;0;0;1;0;0;0;0;5;0;0;2;0;2;0;0;0;0;0;0;0;6;0;10;0;1;2;0;0;0;1;1;1;0;0;0;0;0;18;1;0;1;0;1;0;2;1;0;0;3;0;0;0;0;21;0;0;0;0;0;0;2;8;0;0;0;1;0;1;1;1;1;1;0;0;3;0;1;0;3;0;0;0;20;0;0;13;0;0;0;0;4;1;1;1;1;1;1;0;0;0;2;1;0;3;2;1;0;0;2;2;0;2;7;0;2;0;4;2;2;2;0;0;0;9;3;0;0;1;2;3;0;0;45;1;3;3;2;1;0;13;2;4;2;0;2;0;0;0;2;1;0;0;0;0;0;1;0;1;1;1;0;0;0;3;1;1;0
31927-7118;insucesso;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31958-7274;SUCESSO;1;1;0;0;44;1;7;0;2;2;0;0;0;0;22;0;0;14;0;0;0;0;0;0;0;0;0;4;0;5;0;0;2;0;0;1;1;1;0;17;17;3;1;0;14;0;0;2;0;3;0;3;2;1;0;1;0;0;1;1;42;5;2;0;0;5;5;1;6;0;1;1;1;0;0;0;0;0;0;0;0;1;0;3;2;3;0;0;0;38;1;2;24;1;3;3;0;3;1;0;0;0;0;2;1;2;0;1;1;1;3;2;0;0;0;2;2;0;0;7;0;1;0;5;0;1;1;1;1;2;7;0;0;0;2;1;1;1;0;26;1;1;6;3;0;0;12;3;8;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
32826-7118;insucesso;3;2;1;1;60;3;6;3;0;0;0;0;0;0;12;5;0;7;2;0;0;0;0;0;0;0;1;1;1;11;0;1;3;2;0;1;2;2;1;6;6;2;0;1;16;1;1;8;2;0;0;0;0;0;0;0;0;1;1;0;20;6;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;25;8;0;14;3;2;2;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;1;0;0;3;2;1;1;18;1;2;1;4;0;4;3;0;0;1;11;2;0;0;0;2;2;0;0;33;0;1;2;0;0;0;7;0;3;0;0;3;2;2;1;1;0;1;0;0;0;0;0;0;0;0;0;3;1;0;2;0;0;1
33816-7274;insucesso;0;0;0;0;18;1;4;0;1;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;5;2;2;2;1;1;0;0;0;8;0;0;0;0;2;1;1;1;0;0;1;0;1;0;0;7;0;0;0;0;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;4;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;2;0;0;0;0;0;19;0;0;0;0;0;1;2;0;1;1;0;0;0;0;0;4;0;1;0;0;0;0;1;0;0;0;0;7;0;0;5;0;0;1
34532-7118;SUCESSO;3;2;2;2;92;11;13;0;2;0;0;0;0;2;36;0;0;24;2;1;0;0;0;3;3;0;0;3;0;20;0;2;1;0;0;3;4;4;2;13;13;1;6;0;21;1;1;7;0;2;0;3;1;0;0;3;0;0;4;3;54;4;2;1;1;1;1;2;12;1;1;1;3;0;0;0;0;0;0;2;0;0;0;6;3;0;0;5;0;55;6;0;37;2;0;0;0;6;3;0;0;0;0;4;3;0;3;4;4;0;1;0;3;0;3;1;0;0;0;4;0;0;0;1;0;0;0;0;0;0;10;6;0;0;0;1;3;0;1;48;1;1;5;1;1;2;5;1;0;0;0;3;0;0;2;11;3;0;0;0;2;0;1;1;0;0;0;16;3;1;5;0;0;0
3559-7274;SUCESSO;0;0;0;0;33;2;1;0;0;0;0;0;0;0;12;0;0;9;0;0;0;0;0;0;0;0;0;2;0;8;3;0;2;2;0;0;2;2;1;5;4;0;1;0;7;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;25;1;0;0;0;2;2;1;7;0;0;0;3;0;1;0;0;0;0;2;0;0;0;4;2;3;0;0;0;25;2;1;17;1;2;2;0;4;3;1;0;0;0;2;1;3;0;0;0;0;2;1;0;0;0;1;1;0;0;3;0;0;0;2;0;1;0;0;0;1;3;0;0;0;0;1;0;0;0;22;1;4;2;1;1;1;4;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35969-7118;SUCESSO;0;0;0;0;130;2;2;0;0;1;0;0;0;0;10;0;0;7;0;2;0;0;0;0;0;0;0;4;0;8;0;0;4;0;3;2;3;3;2;7;7;0;0;0;15;0;0;1;0;2;0;2;1;1;0;3;0;0;0;0;45;10;0;1;1;2;2;1;12;3;0;0;2;0;1;1;0;0;0;1;0;0;0;4;2;0;0;0;0;44;5;1;29;5;2;2;0;9;2;1;1;0;0;2;0;0;0;0;0;0;2;0;0;0;0;3;1;0;0;25;0;0;0;3;0;3;1;1;0;1;17;3;0;0;0;2;5;1;1;48;3;0;3;2;0;2;11;1;1;0;0;0;0;0;0;8;2;0;0;0;1;0;9;7;6;7;5;30;5;1;11;7;5;1
