IdAluno;Resultado;1>;14>;14>14>;14>14>31>;14>2>;14>2>14>;14>2>2>;14>2>2>31>;14>2>2>31>30>;14>2>31>;14>2>31>30>;14>2>41>;14>31>;14>31>14>;14>31>2>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>30>30>30>30>;14>31>30>30>30>30>30>30>;14>31>30>30>30>30>30>30>30>;14>31>30>48>;14>31>31>;14>31>41>;14>31>48>;14>31>48>30>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>49>;14>7>;16>;16>31>;16>31>30>;17>;17>30>;17>30>14>;17>30>30>;17>30>30>31>;17>30>31>;17>30>31>30>;17>30>48>;2>;2>14>;2>14>31>;2>2>;2>2>31>;2>2>31>30>;2>31>;2>31>2>;2>31>30>;2>31>30>30>;2>31>30>30>30>;2>41>;2>41>41>;28>;28>30>;29>;3>;30>;30>14>;30>14>2>;30>14>31>;30>14>31>30>;30>14>41>;30>17>;30>17>30>;30>2>;30>30>;30>30>14>;30>30>14>31>;30>30>17>;30>30>17>30>;30>30>2>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>14>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>30>;30>30>31>;30>30>31>30>;30>30>41>;30>30>48>;30>31>;30>31>14>;30>31>30>;30>31>30>31>;30>41>;30>41>41>;30>48>;30>48>14>;30>48>30>;30>48>41>;31>;31>14>;31>14>31>;31>14>31>30>;31>2>;31>2>2>;31>2>31>;31>30>;31>30>14>;31>30>17>;31>30>17>30>;31>30>2>;31>30>30>;31>30>30>14>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>41>41>;31>30>48>;31>30>48>14>;31>31>;31>31>30>;31>31>30>30>;31>41>;31>41>41>;31>48>;31>48>29>;31>48>30>;31>48>30>30>;32>;32>31>;38>;41>;41>14>;41>2>;41>31>;41>31>30>;41>31>30>30>;41>41>;41>41>2>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>31>;41>41>41>41>41>;46>;48>;48>14>;48>14>31>;48>29>;48>30>;48>30>30>;48>30>30>30>;48>41>;48>48>;48>48>48>;48>48>48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>31>;7>5>;7>5>5>;7>6>
36004-7118;SUCESSO;0;18;1;0;4;0;0;0;0;0;0;0;7;0;0;4;0;4;2;1;0;0;0;0;0;0;0;0;8;0;0;1;0;0;0;0;2;2;2;4;4;0;3;0;1;0;0;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;18;1;1;0;0;0;1;1;0;12;1;0;1;1;0;7;1;4;0;3;1;1;1;0;3;0;3;0;6;3;4;0;3;0;0;0;0;0;19;4;0;0;0;0;0;14;0;0;0;0;8;0;5;2;1;0;0;0;0;5;3;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;15;0;2;3;1;0;2;0;1;0;1;0;1;0;0;0;2;1;0;0;0;0;0;0;2;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0
36008-7098;SUCESSO;0;10;0;0;4;0;3;0;0;1;1;0;4;0;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;2;1;1;1;0;0;0;0;0;5;0;0;3;1;0;3;0;2;0;0;2;0;0;0;0;0;9;2;0;0;0;0;1;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;12;0;0;0;0;0;0;8;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;6;0;1;2;1;1;4;1;1;0;2;1;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;0
36030-7118;SUCESSO;0;29;3;1;5;0;0;0;0;0;0;0;11;0;1;7;2;2;2;1;0;0;0;0;1;0;0;0;5;0;0;2;0;0;0;1;2;2;1;6;6;3;0;0;1;0;0;8;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;21;7;3;2;1;0;4;4;0;4;0;0;2;2;0;2;0;1;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;27;2;0;0;1;0;0;18;4;2;2;0;4;0;2;1;0;0;0;0;0;1;1;0;0;0;0;2;2;0;1;0;1;0;1;0;2;1;0;11;0;1;1;0;0;4;0;1;0;2;1;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;2;0;0;0;1
36051-7118;insucesso;0;9;0;0;3;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;1;0;1;1;0;2;0;0;0;0;0;3;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;2;2;0
36069-7118;insucesso;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
36075-7098;SUCESSO;0;9;0;0;1;0;0;0;0;0;0;0;2;0;0;2;0;2;2;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;1;1;2;2;0;1;0;1;0;0;9;0;0;3;2;0;3;0;2;0;0;2;0;0;0;0;0;16;1;0;0;0;1;1;1;4;12;0;0;0;0;3;7;0;4;0;4;2;1;1;1;0;0;2;0;1;0;0;0;2;0;0;0;0;0;15;0;0;0;2;0;0;12;0;1;1;1;8;0;6;3;3;2;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;13;0;1;3;3;2;3;0;2;2;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;3;3;2;2;0;0;0;2
36093-7274;SUCESSO;0;7;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;4;0;0;1;1;1;2;0;2;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36150-7098;insucesso;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36152-7098;insucesso;0;4;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36202-7274;SUCESSO;0;6;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
