IdAluno;Resultado;1>;1>2>;1>46>;1>46>2>;13>;14>;14>14>;14>14>14>;14>14>31>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>2>31>;14>2>41>;14>3>;14>3>2>;14>3>32>;14>3>32>31>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>31>;14>32>;14>32>31>;14>32>31>30>;14>32>31>31>;14>38>;14>38>33>;14>38>36>;14>38>41>;14>41>;14>41>2>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>49>;14>7>;16>;16>31>;16>31>30>;17>;17>30>;17>30>14>;17>31>;2>;2>1>;2>14>;2>14>2>;2>14>31>;2>14>41>;2>2>;2>2>41>;2>31>;2>31>30>;2>41>;2>41>2>;2>41>41>;2>41>41>41>;29>;3>;3>14>;3>2>;3>32>;3>32>31>;30>;30>14>;30>14>2>;30>14>31>;30>14>41>;30>17>;30>17>30>;30>2>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>30>41>;30>30>48>;30>31>;30>31>30>;30>41>;30>48>;31>;31>14>;31>14>41>;31>2>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>31>30>30>;31>41>;31>48>;31>48>30>;32>;32>31>;32>31>30>;32>31>30>30>;32>31>30>31>;32>31>31>;32>31>31>30>;33>;34>;34>38>;36>;36>14>;36>34>;36>34>38>;36>36>;36>36>34>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>36>36>36>36>36>36>;36>36>36>36>36>36>36>36>;36>38>;38>;38>14>;38>33>;38>36>;38>38>;38>41>;39>;39>38>;41>;41>14>;41>2>;41>2>41>;41>31>;41>31>30>;41>38>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;46>;46>1>;46>1>2>;46>2>;48>;48>13>;48>14>;48>29>;48>30>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>48>;6>6>;7>;7>31>;7>5>;7>5>5>;8>
35759-6388;SUCESSO;2;1;2;2;0;12;2;0;0;1;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;1;0;1;0;0;1;9;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;18;0;0;0;0;0;0;2;0;0;1;1;1;3;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
35904-5714;insucesso;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
35973-6398;SUCESSO;0;0;0;0;0;69;3;0;0;1;7;0;2;1;0;0;0;0;0;13;0;8;0;3;2;2;1;0;0;0;0;2;0;0;0;7;0;3;1;0;0;1;2;2;0;1;1;0;0;16;0;0;0;0;0;4;0;2;0;5;0;0;0;0;0;0;0;0;0;17;3;0;1;0;0;0;1;5;2;4;3;2;2;0;0;0;1;0;1;0;23;1;0;0;14;0;4;3;2;2;1;0;0;0;3;3;0;2;2;0;0;0;0;0;0;0;0;2;1;1;2;0;1;1;2;1;2;2;2;2;2;2;0;6;0;2;1;0;4;1;0;18;1;5;0;3;1;3;10;3;0;8;5;3;0;0;0;0;5;0;0;0;0;0;0;0;0;3;2;0;0;0;3;0;3;2;
36002-6398;SUCESSO;1;1;0;0;0;73;3;0;0;0;6;0;0;3;0;0;0;0;0;40;0;25;2;7;3;2;5;0;0;0;0;5;0;3;0;5;0;1;0;0;0;4;3;3;0;15;14;1;0;28;0;1;0;0;0;3;0;8;8;3;0;0;0;2;1;0;0;0;0;87;6;0;4;0;3;3;5;30;2;13;9;5;2;2;2;1;7;4;2;2;79;2;0;0;57;3;17;8;6;2;5;3;0;1;6;4;0;4;0;0;1;1;1;0;0;0;0;3;3;2;43;1;3;2;11;1;3;2;1;1;1;1;1;12;1;3;4;0;0;0;0;58;0;1;0;1;1;1;12;1;0;1;0;0;4;1;1;0;4;0;1;1;0;0;1;0;0;3;3;2;0;0;9;0;3;3;
36026-6389;SUCESSO;1;0;1;0;1;61;3;0;0;0;1;0;1;0;0;0;0;0;0;13;1;11;2;2;1;1;1;0;0;0;0;2;1;0;0;19;0;4;3;0;0;4;4;3;0;6;6;1;0;6;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;1;0;0;27;6;0;1;0;4;4;0;7;0;3;1;1;1;1;1;0;1;0;2;1;29;3;0;0;24;5;6;3;1;1;0;0;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;2;2;1;34;2;1;1;27;1;17;13;10;8;6;5;1;8;1;2;2;0;1;0;0;44;2;2;0;4;4;0;9;0;0;3;0;0;1;0;0;0;3;0;0;1;0;2;0;0;0;0;0;5;0;1;6;0;0;0;
36030-6398;insucesso;0;0;0;0;0;21;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;6;3;3;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;1;1;0;0;3;1;1;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;1;3;0;0;0;0;7;1;0;3;3;1;0;0;0;0;9;0;0;0;1;7;0;0;0;0;0;2;0;0;3;0;0;0;
36069-5714;insucesso;1;0;0;0;0;16;0;0;0;0;5;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;1;0;0;0;0;0;7;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;1;0;0;17;0;0;0;0;0;0;5;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;
36163-6388;SUCESSO;3;0;3;1;0;39;0;0;0;0;6;1;0;0;0;0;0;0;0;7;0;6;0;4;1;0;0;0;0;0;0;3;0;1;0;4;0;0;0;0;0;1;2;2;0;10;7;1;3;12;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;24;1;0;0;0;1;1;1;12;0;5;4;4;3;1;1;0;1;0;1;0;24;4;0;0;13;0;9;4;3;3;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;11;1;1;1;4;0;1;1;1;0;0;0;0;8;1;1;1;0;1;0;0;29;0;3;0;1;0;0;5;1;0;1;0;0;3;0;0;1;3;0;0;0;0;0;0;0;0;3;1;0;0;0;2;0;2;1;
36175-6388;insucesso;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;6;0;1;0;4;1;4;3;1;0;0;0;0;4;0;1;1;0;0;0;0;13;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36182-6398;SUCESSO;1;1;0;0;0;46;2;0;0;0;3;0;0;1;0;13;3;0;0;17;2;15;0;7;3;1;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;1;1;1;0;11;8;4;0;15;0;3;0;0;0;3;0;3;3;1;0;0;0;1;15;0;7;0;0;54;8;0;2;0;1;0;1;20;2;11;5;4;2;0;2;0;1;1;2;1;36;3;0;1;32;0;15;6;1;1;0;0;0;0;3;3;0;0;0;0;3;1;1;0;0;0;0;1;1;0;5;0;0;0;2;0;2;1;1;1;1;1;1;6;0;1;1;0;0;3;0;14;0;1;0;4;3;0;3;1;0;2;1;0;5;1;1;0;3;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;
