IdAluno;Resultado;1>;1>2>;1>46>;1>46>2>;13>;14>;14>14>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>2>31>;14>2>41>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>32>31>;14>38>;14>38>14>;14>38>33>;14>38>36>;14>39>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>48>;14>49>;14>49>48>;14>49>49>;14>7>;14>7>5>;14>7>5>5>;14>8>;16>;16>31>;16>31>30>;17>;17>30>;17>30>14>;2>;2>1>;2>1>46>;2>14>;2>14>2>;2>14>41>;2>2>;2>2>41>;2>3>;2>31>;2>31>30>;2>31>30>30>;2>38>;2>41>;2>41>41>;2>46>;2>46>1>;2>46>1>2>;28>;28>30>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>41>;30>2>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>41>;30>31>;30>31>30>;30>41>;30>48>;31>;31>14>;31>2>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>48>;31>31>;31>31>30>;31>41>;31>48>;32>;32>31>;32>31>30>;33>;34>;34>36>;36>;36>14>;36>34>;36>36>;36>36>34>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>36>36>36>36>36>36>;36>36>36>36>36>36>36>36>;36>38>;38>;38>14>;38>31>;38>33>;38>36>;38>41>;38>41>41>;39>;39>38>;41>;41>14>;41>2>;41>31>;41>31>30>;41>38>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;42>;46>;46>1>;46>1>2>;46>2>;48>;48>13>;48>14>;48>29>;48>30>;48>48>;49>;49>48>;49>49>;49>49>48>;49>49>49>;5>;5>5>;6>;6>6>;6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>
22611-4130;insucesso;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;0;0;0;0;1
22614-4604;insucesso;3;2;1;1;0;34;2;0;8;2;1;1;0;0;0;3;0;1;0;0;0;0;0;0;0;1;0;1;0;0;13;0;0;5;1;0;0;0;0;2;0;0;0;1;1;1;3;3;0;13;1;1;4;0;1;1;0;1;1;0;0;0;0;0;2;1;0;0;0;0;1;0;1;5;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;7;0;1;3;1;1;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1;1;0;3;0;0;3;0;3;2;2;2;2;2;1;2;0;0;1;0;0;0;0;0;22;0;0;1;0;0;5;0;0;1;0;0;0;3;1;0;1;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;2;0;0;0;1
22694-4604;SUCESSO;1;0;1;1;0;33;0;0;2;0;0;0;0;21;9;3;0;2;1;1;1;0;0;0;0;1;0;0;0;2;2;0;0;0;0;0;1;0;1;1;0;0;0;1;1;1;1;1;1;15;1;1;1;0;0;2;0;0;2;2;0;0;1;0;0;0;0;0;0;0;23;0;10;11;3;0;0;0;8;2;6;2;1;0;0;0;0;0;0;0;3;0;12;0;0;10;0;8;6;1;0;0;0;0;0;0;0;1;0;1;1;1;3;2;1;9;0;1;4;0;4;3;2;1;1;0;2;12;0;0;2;3;1;0;7;5;13;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;3;0;1;1;0;1
23725-4605;insucesso;2;1;2;1;0;57;4;0;7;1;0;0;2;0;0;10;0;7;5;4;0;0;0;0;0;11;0;3;0;0;10;2;0;6;5;0;3;0;0;6;3;2;0;1;1;0;1;0;0;17;1;1;2;0;0;1;0;0;0;0;0;1;3;1;0;0;0;0;0;3;0;0;0;12;1;0;0;1;5;0;4;0;1;0;0;0;0;0;2;0;1;1;17;2;0;10;0;5;4;1;0;0;1;0;0;1;1;1;3;0;0;0;3;2;2;6;0;1;4;1;3;2;1;0;0;0;2;16;2;0;3;2;2;2;0;0;30;3;6;1;0;0;12;3;0;8;4;3;0;3;1;1;1;6;0;0;3;1;0;5;2;4;2;0;4;3;2;0;0;7;1;4;3;0;0
24108-4130;SUCESSO;2;1;1;1;0;32;1;0;6;0;3;0;1;0;0;8;0;5;1;0;0;0;1;0;0;3;0;0;0;0;7;0;1;2;1;0;0;0;0;1;0;0;0;2;2;1;5;5;0;12;0;0;2;0;0;4;0;0;1;1;0;0;3;0;2;2;0;0;0;1;0;0;0;17;1;0;0;1;3;0;2;0;2;1;1;0;0;0;0;0;0;2;15;0;0;11;1;2;1;1;1;1;0;0;0;1;1;1;0;0;0;0;2;2;0;5;0;2;5;0;2;2;1;1;0;0;1;9;1;0;2;0;1;0;0;0;20;1;2;1;0;2;3;0;0;1;0;0;0;2;2;1;1;3;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
24794-4130;insucesso;3;0;3;3;0;30;0;0;9;4;1;0;0;1;0;4;2;2;0;0;0;0;0;0;0;2;0;1;0;0;18;0;0;5;1;0;1;0;0;3;2;2;0;1;1;1;0;0;0;11;2;2;7;3;1;2;0;1;0;0;0;0;0;0;1;1;0;0;0;0;2;2;0;6;3;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;10;5;0;6;3;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;2;1;11;0;1;8;1;3;1;1;1;0;0;1;4;2;0;2;0;0;0;0;0;21;2;2;0;0;1;6;1;0;1;0;0;1;3;1;0;3;0;0;0;0;0;0;1;0;1;0;0;3;3;5;0;0;5;0;3;3;1;0
25130-4130;SUCESSO;2;2;1;1;0;29;1;1;5;0;0;0;2;0;0;5;0;0;0;0;0;0;1;1;0;2;0;0;0;0;10;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;8;1;0;0;0;0;0;0;1;0;0;0;0;2;0;2;2;0;0;0;1;1;0;0;20;2;1;0;0;8;1;2;0;1;1;1;1;1;0;1;0;2;3;16;0;0;9;1;6;2;1;1;1;0;0;0;1;0;1;4;2;1;1;1;1;1;6;0;0;4;0;2;2;2;2;1;0;1;4;0;0;1;0;0;0;0;0;32;0;2;3;3;0;5;0;2;2;1;0;0;2;2;2;1;11;0;2;1;5;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
26702-4605;SUCESSO;0;0;0;0;0;208;5;1;12;0;3;0;0;3;0;52;0;23;2;1;1;2;7;0;0;7;0;0;2;1;23;0;3;7;1;0;31;6;8;4;1;0;0;2;2;2;11;10;1;26;0;0;2;1;1;5;0;1;2;1;0;0;2;0;0;0;0;0;0;1;5;2;0;64;7;1;0;0;13;2;3;0;3;2;1;1;1;0;5;4;4;3;92;4;0;46;3;6;3;3;2;1;4;3;0;10;3;10;3;1;1;1;4;3;1;15;2;3;6;0;6;2;2;1;1;0;1;33;4;0;4;6;3;0;2;2;71;1;2;6;2;1;19;0;2;3;0;0;1;1;0;0;0;47;0;5;1;2;8;44;19;11;8;2;3;1;81;25;9;10;0;2;0;4;0
26721-4130;insucesso;2;2;0;0;0;14;0;0;5;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;3;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;9;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;2;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;6;0;1;1;0;0;1;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0;0
26983-4605;SUCESSO;1;0;1;1;0;10;0;0;3;0;1;0;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;4;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;2;0;0;2;0;2;1;1;1;0;0;1;2;0;0;1;0;0;0;0;0;10;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
