IdAluno;Resultado;1>;1>2>;1>2>14>;1>46>;1>46>2>;1>46>2>14>;13>;14>;14>14>;14>14>31>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>2>3>;14>2>41>;14>3>;14>3>14>;14>3>2>;14>30>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>31>;14>31>31>;14>31>32>;14>32>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14>7>;14>7>6>;16>;16>31>;16>31>14>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>2>;2>14>41>;2>2>;2>3>;2>3>14>;2>3>2>;2>31>;2>41>;2>41>41>;2>46>;2>46>1>;2>46>1>2>;3>;3>14>;3>2>;30>;30>14>;30>14>41>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>14>;30>31>30>;30>31>30>31>;30>41>;30>41>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>14>;31>30>31>30>;31>30>31>30>31>;31>30>41>;31>31>;31>31>30>;31>31>31>;31>32>;31>32>31>;31>32>31>30>;31>41>;31>48>;32>;32>14>;32>31>;32>31>30>;32>31>32>;41>;41>14>;41>2>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;43>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>;44>14>;44>14>41>;44>14>43>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>14>41>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>;46>;46>1>;46>1>2>;46>1>2>14>;46>2>;46>2>14>;48>;48>13>;48>14>;49>;49>14>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;6>6>6>6>6>;7>;7>5>;7>5>5>;7>6>;8>
27820-5061;insucesso;2;1;0;1;1;0;0;40;2;0;0;6;0;2;0;0;0;0;0;0;3;0;2;1;0;0;0;0;0;14;0;0;5;0;0;1;1;0;0;0;0;1;0;3;1;0;1;1;13;1;1;1;3;1;0;3;0;0;0;1;1;1;1;1;1;0;0;0;7;2;0;2;1;0;1;0;0;0;1;0;0;11;1;0;1;5;1;2;1;0;0;0;0;0;1;3;2;0;0;0;0;4;0;0;0;0;0;0;49;0;2;1;0;0;14;0;0;0;3;1;1;0;0;3;2;4;2;1;7;4;3;1;1;7;3;1;1;4;3;1;2;2;1;2;2;0;0;0;2;1;1;0;1;0;2;0;0;0;0;0;0;0;15;12;8;6;4;3;0;0;0;0
27889-5061;SUCESSO;3;1;0;2;2;1;0;36;7;0;3;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;0;0;14;1;1;1;2;1;0;0;4;1;0;0;0;0;1;1;1;4;1;2;1;0;0;0;0;0;1;0;0;0;0;0;0;3;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
28250-4917;SUCESSO;4;2;1;2;2;1;9;61;2;2;0;5;0;0;0;0;0;0;0;0;13;0;4;1;0;1;5;0;0;20;0;1;7;3;0;0;0;0;0;3;0;0;0;3;2;1;3;3;11;1;1;1;2;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;11;3;1;1;0;0;2;1;0;0;0;0;3;31;5;1;3;9;2;1;0;0;1;0;0;0;0;9;0;3;0;0;0;1;2;0;0;0;0;0;49;0;1;7;1;3;13;0;1;0;5;2;1;0;0;0;0;0;0;0;2;2;1;1;0;5;1;0;0;1;1;0;1;0;0;0;0;0;0;0;4;2;2;1;2;1;14;9;0;0;0;0;3;1;0;0;0;0;0;2;1;1;0;0
28256-5061;insucesso;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;1;1;0;0;0;0;1;0;0;3;2;1;1;3;0;2;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;1;1;0;1;0;0;0;0
28386-5061;insucesso;0;0;0;0;0;0;0;10;0;0;0;4;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;1;0;0;1;0;1;0;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29016-5061;SUCESSO;2;0;0;2;2;1;0;50;9;0;1;8;4;0;0;0;10;6;3;0;7;2;3;0;0;1;0;2;6;6;0;0;0;0;0;0;1;1;1;0;2;0;0;3;3;2;2;2;14;1;1;1;6;0;0;0;2;1;0;0;0;0;0;0;0;14;8;3;14;4;1;1;0;0;7;6;4;4;0;0;0;25;12;2;1;12;3;0;0;0;6;5;4;4;0;1;0;0;6;5;4;0;0;12;4;8;6;3;31;0;1;0;0;0;6;0;0;0;2;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;2;1;1;0;0;3;3;1;2;1;0;0;0;0;0;2;1;0;0;0
30609-5061;insucesso;0;0;0;0;0;0;0;5;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;1;1;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31256-5061;insucesso;0;0;0;0;0;0;0;33;0;0;0;7;2;0;2;0;2;0;1;0;1;0;0;0;0;0;0;0;0;12;0;0;4;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;12;0;0;0;3;0;1;0;2;0;0;0;0;0;0;0;0;5;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;1;0;0;0;7;1;0;0;2;0;0;0;0;0;0;0;0;0;5;3;1;0;0;10;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31384-5061;SUCESSO;2;2;2;0;0;0;0;19;0;0;0;6;1;0;0;0;0;0;0;0;2;1;2;0;0;0;0;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;11;0;0;0;6;1;2;0;0;0;0;0;0;0;2;2;2;3;0;3;8;3;0;2;2;0;0;0;0;0;0;0;1;8;2;1;0;7;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;9;0;1;4;0;4;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;2;2;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;0
31444-5061;insucesso;3;2;0;0;0;0;0;77;4;0;0;11;0;4;0;1;0;0;0;0;7;0;4;0;3;0;0;0;0;21;0;0;6;1;1;5;3;3;0;0;0;1;0;9;9;8;1;1;23;0;0;0;1;0;0;6;0;0;0;2;1;1;3;3;2;0;0;0;10;1;0;6;5;5;0;0;0;0;3;1;0;23;8;2;1;10;1;6;5;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;73;1;2;2;0;1;29;0;1;0;9;3;0;0;0;2;2;8;8;4;23;22;10;4;1;35;10;7;2;17;10;7;7;6;5;3;3;1;0;0;4;3;2;0;0;0;1;0;0;1;0;0;1;1;9;2;0;0;0;4;1;1;0;0
