IdAluno;Resultado;1>;1>2>;1>2>14>;1>46>;1>46>2>;1>46>2>14>;13>;14>;14>14>;14>14>31>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>2>3>;14>2>41>;14>3>;14>3>14>;14>3>2>;14>30>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>31>;14>31>31>;14>31>32>;14>32>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14>7>;14>7>6>;16>;16>31>;16>31>14>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>2>;2>14>41>;2>2>;2>3>;2>3>14>;2>3>2>;2>31>;2>41>;2>41>41>;2>46>;2>46>1>;2>46>1>2>;3>;3>14>;3>2>;30>;30>14>;30>14>41>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>14>;30>31>30>;30>31>30>31>;30>41>;30>41>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>14>;31>30>31>30>;31>30>31>30>31>;31>30>41>;31>31>;31>31>30>;31>31>31>;31>32>;31>32>31>;31>32>31>30>;31>41>;31>48>;32>;32>14>;32>31>;32>31>30>;32>31>32>;41>;41>14>;41>2>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;43>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>;44>14>;44>14>41>;44>14>43>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>14>41>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>;46>;46>1>;46>1>2>;46>1>2>14>;46>2>;46>2>14>;48>;48>13>;48>14>;49>;49>14>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;6>6>6>6>6>;7>;7>5>;7>5>5>;7>6>;8>
31456-4917;insucesso;0;0;0;0;0;0;0;25;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;2;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;4;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;24;1;0;2;0;1;5;0;0;0;3;2;0;0;0;0;0;0;0;0;6;3;3;1;1;5;1;0;1;4;1;0;2;1;0;2;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;4;2;1;0;0;2;1;1;0;0
31488-4917;insucesso;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;5;0;0;3;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1;0;0;0;0;5;0;0;0;2;1;0;0;0;0;0;0;0;0;3;2;2;2;2;7;0;0;0;3;0;0;2;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31522-4917;SUCESSO;2;1;1;1;1;1;0;33;8;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1;1;2;1;0;0;3;3;3;0;0;0;0;0;0;0;0;0;9;1;1;1;3;1;0;0;2;2;0;0;1;0;0;0;0;2;2;0;3;1;1;0;0;0;1;0;0;0;0;0;0;5;2;0;0;3;1;0;0;0;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;26;0;2;2;1;1;7;0;1;0;5;1;0;0;0;0;0;0;0;0;10;10;3;3;0;31;5;1;0;10;2;0;6;0;0;0;0;0;0;0;2;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31529-4917;SUCESSO;3;3;1;2;2;0;0;52;1;1;0;3;0;0;0;0;0;0;0;0;8;0;3;0;0;1;1;0;0;15;0;0;10;3;0;0;1;1;0;0;0;3;1;2;2;1;0;0;9;1;1;1;1;1;0;1;0;0;0;0;3;0;3;3;3;0;0;0;9;0;0;3;1;0;1;0;0;0;0;0;0;19;2;1;0;9;0;3;0;0;1;0;0;0;0;3;0;1;0;0;0;4;0;0;0;0;0;0;53;0;1;4;0;1;23;0;4;0;11;5;2;0;0;0;0;0;0;0;4;4;0;0;0;14;3;2;0;2;1;0;1;0;0;0;0;0;0;0;3;3;3;1;2;0;1;0;0;0;0;0;3;2;30;15;10;5;2;7;3;2;2;0
31566-5061;insucesso;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;3;0;0;0;3;3;2;1;1;0;0;0;0;0;2;2;2;2;2;6;2;1;1;4;2;1;2;2;1;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31601-4917;insucesso;0;0;0;0;0;0;0;37;2;0;0;3;0;0;0;2;0;0;0;0;5;0;2;0;0;0;0;0;0;10;0;0;1;1;0;0;2;2;0;0;0;1;0;1;1;1;0;0;3;0;0;0;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;5;0;0;3;3;0;1;0;1;0;1;0;0;8;3;2;1;4;0;2;2;0;0;0;0;0;1;1;1;0;0;0;0;1;0;2;1;0;0;0;25;1;0;1;0;0;6;0;0;0;3;1;1;0;0;1;1;1;1;1;10;10;6;3;1;12;8;4;1;6;5;3;3;3;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;4;3;3;0;1
31743-5061;insucesso;4;2;0;3;3;0;0;23;0;0;0;5;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;19;1;1;1;0;0;0;0;0;0;0;1;2;1;2;2;2;0;0;0;4;0;0;1;1;0;0;0;0;0;1;0;0;6;1;0;0;3;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;29;1;1;3;0;2;13;0;2;1;3;3;1;1;1;0;0;1;1;1;3;3;1;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;2;2;0;3;0;3;0;0;1;0;0;9;5;38;20;10;6;5;7;5;2;0;0
31747-5061;insucesso;2;1;0;1;1;0;0;39;0;0;0;7;0;1;0;1;5;0;4;0;2;0;2;1;0;0;0;0;0;14;0;0;11;5;3;0;1;0;0;0;0;0;0;2;2;0;0;0;29;1;1;1;2;0;0;2;0;0;0;1;4;3;1;1;1;6;0;4;10;1;0;0;0;0;2;0;0;0;0;0;0;9;0;0;0;7;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;42;0;7;1;0;0;23;5;1;0;11;9;7;5;5;3;0;4;0;0;6;1;0;0;0;4;0;0;0;2;0;0;2;0;0;2;0;2;2;1;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31755-4917;insucesso;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;2;0;2;0;0;0;0;7;3;2;1;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;1;0;1;4;0;1;1;1;0;0;0;0;0;0;0;0;0;2;2;2;2;1;8;1;0;0;6;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;0
31759-4917;SUCESSO;2;1;0;0;0;0;0;20;0;0;0;2;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;19;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0;0;2;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0
31810-4917;insucesso;2;0;0;1;0;0;0;8;1;0;0;0;0;0;0;0;5;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;1;0;0;0;0;1;0;0;0;0;1;0;1;1;0;9;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32015-4917;SUCESSO;2;1;0;1;1;0;0;41;3;0;1;4;0;0;0;0;0;0;0;0;2;0;1;0;0;1;0;0;0;8;1;1;2;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;7;1;1;1;3;1;0;1;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;4;2;1;1;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;1;2;2;0;8;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32030-5061;insucesso;2;0;0;2;2;0;0;115;7;0;0;6;2;2;0;0;2;0;0;4;14;0;9;2;3;0;0;0;0;15;0;0;5;3;2;1;4;4;0;5;0;4;0;7;6;2;7;7;22;2;2;2;6;2;0;2;0;0;0;0;2;1;0;0;0;4;1;0;38;18;0;8;2;1;3;0;2;0;1;1;0;43;9;2;3;24;6;7;2;1;1;0;0;0;1;4;2;0;0;0;0;1;0;0;0;0;0;0;62;2;3;4;0;3;19;2;2;1;10;6;4;2;1;0;0;4;2;0;17;12;4;3;1;29;7;1;3;6;5;0;5;4;0;1;1;1;1;1;2;0;0;0;2;0;11;0;4;0;0;0;0;0;54;24;14;8;2;9;0;0;0;0
33161-5061;SUCESSO;2;1;0;1;1;0;0;20;0;0;0;4;0;0;0;0;6;0;3;0;2;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;11;1;1;1;2;1;0;3;1;0;0;0;0;0;1;1;1;9;0;6;5;0;0;2;2;0;0;0;0;0;0;0;2;7;1;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;15;0;0;1;0;0;3;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;2;1;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
35410-4917;insucesso;1;0;0;1;1;0;0;50;1;0;0;3;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;4;2;1;0;0;0;0;1;0;2;0;0;0;0;0;0;9;0;0;0;2;1;1;1;1;0;1;0;3;1;0;0;0;1;0;1;3;0;0;1;0;0;1;0;0;0;0;0;0;7;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;30;2;2;3;0;2;12;1;2;1;7;4;1;1;1;1;1;1;1;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;4;0;0;3;0;0;1;1;9;5;0;0;0;5;1;1;0;1
36099-5061;insucesso;1;1;0;0;0;0;0;44;0;0;0;6;0;2;0;0;0;0;0;0;3;0;1;0;1;0;0;0;0;3;0;0;1;0;0;0;1;1;0;0;0;1;0;1;1;0;0;0;12;0;0;0;1;0;0;3;0;0;0;0;2;0;1;1;1;0;0;0;5;0;0;3;1;0;0;0;0;0;1;1;0;8;0;0;0;5;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;24;0;1;1;0;1;9;1;1;1;2;2;0;0;0;1;1;2;1;0;4;3;1;1;1;6;1;0;1;2;1;0;2;1;0;1;1;0;0;1;1;1;1;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;2;1;1;0;0
36328-5061;insucesso;0;0;0;0;0;0;0;36;2;0;0;5;2;0;2;0;1;0;0;0;4;0;2;1;0;0;0;0;0;12;0;0;4;3;2;1;2;2;0;0;0;1;0;1;1;0;1;1;15;0;0;0;3;1;2;0;5;0;4;0;2;2;0;0;0;6;4;5;8;2;0;0;0;0;3;0;2;0;0;0;0;10;2;0;0;7;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;33;4;4;1;0;1;14;1;1;1;6;5;2;0;0;3;3;6;5;2;9;8;3;1;0;23;4;2;1;10;3;2;3;1;0;2;1;1;0;1;0;0;0;0;0;0;5;0;2;0;0;0;0;0;3;2;2;2;1;1;0;0;0;0
36331-4917;SUCESSO;4;3;1;1;1;0;1;90;4;0;1;5;1;0;0;0;3;1;1;0;13;3;7;2;0;1;0;3;2;19;1;1;3;0;0;0;2;1;0;2;3;5;2;7;7;2;1;1;15;0;0;0;3;0;1;0;2;2;0;0;0;0;2;2;2;5;3;1;19;4;1;3;1;0;8;0;3;2;0;0;0;33;9;1;0;15;3;1;0;0;7;0;3;2;0;1;0;1;8;6;3;2;3;12;5;9;4;3;74;0;2;2;0;1;19;0;1;0;9;4;3;0;0;0;0;0;0;0;5;3;1;1;0;12;2;2;0;5;2;0;1;0;0;0;0;0;0;0;5;3;3;1;1;0;9;1;0;3;2;3;9;8;52;20;12;6;4;11;4;4;2;0
36699-4917;insucesso;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;5;0;0;3;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;3;2;1;0;0;0;0;0;0;0;9;0;0;0;4;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;17;1;0;2;0;1;6;0;1;1;3;1;1;0;0;0;0;0;0;0;4;3;1;1;1;3;0;0;0;1;0;0;1;0;0;1;0;1;1;2;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;5;0;0;0;3
