IdAluno;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>14>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>14>31>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>31>41>;14>31>48>;14>32>;14>32>31>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>43>;14>41>43>44>;14>42>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>43>44>44>44>44>;14>48>;14>49>;14>7>;14>7>5>;14>7>5>5>;14>8>;16>;16>31>;17>;17>30>;2>;2>14>;2>14>41>;2>2>;2>3>;2>41>;2>41>41>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>14>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>31>30>31>30>31>;30>32>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>14>31>30>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>14>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>31>30>31>30>31>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>30>;41>31>30>30>;41>41>;41>41>2>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>43>;41>41>43>;41>41>43>44>;41>41>43>44>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;41>7>;42>;43>;43>14>;43>41>;43>43>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>14>41>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>14>41>;44>44>44>44>44>;44>44>44>44>44>44>;45>;45>43>;45>43>44>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>30>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;7>;7>14>;7>5>;7>5>5>;8>
41425-6402;insucesso;2;0;1;1;29;0;0;0;2;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;1;1;13;0;0;3;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;6;0;0;0;0;0;0;0;1;1;0;8;3;0;0;2;2;0;0;0;0;0;1;4;0;3;0;0;0;0;0;0;11;0;0;0;8;3;0;0;1;0;0;0;3;0;2;0;0;0;0;0;0;1;0;2;1;1;1;39;0;0;0;0;0;14;0;0;0;3;0;2;2;1;0;2;2;0;5;5;2;2;0;0;10;0;1;0;9;2;4;3;0;0;21;5;2;1;1;1;8;2;0;5;1;0;1;0;0;0;0;3;3;1;2;1;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
41520-6401;insucesso;1;0;1;1;15;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;1;0;0;0;10;1;0;0;6;0;4;0;0;0;1;1;0;3;3;1;1;0;0;6;0;1;0;6;1;5;3;1;0;13;2;2;1;0;0;7;0;0;3;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
41556-6400;SUCESSO;3;1;2;2;25;1;0;0;3;0;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;7;2;0;1;1;1;0;0;0;2;2;2;2;1;0;0;1;1;1;0;0;0;0;0;12;4;0;3;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;22;0;3;1;0;0;4;0;0;0;2;0;1;1;1;0;0;0;0;0;0;0;0;0;1;6;0;0;0;5;1;4;4;3;1;5;2;0;0;1;0;4;2;0;4;2;0;3;2;0;1;0;4;4;0;3;1;1;2;2;2;0;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0
41593-6400;insucesso;0;0;0;0;12;1;0;0;1;0;0;1;1;3;0;2;0;0;1;1;0;0;1;0;0;0;0;4;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;1;0;1;4;1;0;0;0;2;1;2;2;0;0;0;0;0;0;0;0;0;2;0;0;5;2;0;1;4;0;0;0;2;2;2;0;0;0;0;0;0;0;1;0;0;2;1;0;2;1;0;17;0;0;1;1;0;6;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;1;3;2;1;1;3;3;1;1;0;0;3;3;1;2;2;0;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0
42004-6402;SUCESSO;0;0;0;0;29;1;0;0;2;0;0;0;0;6;1;3;0;0;0;0;1;1;0;0;0;0;0;8;1;0;2;1;1;0;0;0;0;0;0;0;0;3;0;1;0;0;0;3;3;0;0;3;2;0;0;0;0;0;0;1;0;0;5;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0;1;19;5;2;0;5;1;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;3;2;1;0;0;0;42;1;2;4;0;0;12;0;3;0;6;2;3;2;2;0;0;0;0;1;1;0;0;0;0;2;0;0;0;2;1;1;0;0;0;2;2;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5;3;0;0;0;0;0;0;2;1;1;0;0;2;0;1;1;0
42237-6402;SUCESSO;1;1;0;0;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;3;1;1;1;1;0;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;1;1;1;0;5;0;1;0;2;0;2;0;0;0;0;0;0;1;1;1;0;0;0;4;0;0;0;4;0;2;2;2;0;10;2;0;0;2;0;5;1;0;3;0;0;2;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42250-6402;SUCESSO;1;0;1;1;24;1;1;0;2;0;1;0;0;2;0;2;1;0;1;1;0;0;0;0;0;0;0;13;0;0;2;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;6;2;0;1;0;1;0;0;0;0;0;2;2;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;2;2;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;24;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;1;1;1;0;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
42261-6402;insucesso;0;0;0;0;47;0;0;0;0;0;0;0;0;15;0;9;0;0;5;2;0;0;2;0;0;0;0;9;0;0;3;1;1;0;0;0;1;1;1;0;0;0;0;2;0;0;0;2;2;2;2;1;0;0;0;0;0;0;0;0;0;0;16;4;2;0;3;8;2;4;1;1;0;2;2;0;1;0;0;0;0;0;0;26;2;0;0;15;2;0;0;8;4;1;0;0;0;0;0;0;0;3;2;0;2;0;1;0;0;0;33;1;0;3;0;0;9;0;1;0;3;0;1;1;0;0;1;1;0;2;1;0;0;1;0;7;1;2;0;4;1;2;1;1;1;9;2;0;0;1;1;3;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;2;0;2;3;3;21;10;5;6;0;3;3;0
42304-6402;insucesso;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43058-6400;SUCESSO;1;1;0;0;128;3;1;2;3;0;0;0;0;46;3;30;5;5;12;7;1;1;4;3;1;0;0;30;3;2;7;2;0;2;2;0;3;2;2;2;2;0;0;3;0;0;3;4;4;12;12;6;1;0;0;0;2;0;0;0;0;0;68;16;12;6;1;20;3;12;6;4;0;1;2;0;2;0;0;0;0;0;2;75;8;4;1;47;9;8;4;16;10;6;4;1;0;1;0;0;0;8;3;0;8;1;2;1;0;0;95;2;3;9;4;0;34;0;4;0;11;2;5;4;1;1;4;3;3;7;6;5;0;0;1;17;0;0;2;15;4;9;2;2;0;20;7;3;2;2;0;9;3;2;2;0;0;2;0;0;0;0;3;3;0;1;1;1;0;7;2;0;0;0;1;1;1;2;2;18;3;0;12;4;2;2;4
