IdAluno;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>41>;14>14>41>41>;14>2>;14>2>14>;14>2>2>;14>3>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>32>31>;14>32>31>30>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>43>;14>41>43>44>;14>42>;14>42>41>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>45>;14>49>;14>49>49>;14>49>49>48>;14>7>;14>7>5>;14>7>5>5>;16>;16>31>;16>31>14>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>41>;2>2>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>31>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>31>30>32>;30>32>;30>32>31>;30>41>;30>48>;31>;31>14>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>32>;31>30>41>;31>31>;31>31>30>;31>32>;31>41>;31>48>;32>;32>14>;32>31>;32>31>30>;32>31>30>31>;41>;41>14>;41>2>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;42>;42>41>;43>;43>14>;43>41>;43>43>;43>44>;43>44>14>;43>44>44>;43>44>44>14>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>14>41>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>14>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>30>;48>48>;49>;49>48>;49>49>;49>49>48>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>
36041-5490;SUCESSO;1;0;1;1;24;1;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;9;0;3;3;3;2;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;2;1;1;1;1;0;0;1;0;0;0;0;2;0;0;4;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;3;0;0;3;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;26;3;1;0;0;6;0;0;4;0;4;3;3;1;0;1;1;3;2;1;0;0;6;0;0;0;5;0;3;0;2;2;1;7;1;1;1;0;0;4;1;1;2;0;0;2;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;4;0;2;2;1;0
36054-5384;SUCESSO;1;0;1;1;20;1;1;0;3;0;0;2;2;1;1;0;0;0;0;0;0;0;0;8;0;4;0;0;0;0;0;0;0;5;4;1;1;0;0;0;0;0;0;0;1;1;1;0;0;8;0;0;0;1;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0;2;0;1;1;1;1;0;0;0;0;0;0;0;1;0;4;1;0;3;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;2;0;0;0;12;0;0;6;0;1;0;0;0;0;2;2;3;3;1;0;0;11;0;1;2;11;1;5;0;3;2;1;22;3;2;0;1;1;7;1;0;4;1;0;4;1;3;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;1;3;0;0;0;2;0;1;1;0;0
36057-5384;insucesso;1;0;1;1;15;1;1;0;2;1;0;0;2;0;1;1;0;0;0;0;0;0;0;6;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;4;1;1;1;1;0;0;0;0;0;0;0;0;0;0;3;2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;3;1;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;14;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
36058-5490;SUCESSO;1;1;0;0;51;9;4;0;1;0;0;4;5;0;2;0;0;0;1;3;0;0;0;14;0;6;2;1;1;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;11;0;0;0;0;4;0;2;1;0;0;3;2;0;0;0;0;0;2;2;16;1;0;11;0;0;4;2;1;3;2;0;0;0;0;5;4;0;1;0;0;0;0;0;0;40;1;0;2;1;12;0;0;3;0;1;1;1;1;0;0;0;1;0;0;0;0;11;0;0;0;6;0;5;0;1;0;0;19;1;1;0;0;0;13;1;1;2;0;0;1;0;1;0;2;0;1;1;1;0;4;0;0;0;0;1;1;1;0;0;0;8;2;0;0;4;0;0;0;1;1
36089-5384;insucesso;0;0;0;0;14;1;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;7;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;3;0;0;0;1;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;17;1;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36123-5384;insucesso;0;0;0;0;16;2;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;1;0;0;0;6;0;0;5;0;2;1;1;1;0;0;0;0;0;0;5;5;1;0;0;0;1;0;1;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;3;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36131-5489;insucesso;0;0;0;0;37;3;2;1;2;1;0;1;1;0;1;1;0;0;0;0;1;1;1;13;1;7;1;0;0;1;1;0;0;2;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;5;0;0;0;1;1;0;1;0;0;0;0;2;2;1;9;1;1;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;14;3;0;9;1;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;2;1;1;1;1;42;3;2;3;1;14;1;0;5;0;3;3;2;2;2;1;1;2;2;1;0;0;7;1;0;0;5;0;4;0;2;0;0;6;1;0;0;0;0;5;1;0;3;1;0;1;0;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
36137-5384;insucesso;1;1;0;0;20;5;3;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;9;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;3;2;1;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;1;0;0;6;0;0;2;0;0;0;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;1;1;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36139-5384;insucesso;1;0;1;1;28;0;0;0;2;0;0;0;7;0;4;0;2;0;1;0;0;0;0;2;1;0;0;0;0;1;1;0;0;2;2;0;0;1;0;0;0;1;1;1;0;0;0;0;0;7;1;1;1;1;0;0;0;0;0;0;0;0;0;0;18;2;1;0;0;7;0;3;1;0;0;2;1;0;0;0;0;0;1;0;18;0;0;10;0;0;3;2;0;1;1;0;0;0;1;4;3;0;2;0;0;0;0;0;0;15;0;1;3;2;4;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;4;0;1;0;3;0;2;1;1;1;0;5;2;1;0;0;0;3;2;1;1;1;0;1;1;0;0;2;0;1;0;0;1;7;1;0;0;0;0;0;0;0;3;3;0;0;0;0;3;0;3;3;0;0
36145-5384;insucesso;0;0;0;0;17;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;4;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;3;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;7;0;0;1;0;5;1;0;3;0;1;0;0;0;0;1;1;1;1;1;0;0;4;1;0;0;2;0;2;0;0;0;0;6;1;1;0;0;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;12;3;3;0;3;1;0;0;0;0
