IdAluno;Resultado;1>;1>2>;1>46>;1>46>2>;1>46>2>14>;13>;14>;14>14>;14>14>2>;14>14>41>;14>2>;14>2>46>;14>2>46>1>;14>2>46>1>2>;14>3>;14>3>14>;14>3>2>;14>30>;14>31>;14>31>14>;14>31>30>;14>32>;14>32>31>;14>41>;14>41>31>;14>41>41>;14>41>41>31>;14>41>41>41>;14>41>41>41>41>;14>42>;14>43>;14>43>44>;14>43>44>44>;14>45>;14>45>43>;14>48>;14>48>13>;14>49>;14>49>48>;14>49>49>;14>7>;14>7>5>;14>8>;14>8>7>;16>;16>31>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>41>;2>2>;2>3>;2>41>;2>41>41>;2>46>;2>46>1>;2>46>1>2>;24>;29>;29>14>;29>30>;29>48>;3>;3>14>;3>2>;30>;30>14>;30>30>;30>30>14>;30>30>30>;30>31>;30>31>30>;30>32>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>41>41>;31>48>;31>48>29>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>14>;41>31>30>;41>31>30>30>;41>41>;41>41>14>;41>41>2>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>43>44>44>;42>;43>;43>14>;43>41>;43>43>;43>44>;43>44>14>;43>44>14>41>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;44>45>;45>;45>43>;45>43>44>;46>;46>1>;46>1>2>;46>2>;46>2>14>;48>;48>13>;48>14>;48>29>;48>29>14>;48>29>30>;48>29>48>;48>30>;48>48>;48>49>;49>;49>14>;49>48>;49>48>29>;49>49>;49>49>48>;49>49>49>;5>;5>5>;6>;6>14>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;8>7>5>;8>7>5>5>;8>7>6>
14932-4114;insucesso;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;6;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;3;1;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;0;0;0
18444-4114;insucesso;2;1;1;1;0;0;20;1;0;0;3;1;1;1;2;0;0;0;1;0;0;0;0;5;0;2;0;1;0;0;1;1;0;2;1;1;0;0;0;0;0;0;0;0;1;1;0;0;4;1;1;1;0;0;0;0;0;0;1;1;1;1;1;0;0;0;5;2;0;3;0;1;0;1;1;0;0;0;1;2;1;1;0;2;0;1;1;1;0;1;0;1;0;0;0;2;1;0;0;19;2;0;0;0;0;0;7;1;0;0;0;5;2;0;0;0;1;1;0;0;0;5;1;0;0;5;0;0;1;0;0;0;17;1;1;0;0;4;1;1;1;0;0;0;2;1;1;2;1;1;1;0;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21380-4114;insucesso;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;11;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;9;2;2;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21894-4114;insucesso;4;1;3;2;0;0;33;3;0;0;1;1;1;1;11;3;5;0;0;0;0;3;2;11;2;3;1;1;1;3;0;0;0;2;2;0;0;0;0;0;1;0;0;0;2;2;0;0;10;2;2;1;1;1;1;3;1;0;1;1;1;1;0;0;0;0;14;5;6;3;0;0;0;0;0;0;2;0;0;8;3;0;0;2;0;0;0;0;0;1;1;0;0;1;0;7;4;4;1;46;0;0;3;2;0;0;8;0;0;1;0;4;2;1;1;1;1;2;2;0;4;6;0;0;0;6;1;1;4;0;0;0;10;4;3;0;0;4;2;0;0;0;0;1;3;3;3;4;1;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;6;2;1;3;0;0;0;0;0;0;0;0;0
22135-4114;insucesso;2;0;1;0;0;0;21;3;1;1;2;0;0;0;2;1;1;0;1;0;0;0;0;6;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;8;0;0;0;2;1;0;0;0;0;1;1;0;0;0;0;0;0;2;1;1;1;0;0;0;0;0;0;0;0;1;4;2;0;0;0;0;0;0;0;0;2;0;1;0;0;0;1;0;1;0;17;0;1;1;0;0;0;5;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;2;1;0;0;0;4;0;0;0;0;0;0;1;1;0;2;1;1;0;2;1;2;1;0;2;0;1;1;1;2;0;1;0;1;2;1;1;0;0
22279-4114;insucesso;2;1;1;1;0;0;22;3;1;1;3;0;0;0;9;2;5;0;1;0;1;3;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;12;0;0;0;1;0;1;0;1;0;1;1;1;0;0;0;0;0;9;2;5;3;2;0;0;0;2;1;1;0;0;3;0;0;0;3;0;0;0;2;1;0;0;0;0;0;0;6;0;3;3;7;0;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
22363-4114;SUCESSO;2;1;1;1;0;0;80;1;0;0;1;0;0;0;0;0;0;0;15;0;13;0;0;11;0;1;0;0;0;0;3;2;0;0;0;3;0;2;0;0;2;0;1;0;4;4;4;4;6;1;1;1;4;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;33;6;3;0;2;2;1;0;1;6;36;5;0;1;28;3;3;0;2;0;3;1;0;0;1;0;0;0;0;0;43;0;0;2;0;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;1;0;4;0;0;0;0;0;0;21;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;1;1;0;15;0;2;0;0;0;0;0;1;2;10;3;5;0;3;0;0;2;1;21;0;3;1;0;3;1;1;1;0;1;0;0;0;0
24082-4114;insucesso;2;2;0;0;0;0;20;0;0;0;4;2;2;2;1;0;0;0;1;0;1;0;0;8;0;4;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;11;0;0;0;1;1;1;1;3;0;2;2;2;0;0;0;0;0;5;1;1;2;0;1;0;0;0;0;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;27;1;3;0;0;0;0;9;1;1;0;0;7;5;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;1;0;1;0;0;0;0;0;0;0;3;0;0;0;3;0;1;0;0;10;0;4;0;0;3;0;0;0;1;4;3;0;0;1
25326-4114;insucesso;1;0;1;0;0;0;25;2;0;1;0;0;0;0;0;0;0;0;1;0;0;2;1;11;0;4;1;1;0;0;0;0;0;0;0;2;0;1;1;0;1;0;0;0;0;0;0;0;5;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;3;1;0;0;1;0;0;0;0;0;0;0;0;0;2;1;2;0;1;1;24;0;0;1;0;0;0;8;0;0;1;0;4;2;0;0;0;0;1;1;1;0;1;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;0;1;0;1;0;1;1;1;1;1;0;0;0;0;4;0;3;2;2;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
27532-4114;SUCESSO;2;1;1;1;0;1;25;1;0;0;2;0;0;0;0;0;0;0;3;2;1;0;0;9;0;4;0;0;0;0;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;3;1;1;1;2;1;1;0;1;1;1;1;1;0;1;0;0;0;0;0;0;4;0;1;0;0;1;0;0;1;1;5;3;0;1;2;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;32;0;0;2;1;1;1;11;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;3;0;0;1;1;1;0;4;2;0;2;2;3;2;2;1;2;1;0;0;0;0;2;1;1;1;0;5;1;1;1;0;0;0;0;1;4;5;1;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
