IdAluno;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>14>;14>14>31>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>14>31>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>32>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14>7>;14>7>5>;14>7>5>5>;16>;16>31>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>41>;2>2>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>31>;30>31>;30>31>14>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>31>30>31>30>31>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>31>30>31>30>31>;31>30>48>;31>31>;31>31>30>;31>32>;31>41>;31>48>;32>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>30>;41>31>30>30>;41>41>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>7>;42>;43>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>30>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;7>;7>14>;7>5>;7>5>5>;8>
35962-6401;insucesso;3;1;1;1;29;4;0;0;0;5;1;0;0;0;3;0;3;0;0;0;0;2;0;0;0;9;0;0;3;2;2;1;1;0;0;2;2;0;0;0;0;0;0;9;0;0;0;2;0;0;0;2;2;0;0;0;0;0;10;2;0;0;0;1;1;0;0;0;0;5;0;5;0;0;0;0;0;9;0;0;0;9;0;0;1;0;0;0;5;5;0;0;0;0;0;0;0;0;0;1;0;0;20;0;2;0;0;0;10;0;0;7;0;4;1;0;0;0;0;2;0;0;1;1;5;2;2;0;1;0;0;0;2;1;1;0;0;1;1;1;0;0;0;0;0;0;0;3;2;1;1;0;0;0;0;0;2;0;1;1;1;0;0;0;3;0;1;1;0
36130-6401;insucesso;2;1;1;1;53;7;0;0;0;8;3;0;10;9;6;0;6;0;0;4;2;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;21;0;0;0;7;0;0;0;1;1;0;0;11;1;10;13;2;0;0;0;11;1;6;4;2;3;4;0;3;0;0;0;0;0;9;3;0;0;8;0;0;7;4;4;0;2;2;0;0;0;0;1;0;0;0;0;2;2;0;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;7;0;0;0;0;2;0;0;1;0;1;0;1;0;0;2;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;1;1;0
36383-6401;SUCESSO;2;2;0;0;36;6;1;0;0;6;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;3;0;0;2;1;1;0;0;0;0;0;4;2;1;0;0;0;0;12;0;0;0;3;0;1;0;2;2;2;0;9;0;0;15;2;0;0;0;4;0;1;0;0;0;8;0;5;1;1;1;0;0;13;1;0;0;13;2;0;3;1;0;0;7;4;1;1;1;0;0;0;1;0;1;8;8;8;3;0;0;1;1;0;2;1;0;1;0;1;1;1;1;1;1;1;1;1;0;0;2;0;2;0;2;0;0;0;2;1;0;0;0;2;1;0;0;0;0;0;0;0;0;2;2;2;0;1;0;0;0;0;1;0;0;5;5;13;3;1;7;2;4;4;4
36589-6400;insucesso;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
36787-6401;SUCESSO;2;1;1;1;41;2;0;0;1;10;2;3;0;0;3;0;3;0;0;3;1;0;0;0;0;13;1;0;5;1;1;0;0;0;0;2;1;1;1;0;0;0;0;17;1;1;1;5;0;4;1;1;1;1;0;2;0;0;19;2;0;0;0;14;1;7;5;3;0;1;0;1;0;0;0;1;1;8;0;0;0;7;0;0;6;3;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;29;0;3;2;2;0;8;2;0;1;0;1;1;0;0;0;0;1;1;0;0;0;4;1;3;0;1;0;0;0;3;1;1;1;0;1;1;1;0;0;0;0;0;0;0;2;1;1;1;7;4;0;1;0;4;4;3;4;4;0;0;0;5;0;4;4;0
37121-6401;SUCESSO;4;2;2;2;139;6;0;0;0;24;1;8;0;0;35;3;29;13;6;3;3;0;0;1;0;14;2;0;7;0;0;3;2;0;5;0;5;1;1;0;0;2;2;39;0;0;0;5;0;11;1;1;1;1;3;0;0;0;45;16;7;6;1;7;0;6;0;0;0;0;0;0;0;0;0;0;1;45;5;0;0;36;13;6;6;6;0;0;0;0;0;0;0;0;2;2;0;1;1;1;1;0;41;0;3;0;0;0;13;0;0;5;0;2;2;2;2;1;1;2;1;1;0;0;13;0;7;0;3;3;0;0;25;2;0;0;0;9;1;0;4;1;1;1;1;2;0;4;2;2;2;14;2;2;2;0;3;3;2;1;1;23;15;3;6;2;1;1;1
39056-6401;insucesso;1;0;1;1;41;7;0;0;1;6;1;0;7;1;1;0;1;0;0;0;0;0;0;0;1;13;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;5;0;1;0;0;0;0;0;11;8;3;7;3;0;0;1;0;0;0;0;0;0;4;0;3;0;0;0;0;0;8;2;0;2;7;3;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;2;0;0;31;0;1;4;3;0;10;3;2;6;0;4;2;1;1;1;0;2;1;1;0;2;5;1;2;1;2;1;1;0;5;1;0;0;0;4;0;0;2;0;2;0;1;3;2;1;0;0;1;3;2;0;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0
39095-6400;insucesso;2;0;2;2;48;8;0;0;3;3;1;0;0;0;8;0;5;0;0;0;0;0;0;0;0;15;0;0;6;1;0;1;1;0;0;0;1;0;0;0;0;0;0;7;0;0;0;2;1;1;0;0;0;0;0;0;0;0;16;2;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;1;1;20;4;0;2;14;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;42;0;3;3;1;1;14;3;1;4;0;1;1;1;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;6;1;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;2;1;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;1;0
39383-6401;SUCESSO;2;2;0;0;35;2;0;1;1;4;0;0;0;0;4;0;3;0;0;3;2;0;0;0;0;13;2;1;2;2;0;0;0;0;0;0;2;1;1;0;0;1;1;14;0;0;0;0;0;0;1;2;2;2;0;1;0;0;38;0;0;0;0;30;0;25;20;16;0;4;0;2;0;0;0;0;0;18;1;0;0;15;0;0;13;10;8;5;1;0;0;0;0;0;1;0;1;1;0;1;0;0;35;0;2;3;2;0;9;0;0;4;0;1;0;0;0;0;0;3;2;1;0;0;7;0;6;0;3;2;1;0;8;2;1;1;0;3;1;0;2;0;1;0;1;0;0;2;2;2;0;0;0;0;0;0;0;0;0;4;4;0;0;0;9;0;4;4;0
39429-6400;insucesso;2;1;1;1;44;3;0;0;1;5;0;0;5;0;12;0;8;0;0;2;1;3;0;3;2;17;0;0;2;1;1;0;0;0;0;0;0;0;0;1;1;0;0;11;0;0;0;0;0;3;6;1;1;0;0;7;1;0;31;4;0;0;2;14;2;9;5;2;1;5;0;5;0;0;0;0;0;22;0;0;0;16;1;0;10;6;5;0;4;4;0;0;0;0;4;2;0;4;0;6;2;0;40;4;3;3;2;2;17;3;2;7;0;6;4;3;1;1;0;2;1;1;0;0;4;1;3;0;3;0;0;0;6;2;1;0;0;5;2;1;0;0;0;0;0;0;0;2;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0
