IdAluno;Resultado;1>;1>2>;1>46>;1>46>2>;13>;14>;14>14>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>3>;14>3>14>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>31>;14>32>;14>32>31>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>41>41>41>41>41>;14>42>;14>43>;14>43>44>;14>49>;14>49>49>;14>7>;14>7>5>;14>7>5>5>;16>;16>31>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>2>;2>14>41>;2>2>;2>3>;2>3>2>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>32>;30>32>31>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>41>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>32>;31>31>;31>31>30>;31>32>;31>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;42>;42>41>;43>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>13>;48>14>;48>29>;48>48>;49>;49>48>;49>49>;49>49>48>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>
35491-5490;insucesso;2;0;2;2;0;36;3;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;12;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;6;2;2;2;3;0;2;0;0;0;0;0;0;0;0;1;0;1;10;1;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;10;0;0;0;6;0;0;1;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;41;1;2;3;1;16;0;2;0;5;1;3;1;1;1;1;1;1;1;1;0;0;3;3;3;2;1;0;3;1;0;3;1;2;1;1;0;1;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;3;0;2;2;0
35558-5384;SUCESSO;3;2;1;1;1;137;6;1;16;3;0;1;0;0;15;0;7;0;4;2;4;0;0;12;0;0;4;1;0;0;0;0;0;0;1;0;9;7;7;5;5;4;4;45;1;1;1;15;0;0;7;0;0;1;1;1;1;0;3;0;2;41;12;0;0;28;7;11;8;5;3;0;0;0;0;0;3;0;51;6;1;2;32;2;0;22;10;8;2;0;0;0;0;11;7;0;2;0;0;0;0;0;64;1;0;5;2;19;0;2;0;9;0;2;2;0;0;0;0;0;1;0;0;0;3;2;1;1;1;0;7;2;1;1;1;1;1;1;1;0;1;0;3;2;2;1;4;1;1;0;0;1;1;0;0;8;8;8;0;0;0;10;0;8;8;0
35686-5489;SUCESSO;3;0;3;3;0;80;8;1;7;1;0;0;0;0;6;1;4;0;1;0;0;0;0;29;0;0;10;8;7;5;0;0;4;2;0;0;2;2;2;0;0;0;0;19;2;2;2;4;0;0;2;0;0;3;0;0;0;0;0;0;0;15;1;0;0;4;0;2;1;0;0;0;0;0;0;0;2;1;23;1;0;0;14;0;0;4;2;1;0;0;0;0;0;1;1;0;2;0;0;0;0;0;148;1;1;10;3;56;0;4;0;29;0;16;11;7;4;0;0;2;4;2;0;0;15;9;6;2;2;2;30;3;1;13;3;3;2;2;2;2;3;0;3;0;0;3;2;0;0;0;0;0;0;0;0;6;6;0;0;0;0;7;0;6;6;0
35699-5489;insucesso;0;0;0;0;0;25;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;7;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;3;2;0;0;0;0;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35700-5489;insucesso;5;3;3;3;0;94;3;1;8;4;2;0;0;0;33;9;16;5;3;0;0;1;0;29;0;2;12;8;3;1;0;0;1;1;0;0;6;0;0;6;6;4;3;21;3;3;3;6;1;2;2;0;0;2;1;1;1;0;0;0;0;41;19;3;10;10;3;3;2;0;7;5;3;3;1;0;5;2;67;16;0;4;37;15;7;8;2;2;5;4;3;3;1;4;4;1;3;1;3;1;1;0;95;0;3;7;5;38;1;3;1;18;2;8;5;1;1;0;0;0;1;1;0;0;11;10;7;2;2;0;15;2;0;10;2;3;0;3;0;2;1;1;6;3;3;3;2;0;0;0;0;0;0;0;0;9;9;0;0;0;0;14;0;9;9;0
35718-5384;SUCESSO;2;1;1;1;0;98;4;0;12;0;0;0;0;0;22;1;10;0;2;1;5;0;0;17;0;0;8;6;5;5;0;0;3;2;1;0;2;1;1;4;4;7;7;24;0;0;0;3;0;0;2;0;0;1;0;0;0;0;0;0;0;25;3;0;0;9;1;2;0;0;2;2;0;0;0;0;1;1;40;2;0;1;23;1;0;7;2;0;0;0;0;0;0;8;4;0;2;0;0;0;0;0;51;0;2;3;1;23;0;2;0;14;0;9;7;3;3;0;0;2;5;3;0;0;13;9;5;4;3;3;14;3;1;8;2;6;1;5;1;4;0;0;2;1;1;1;6;0;2;0;0;1;0;0;0;3;3;18;9;6;4;4;0;1;1;3
35751-5490;insucesso;0;0;0;0;0;6;0;0;0;0;0;0;0;0;4;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;3;0;2;0;0;0;0;0;0;0;0;1;3;6;1;0;0;6;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35754-5489;insucesso;0;0;0;0;0;30;2;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;5;0;0;1;1;1;1;1;0;0;0;0;0;4;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;1;0;0;0;1;0;1;1;1;1;1;1;0;0;0;0;0;2;2;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;2;2;0;0;0;0;0;0;0;0;4;0;0;0;0
35799-5384;SUCESSO;2;1;2;2;0;100;2;0;10;3;0;2;0;0;14;1;9;3;1;0;1;0;0;27;0;0;8;1;1;1;0;0;4;3;0;0;6;0;0;4;4;2;2;21;1;1;1;6;0;0;0;0;0;0;1;1;1;0;3;0;2;25;11;4;3;6;2;4;1;1;2;2;0;0;0;0;0;0;35;7;3;2;19;7;0;3;2;0;1;0;0;0;0;3;1;0;1;0;2;0;0;0;79;0;2;2;1;20;0;1;0;5;0;2;2;1;1;0;0;0;4;2;0;0;12;7;4;2;2;0;18;7;2;5;3;2;2;2;2;0;1;0;2;1;1;2;8;0;1;0;0;3;0;0;0;1;0;28;16;11;8;14;5;1;0;3
35864-5384;SUCESSO;2;0;2;2;0;40;2;1;6;1;0;0;0;0;6;0;4;1;1;0;1;0;0;16;0;0;5;1;1;1;0;0;2;2;0;0;0;0;0;1;1;0;0;17;1;1;1;5;0;0;2;0;0;1;0;0;0;0;0;0;0;21;2;0;0;13;0;7;3;2;2;0;0;0;0;0;1;0;18;1;1;0;16;2;0;9;4;0;0;0;0;0;0;2;2;0;1;0;0;0;0;0;34;1;0;3;3;10;0;2;0;3;0;2;2;0;0;0;0;0;0;0;0;0;3;2;1;1;1;1;2;1;0;1;1;1;1;1;1;1;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
