IdAluno;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>2>;14>14>31>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>32>31>;14>32>31>30>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>41>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14>7>;14>7>5>;14>7>5>5>;14>7>6>;14>8>;14>8>7>;16>;16>31>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>2>;2>14>41>;2>2>;2>3>;2>31>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>30>;30>31>30>31>;30>32>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>31>;31>31>30>;31>32>;31>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;43>;43>14>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;43>44>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>43>;44>14>43>44>;44>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>30>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>
30834-4435;SUCESSO;2;1;1;1;68;7;0;0;1;14;4;2;0;0;28;0;22;0;7;5;0;1;0;0;0;13;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;8;8;25;1;1;1;10;2;0;2;1;4;1;1;1;1;1;1;0;61;5;2;0;16;2;10;2;1;0;0;10;6;1;0;0;5;1;47;5;2;0;39;1;11;8;2;1;10;6;0;1;1;0;1;0;0;0;0;0;41;3;1;1;0;1;16;0;0;3;0;1;0;0;0;0;0;0;1;1;0;4;0;4;0;1;0;0;0;0;11;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;0;0;0;0;0;0;3;3;0;0;0;0;3;0;3;3;0;1;1
30904-4603;SUCESSO;3;2;1;1;48;1;0;0;0;4;2;0;1;0;3;0;3;0;0;0;0;0;0;0;0;18;0;5;3;2;1;0;0;3;2;1;0;0;1;1;1;0;0;0;1;1;0;0;6;1;1;1;4;1;2;0;1;0;0;2;2;2;2;2;1;12;5;1;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;13;0;0;0;11;4;0;0;0;0;4;4;0;1;0;0;0;0;0;0;0;0;35;0;1;1;0;1;9;0;0;5;0;2;1;1;0;0;1;1;1;1;0;8;0;6;3;3;1;0;0;0;12;3;1;0;0;0;3;0;0;1;0;0;0;0;0;1;0;3;2;2;1;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;2;2;0;0;0
30926-4433;SUCESSO;2;1;1;1;118;37;0;0;7;11;4;1;8;2;7;0;3;0;0;0;0;1;2;2;0;29;0;14;8;6;5;0;1;3;3;1;1;12;2;1;1;0;0;0;0;0;1;1;23;1;1;1;8;2;4;3;0;0;0;1;1;1;14;5;4;20;1;1;0;7;0;6;4;3;1;4;10;6;2;0;1;0;0;23;3;3;0;17;0;7;6;4;3;8;3;0;8;8;0;1;3;4;0;4;1;98;1;2;6;0;4;29;2;2;11;0;6;5;4;2;2;1;1;2;2;1;13;0;11;0;4;3;1;0;0;34;3;2;0;0;0;10;1;0;4;1;1;0;1;0;3;2;2;1;1;1;5;0;2;0;13;1;8;6;5;0;0;0;0;7;0;4;4;0;2;1
30940-4435;SUCESSO;2;0;2;2;104;6;0;0;1;7;3;0;0;0;38;0;24;0;7;4;0;5;0;0;0;14;0;6;2;1;0;0;0;3;2;1;0;0;1;0;0;0;0;0;8;8;10;8;18;2;2;2;7;0;0;1;1;1;5;0;0;0;2;2;0;78;9;1;0;30;3;16;11;7;4;2;12;5;3;0;6;5;1;84;8;2;0;63;2;20;10;8;5;8;2;0;14;9;0;3;2;9;6;3;2;76;1;2;8;0;7;28;1;5;9;0;4;1;1;1;0;0;0;4;3;2;17;0;15;1;7;4;1;0;0;24;4;3;0;0;0;8;1;0;4;1;1;0;1;0;1;1;3;0;0;2;5;2;2;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0
30965-4433;insucesso;0;0;0;0;25;7;0;2;0;3;1;0;1;0;4;0;1;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;2;1;0;1;0;0;0;0;0;0;1;0;0;8;0;0;0;5;0;3;2;0;0;0;1;1;0;1;0;0;0;13;0;0;0;7;0;5;3;2;0;1;0;0;3;2;0;2;0;0;0;0;0;24;0;1;2;0;1;4;0;1;1;0;0;0;0;0;0;2;0;2;2;0;5;0;5;0;1;1;1;0;0;12;1;0;0;0;1;3;1;0;2;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;3;0;2;2;0;0;0
30968-4434;SUCESSO;2;1;1;1;29;1;0;0;0;4;0;0;0;0;3;0;1;0;0;0;0;1;0;0;0;8;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;11;1;1;1;2;0;0;2;1;0;1;1;1;1;3;2;1;4;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;1;0;10;1;0;0;4;0;1;1;1;0;0;0;0;1;1;0;1;0;1;0;1;1;12;3;1;0;0;0;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30982-4435;insucesso;1;0;1;1;32;10;1;0;1;4;1;1;1;0;5;0;3;1;1;0;0;1;0;0;0;8;1;3;2;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;6;1;1;1;3;1;0;1;0;0;1;0;0;0;1;0;0;8;2;1;1;3;0;1;0;0;0;0;1;0;0;0;0;0;0;8;1;0;1;8;2;3;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;19;0;0;3;1;2;4;0;0;2;0;1;1;0;0;0;2;0;4;1;0;7;6;3;0;1;1;0;0;0;3;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;0;0;0
30985-4433;insucesso;1;0;1;0;18;0;0;0;0;1;0;0;4;4;0;0;0;0;0;0;0;0;2;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;3;0;0;0;0;15;1;1;0;0;0;0;2;1;0;2;0;0;0;7;0;7;3;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;9;0;0;0;3;0;1;0;0;0;1;0;0;1;1;0;1;0;2;0;1;0;37;0;1;3;0;1;8;1;3;2;0;0;0;0;0;0;0;0;0;0;0;5;0;5;0;1;1;1;0;0;28;0;0;0;0;0;4;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;10;1;1;1;10;0;0;0;3;3;3
30988-4603;insucesso;2;1;1;1;30;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;15;1;7;4;1;1;0;0;3;3;3;1;0;1;1;0;0;0;0;0;0;0;0;4;1;1;1;2;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;32;1;1;3;1;0;10;0;1;6;0;1;1;0;0;0;0;0;1;1;0;6;0;6;2;6;4;3;1;1;8;4;1;3;3;0;8;3;1;5;1;4;1;2;1;0;0;2;1;1;1;2;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;0;0;0
30993-4435;insucesso;1;1;0;0;54;2;0;2;0;4;0;0;0;0;22;1;18;0;6;0;2;0;0;0;0;10;0;2;1;1;1;1;0;5;4;3;0;0;0;0;0;0;0;0;3;3;0;0;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;32;2;0;1;9;0;4;1;0;0;0;5;3;0;2;0;0;0;40;4;1;0;28;1;8;3;1;0;5;3;2;0;0;0;0;1;3;0;0;0;29;1;1;2;2;0;9;1;1;3;1;1;1;1;1;0;0;0;2;1;0;10;2;7;1;5;0;0;0;0;8;3;1;1;0;2;5;2;1;0;0;0;0;0;0;2;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30996-4435;SUCESSO;2;0;2;2;33;0;0;0;0;6;0;0;0;0;6;0;2;0;0;0;0;2;0;0;0;7;0;2;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;0;1;1;0;0;14;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;13;0;0;0;3;0;1;1;0;0;0;0;0;0;0;0;4;0;15;1;0;0;9;0;2;0;0;0;0;0;0;3;2;0;2;0;0;0;0;0;37;0;0;2;0;1;14;0;1;2;0;1;1;1;1;0;1;1;1;1;0;7;0;6;0;4;2;0;0;0;10;2;1;0;0;0;4;1;0;2;1;0;0;0;0;0;0;2;0;0;2;1;0;0;0;1;0;0;4;3;13;6;0;0;9;0;4;3;0;0;0
31077-4434;SUCESSO;2;1;1;1;64;3;0;0;1;11;0;2;0;0;6;0;1;0;0;0;0;2;0;0;0;18;0;5;4;1;0;0;3;2;1;1;0;2;2;1;1;0;0;0;0;0;0;0;17;1;1;1;1;0;0;5;0;1;2;1;1;1;0;0;0;6;1;0;0;4;0;3;2;1;0;1;1;1;0;0;0;0;0;13;0;0;0;6;1;4;3;2;1;0;0;0;3;3;0;4;0;0;0;0;0;36;1;3;4;0;1;11;2;1;8;0;5;4;3;2;2;4;4;7;7;1;8;0;7;3;2;0;0;0;0;8;6;3;0;0;0;3;3;0;0;0;0;0;0;0;0;0;2;1;1;1;1;0;0;0;2;1;1;2;2;6;2;1;1;6;0;2;2;1;0;0
31155-4433;SUCESSO;3;3;0;0;43;4;0;0;1;5;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;3;0;2;0;0;0;1;2;2;2;0;0;0;4;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;3;1;0;1;10;1;0;4;0;4;2;2;0;0;0;0;1;0;0;6;0;3;0;1;0;0;0;0;14;1;0;0;0;0;4;1;0;2;0;1;0;1;0;1;1;3;3;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;0;0;0
