IdAluno;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>14>;14>14>2>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>3>;14>3>14>;14>3>2>;14>30>;14>31>;14>31>30>;14>31>30>30>;14>31>31>;14>31>41>;14>32>;14>32>31>;14>32>31>30>;14>41>;14>41>2>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>41>41>41>41>41>;14>41>41>41>41>41>41>41>;14>41>43>;14>41>43>44>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>48>;14>49>;14>7>;14>7>5>;14>8>;14>8>7>;16>;16>31>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>2>;2>14>41>;2>2>;2>3>;2>3>2>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;3>2>14>;30>;30>14>;30>30>;30>30>14>;30>30>30>;30>31>;30>31>30>;30>32>;30>41>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>32>;31>41>;31>48>;31>7>;31>7>5>;31>7>5>5>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>2>14>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>14>;41>41>2>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;41>43>44>44>44>44>;42>;43>;43>14>;43>41>;43>41>41>;43>43>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>14>41>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>14>;44>44>44>44>44>44>;45>;46>;46>1>;46>1>2>;46>2>;47>;47>48>;48>;48>14>;48>29>;48>48>;49>;49>48>;49>49>;5>;5>14>;5>5>;6>;6>14>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>
35816-5799;SUCESSO;2;0;2;2;27;3;0;0;1;3;0;0;2;0;0;0;2;0;0;1;0;0;0;0;6;1;2;2;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;5;1;1;1;3;0;0;2;0;0;0;0;0;0;7;2;1;0;0;1;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;2;0;0;0;3;0;0;0;2;0;0;0;14;0;1;0;4;0;0;5;0;0;3;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;12;2;0;0;3;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0
35908-5799;insucesso;2;1;1;0;9;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;1;1;3;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35950-5799;insucesso;2;2;0;0;28;1;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;8;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;1;0;1;6;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36066-6030;insucesso;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;8;0;0;0;0;0;0;4;0;0;0;3;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;2;0;0;0;1;0;0
36131-6030;insucesso;2;0;2;2;59;7;1;1;2;6;4;0;9;3;2;0;2;0;0;0;0;1;1;1;18;0;7;6;2;1;1;1;0;0;3;2;2;0;0;0;0;0;0;0;1;1;0;0;13;2;2;2;8;0;3;1;0;0;0;0;0;0;0;9;4;2;1;6;2;0;0;0;2;0;0;0;8;0;0;0;5;2;0;0;2;0;0;0;3;0;1;0;0;0;5;1;3;3;54;1;3;2;1;0;1;20;0;1;0;10;0;3;2;2;2;1;1;1;1;2;2;1;1;1;0;13;3;1;0;0;9;5;3;2;1;15;2;1;0;1;0;5;0;0;3;0;0;2;0;1;0;0;0;2;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36139-6030;SUCESSO;2;0;2;1;99;1;0;0;0;7;0;0;0;0;0;0;15;4;2;1;1;0;0;0;7;1;2;0;0;0;0;0;0;0;8;6;0;0;3;0;3;0;0;0;4;4;3;3;21;1;1;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;22;1;7;0;1;3;2;0;0;44;1;0;0;14;0;5;1;2;0;5;2;0;2;2;4;2;2;0;0;0;0;38;0;1;0;2;0;0;9;0;0;0;1;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;18;0;0;0;0;14;1;1;0;0;33;4;2;0;1;1;4;2;0;2;2;0;0;0;0;0;0;0;2;0;0;1;0;0;12;1;0;0;0;0;0;5;0;5;51;3;16;7;4;18;0;5;5;1;0;0
36347-5799;insucesso;1;1;0;0;31;4;2;0;1;2;0;0;0;0;0;0;2;1;0;0;0;0;0;0;12;0;3;1;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;3;0;0;0;0;0;0;2;1;5;0;0;0;1;0;0;0;0;0;0;0;1;1;2;0;0;0;3;2;0;0;34;1;0;0;0;0;0;7;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;2;1;1;1;6;0;0;0;0;5;5;3;2;1;5;3;1;0;1;1;5;3;0;3;2;0;2;2;1;1;0;3;1;1;1;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;3;0;2;2;0;1;0
36350-5799;insucesso;0;0;0;0;31;2;2;0;1;2;1;0;1;0;0;0;4;2;0;0;0;0;0;0;8;0;4;1;1;1;1;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;4;0;0;0;2;1;1;0;0;0;1;0;0;0;1;1;0;0;0;2;0;0;0;0;1;0;0;0;6;4;3;3;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;41;1;1;1;2;1;0;8;1;1;1;3;0;2;1;1;1;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;1;0;1;2;0;0;0;0;5;0;1;1;1;0;0
36400-5799;SUCESSO;2;2;0;0;47;1;0;0;0;4;1;0;6;0;1;0;4;2;1;0;0;0;0;0;16;0;6;3;1;0;0;0;2;2;5;5;3;3;0;0;2;0;0;0;1;1;0;0;7;0;0;0;2;0;0;0;0;0;0;1;1;0;0;6;3;1;0;5;3;3;2;1;1;0;0;0;6;0;0;0;4;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;2;0;0;1;0;1;14;0;0;0;5;0;3;1;0;0;0;0;0;0;4;3;3;0;0;0;9;0;0;0;0;8;6;5;4;2;9;7;3;2;5;5;7;6;3;5;5;2;4;4;2;0;2;1;2;2;2;0;0;0;0;0;0;0;0;0;0;3;1;2;2;0;0;0;0;3;0;2;2;1;0;0
36758-5799;SUCESSO;3;0;2;1;27;6;0;0;1;3;1;0;0;0;0;0;2;1;0;0;0;0;0;0;10;2;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;9;1;1;1;4;0;0;1;0;0;2;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;8;1;0;0;2;0;0;0;0;0;1;1;0;1;1;1;1;1;1;0;0;0;34;0;4;0;0;0;0;22;0;0;0;10;0;6;5;4;0;0;0;1;0;1;0;0;0;0;0;6;0;2;2;0;4;2;2;2;1;5;1;0;0;0;0;4;0;0;2;0;0;2;0;1;0;1;0;3;1;0;1;0;0;1;0;0;0;0;0;0;3;0;3;0;0;0;0;0;3;0;3;3;0;0;0
39676-6030;SUCESSO;2;1;1;0;87;2;0;0;0;11;2;0;6;0;1;0;20;11;3;1;1;0;0;0;16;0;13;7;4;0;0;0;3;3;3;3;1;1;1;0;3;0;0;0;3;2;11;10;20;0;0;0;4;0;0;1;0;0;1;0;0;0;1;7;0;2;0;35;11;14;4;6;7;3;0;0;40;5;0;0;24;4;9;3;1;0;7;2;0;3;2;5;2;2;4;0;0;0;66;2;2;0;8;0;4;30;0;0;5;14;3;5;4;1;0;0;0;5;0;9;8;5;0;0;0;22;0;2;0;0;16;8;5;2;1;35;8;4;3;1;1;18;6;3;11;5;2;7;3;4;0;2;7;2;1;1;0;0;0;10;1;0;0;0;0;0;10;4;8;7;2;1;0;0;19;0;8;7;2;0;0
39904-6030;insucesso;4;4;1;1;129;25;0;1;0;10;3;0;11;7;4;1;6;1;0;0;0;12;9;7;21;0;9;5;2;2;2;0;0;0;0;0;0;0;7;12;0;0;5;4;0;0;2;0;18;1;1;1;10;1;2;3;5;2;0;3;3;3;1;16;11;7;3;20;8;1;0;0;5;4;3;0;24;8;1;3;14;4;0;0;4;3;1;0;2;1;0;0;0;0;20;6;15;11;38;4;1;1;4;3;1;20;2;0;2;13;0;8;4;3;0;0;0;3;3;3;3;2;2;2;3;4;1;0;0;0;4;3;3;2;2;4;3;1;0;0;0;3;3;0;3;3;0;2;2;2;2;0;0;4;4;4;1;10;10;23;11;0;3;16;11;1;1;0;1;31;2;2;1;0;9;5;1;1;2;9;7
40116-6030;SUCESSO;2;1;1;1;114;3;0;0;2;12;2;0;0;0;0;0;7;4;1;0;0;0;0;0;18;1;8;4;1;0;0;0;1;0;3;3;0;0;2;1;3;0;0;0;1;1;0;0;17;1;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;2;1;1;1;1;0;0;11;0;0;0;6;0;2;1;1;0;2;2;0;0;1;0;0;0;0;0;0;0;28;4;1;0;0;0;0;11;0;0;0;5;0;2;0;0;0;0;0;0;0;3;0;0;0;0;0;6;0;0;0;0;3;0;0;0;0;7;1;0;0;0;0;2;1;0;1;1;0;1;1;1;0;0;0;2;1;1;1;0;0;10;1;0;0;2;2;0;0;0;0;19;0;2;0;0;7;0;0;0;4;0;0
40165-5799;insucesso;2;1;1;1;72;7;3;0;2;3;0;1;2;0;1;1;7;0;0;1;0;2;1;0;19;0;4;1;0;0;0;0;0;0;1;0;0;0;4;2;3;1;0;0;1;1;4;0;12;1;1;1;1;0;0;4;1;1;2;1;1;1;3;8;0;5;0;12;1;3;0;2;3;1;0;1;26;4;0;2;5;0;1;1;1;0;4;1;2;4;7;3;0;0;7;1;4;0;77;0;3;0;4;1;0;26;0;1;1;14;0;6;1;1;1;1;1;4;2;6;3;1;0;0;1;11;2;0;0;2;8;5;1;0;0;15;3;0;0;0;0;8;2;0;2;0;0;0;0;0;0;0;3;2;1;1;1;0;0;17;3;2;3;6;4;5;8;0;6;15;1;9;4;0;11;1;6;6;0;0;0
40217-6030;insucesso;2;1;0;0;27;5;2;2;1;7;1;1;0;0;0;0;1;0;0;0;0;0;0;0;11;0;4;1;0;0;0;0;0;0;1;1;1;0;2;0;1;0;0;0;1;1;0;0;14;0;0;0;5;1;2;2;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;21;0;1;0;1;0;0;7;0;0;0;4;0;1;0;0;0;0;0;1;1;2;1;1;1;1;0;5;0;1;0;1;4;3;3;3;2;6;1;1;0;0;0;5;1;0;5;1;0;4;1;2;1;0;1;2;2;1;0;0;0;3;3;0;1;0;0;0;0;0;0;1;1;1;0;0;2;1;0;0;1;0;0
40950-6030;insucesso;4;2;2;2;67;12;2;1;0;3;2;1;8;0;3;9;4;1;0;1;0;6;5;2;6;0;0;0;0;0;0;0;0;0;3;2;0;0;5;1;0;0;4;2;3;3;3;0;19;0;0;0;3;1;0;2;1;0;0;0;0;0;9;25;4;6;0;60;6;15;0;5;9;5;1;1;40;4;1;0;31;1;10;4;4;2;6;5;2;0;0;0;0;0;20;1;17;13;26;2;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;1;5;1;1;0;0;13;2;0;0;2;1;4;2;0;3;2;0;1;0;1;0;0;1;4;2;2;2;0;0;12;2;8;1;3;1;0;1;0;0;2;0;1;0;0;5;1;1;0;2;5;3
40983-6030;insucesso;1;0;1;1;50;2;1;1;0;8;2;1;1;0;1;1;8;4;0;0;0;1;1;1;8;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;2;2;0;0;19;0;0;0;4;0;2;2;0;0;2;0;0;0;7;2;0;1;0;16;2;5;0;0;3;3;0;3;14;1;1;0;8;1;1;0;3;3;0;0;0;2;3;2;0;0;1;0;1;1;28;1;2;0;1;0;1;14;1;1;1;4;0;4;3;3;3;2;2;3;3;3;3;1;1;1;2;7;1;1;0;2;5;1;1;1;1;14;1;1;0;0;0;3;1;0;3;1;0;1;1;1;1;0;3;1;0;0;1;0;0;8;0;7;1;1;0;0;5;0;2;6;0;2;0;0;4;0;4;2;0;1;1
41128-6030;insucesso;1;1;0;0;49;5;0;1;2;4;2;0;1;0;0;1;4;1;0;0;0;0;0;0;13;0;5;3;2;1;1;1;0;0;3;2;1;0;1;0;2;0;0;0;0;0;0;0;10;0;0;0;3;0;1;0;0;0;0;1;1;1;4;1;1;0;0;10;1;1;0;0;1;0;1;0;11;1;0;0;4;1;1;0;0;0;2;1;0;2;1;0;0;0;1;1;0;0;36;1;4;1;2;0;1;16;1;1;1;6;0;5;4;3;2;2;0;1;0;4;2;1;1;1;2;14;1;1;0;2;10;6;4;2;1;19;6;3;0;1;1;9;1;0;6;0;0;3;0;2;0;0;3;1;1;1;0;0;0;7;1;4;0;1;0;1;0;0;0;0;0;0;0;0;8;1;0;0;0;1;1
41138-6030;insucesso;1;1;0;0;33;2;0;1;1;8;0;0;0;0;0;1;2;0;0;0;0;0;0;0;8;0;3;2;2;1;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0;0;0;0;12;0;0;0;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;4;0;1;0;0;1;0;0;0;7;2;1;0;2;0;1;0;0;0;1;1;0;0;0;4;0;0;0;0;0;0;24;0;0;0;0;0;0;11;0;0;0;7;0;5;2;1;0;0;0;3;1;7;4;2;1;0;0;9;0;3;0;0;6;4;2;0;0;17;1;0;0;0;0;8;0;0;3;0;0;1;0;1;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;11;0;8;0;0;0;0;0;10;0;9;6;0;1;0
