IdAluno;Resultado;1>;1>2>;1>2>14>;1>46>;1>46>2>;14>;14>14>;14>14>14>;14>14>14>14>;14>14>2>;14>14>31>;14>14>41>;14>14>41>41>;14>2>;14>2>14>;14>2>2>;14>2>41>;14>2>46>;14>2>46>1>;14>2>46>1>2>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>31>31>30>;14>31>41>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>41>41>41>41>41>;14>41>41>41>41>41>41>41>;14>41>41>41>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>49>;14>49>49>;14>49>49>48>;14>7>;14>7>5>;14>7>5>5>;16>;16>31>;16>31>14>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>2>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;2>46>1>2>14>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>31>;31>31>30>;31>31>31>;31>31>41>;31>41>;31>41>41>;31>48>;31>48>29>;32>;41>;41>14>;41>2>;41>31>;41>31>30>;41>31>30>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>;41>41>41>43>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;43>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>14>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>41>41>;44>14>41>41>41>;44>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>44>;44>44>44>44>44>;45>;46>;46>1>;46>1>2>;46>1>2>14>;46>2>;48>;48>14>;48>29>;48>48>;49>;49>48>;49>49>;49>49>48>;5>;5>5>;6>;6>6>;6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>
40277-6590;insucesso;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;3;3;3;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;4;0;0;3;0;3;1;1;1;1;1;1;0;1;0;0;0;3;0;2;0;2;0;2;1;0;2;0;0;0;0;0;2;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40309-6590;SUCESSO;3;2;0;1;1;67;1;0;0;0;1;0;0;9;0;0;1;2;2;2;0;0;13;0;7;0;3;0;0;0;3;1;1;12;0;0;4;3;2;2;0;0;0;9;9;8;0;0;0;1;1;1;1;1;0;3;3;21;1;1;1;0;0;0;2;0;5;2;2;2;0;0;0;0;0;21;4;0;1;1;0;7;1;1;1;2;0;5;3;30;0;0;0;18;1;0;5;1;1;2;0;3;4;2;0;2;7;3;1;0;0;66;0;3;10;5;1;22;0;4;12;2;8;5;2;2;0;0;0;0;3;3;3;0;14;1;14;0;11;0;4;1;0;15;2;0;0;0;0;11;1;0;4;1;0;1;3;2;2;0;1;5;0;0;0;0;0;0;0;1;1;12;2;2;3;0;1;1;1
40389-6895;SUCESSO;1;1;0;1;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;8;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;8;0;0;0;3;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;50;0;1;0;0;0;16;0;0;4;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;11;10;0;0;0;7;0;6;6;0
41058-6590;SUCESSO;2;1;0;1;1;91;5;0;0;0;0;2;0;1;0;0;0;0;0;0;12;0;15;0;6;0;2;0;0;0;4;1;0;24;0;0;12;7;3;3;0;0;0;4;2;1;0;0;0;2;2;1;5;5;0;4;4;12;1;1;1;5;0;0;0;0;0;0;0;0;0;0;18;0;6;30;9;0;2;0;1;9;1;1;0;2;1;3;3;44;4;0;0;25;5;0;8;1;0;1;1;3;10;5;2;2;4;3;3;0;5;92;0;1;9;5;3;41;0;6;19;4;7;7;2;2;0;0;0;0;4;4;2;0;17;5;11;0;5;0;3;2;0;29;5;5;0;0;0;12;3;0;5;2;0;4;2;1;1;0;1;15;3;0;0;2;2;1;1;4;2;0;0;0;3;0;3;2;0
41258-6590;SUCESSO;2;1;0;1;1;22;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;3;1;1;0;0;0;0;0;0;0;0;8;0;0;4;2;2;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;5;1;1;1;0;0;0;2;0;1;1;1;1;0;0;0;0;0;7;0;0;0;0;0;4;0;2;1;0;0;1;0;10;1;0;0;7;0;0;4;2;1;0;0;0;1;1;0;0;1;1;0;0;0;31;0;1;2;0;0;10;0;0;6;0;4;2;2;1;0;0;0;0;0;0;0;0;3;1;3;0;2;0;0;0;0;8;2;0;0;0;0;2;1;0;0;0;0;0;2;1;1;0;1;1;0;0;0;3;1;0;0;1;1;0;0;0;2;0;1;1;0
41292-6895;insucesso;0;0;0;0;0;10;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;14;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
41425-6895;insucesso;2;1;1;1;1;16;3;0;0;1;0;0;0;3;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;3;0;1;0;0;1;1;1;1;1;0;5;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;9;0;0;4;0;2;1;1;0;0;1;1;1;2;2;1;1;3;0;3;2;1;0;1;1;1;3;2;1;1;1;1;1;0;0;1;1;1;2;2;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41483-6590;insucesso;1;1;1;0;0;85;7;5;0;0;2;1;0;6;2;0;3;0;0;0;0;0;22;0;11;0;0;0;0;0;3;0;0;17;0;2;10;6;3;1;1;1;0;4;3;0;1;0;0;4;2;0;0;0;0;0;0;10;0;0;0;6;1;0;0;0;3;1;1;1;1;3;0;0;0;21;4;2;0;0;0;10;0;5;0;5;3;1;0;31;4;0;1;18;2;2;9;4;0;3;2;0;5;1;0;0;7;5;1;0;0;35;2;3;8;3;0;20;2;4;11;0;8;4;2;1;0;1;4;3;6;6;4;3;12;3;11;1;7;2;5;3;1;12;4;2;1;1;0;7;3;2;5;3;1;2;1;1;1;1;0;11;2;3;7;2;1;1;0;4;3;13;1;0;7;1;4;3;0
41520-6895;insucesso;1;1;1;0;0;13;1;0;0;1;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;1;3;0;1;0;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41590-6590;SUCESSO;2;2;0;0;0;24;1;0;0;0;0;1;0;5;0;0;0;0;0;0;0;0;6;1;5;1;1;0;2;1;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;12;0;0;0;4;0;0;0;0;0;1;1;1;0;0;0;0;0;7;2;0;0;0;1;1;0;0;0;2;1;1;1;10;4;0;0;7;2;0;1;0;0;2;1;0;0;0;0;0;1;1;0;0;0;28;0;1;0;0;0;7;0;0;4;0;2;1;1;1;0;0;0;0;2;1;0;0;4;0;2;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;1
44006-6895;insucesso;1;0;0;1;1;14;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;1;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;7;1;0;0;2;0;0;1;0;0;0;0;0;1;0;0;0;1;0;2;0;0;14;0;1;0;0;0;4;0;0;1;0;1;0;0;0;0;1;1;0;1;0;0;0;3;2;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
44022-6590;SUCESSO;3;2;0;1;1;140;24;0;0;0;3;3;0;6;1;0;0;1;1;1;0;0;26;5;14;4;0;0;6;5;1;0;0;22;0;0;11;4;2;1;0;0;0;2;2;1;3;3;1;4;3;3;1;1;0;1;1;9;1;1;1;3;0;0;1;0;0;2;2;2;0;0;0;0;0;22;11;0;1;1;2;3;1;0;0;8;7;0;2;36;8;0;0;22;10;0;2;0;0;8;7;0;5;4;1;1;1;1;0;0;0;54;0;1;1;1;0;22;0;1;8;1;4;2;1;1;0;0;0;0;2;2;1;0;4;0;4;0;3;0;2;1;0;4;3;3;0;0;0;3;3;0;2;1;0;0;3;2;2;0;1;4;0;0;0;3;1;3;1;7;7;10;2;1;8;1;6;6;0
44024-6590;SUCESSO;3;1;0;2;2;139;13;0;0;0;3;0;0;5;0;0;1;0;0;0;0;0;54;0;20;0;8;3;0;0;9;3;2;12;0;0;3;2;1;1;0;0;0;1;0;0;1;0;0;2;2;2;1;1;0;5;4;10;1;1;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;35;2;0;1;1;0;13;1;5;1;2;1;3;1;66;2;0;0;29;0;0;12;5;1;0;0;1;12;6;2;1;5;4;0;0;1;43;0;1;6;2;1;19;0;1;7;1;3;2;2;1;0;0;0;0;4;1;1;0;8;4;2;0;1;0;1;0;0;6;1;1;0;0;0;3;0;0;1;0;0;1;3;1;1;0;2;7;1;0;0;2;2;1;1;3;2;0;0;0;3;0;3;2;0
44033-6590;insucesso;2;1;0;1;1;57;27;12;4;1;6;11;2;3;0;0;0;0;0;0;0;0;11;4;7;0;0;0;0;0;1;0;0;21;2;4;7;2;1;0;0;0;0;0;0;0;0;0;0;4;1;0;1;1;1;0;0;6;1;1;1;0;0;0;0;0;0;1;1;1;0;2;0;0;0;12;7;6;0;0;0;0;0;0;0;5;5;0;0;16;5;2;1;10;5;5;0;0;0;4;4;0;1;1;0;0;0;0;2;2;2;23;4;2;5;1;0;7;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;2;1;1;0;1;4;1;2;1;0;0;0;0;2;1;3;2;0;6;3;2;1;0
44049-6590;SUCESSO;2;2;0;0;0;101;17;0;0;0;1;3;0;4;1;0;0;1;1;1;1;0;12;1;7;2;1;1;1;1;1;1;0;11;0;0;5;3;1;0;0;0;0;0;0;0;0;0;0;5;4;4;0;0;0;1;1;9;0;0;0;3;0;0;0;0;0;1;1;1;0;0;1;0;0;16;8;0;1;1;1;3;1;1;0;3;3;0;1;19;3;0;0;13;6;0;2;1;0;3;3;0;1;1;0;0;0;0;0;0;3;27;0;1;3;1;0;6;0;2;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;1;0;0;0;0;0;0;4;4;0;0;0;7;1;4;4;0
44060-6590;insucesso;1;0;0;0;0;28;3;1;1;0;0;1;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;0;0;0;0;0;2;1;0;2;0;0;2;1;0;0;0;0;0;0;10;0;0;0;0;0;0;1;0;0;1;1;0;0;7;1;0;1;7;0;0;0;0;0;3;0;1;0;1;0;0;0;9;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2;0;5;5;2;29;0;0;1;0;0;8;0;1;2;0;0;0;0;0;0;0;0;0;2;2;1;0;7;2;5;0;3;0;0;0;0;14;1;0;0;0;0;6;1;0;0;0;0;0;1;1;0;0;0;7;0;7;0;2;0;2;0;1;0;2;0;0;3;0;1;0;0
44153-6895;insucesso;2;1;0;1;1;22;2;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;8;4;2;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;5;1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0;38;0;0;3;0;0;21;0;3;12;0;6;4;4;2;2;3;3;2;4;3;2;1;5;0;5;1;4;1;3;3;3;5;2;2;2;2;2;4;1;1;3;3;3;0;2;1;1;0;1;4;0;1;0;0;0;0;0;0;0;6;3;0;3;0;0;0;0
44169-6895;insucesso;2;1;0;1;1;58;3;1;0;0;0;1;1;3;0;1;0;0;0;0;10;5;2;0;0;0;0;0;0;0;0;0;0;17;2;0;7;3;2;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;13;0;0;0;2;0;1;2;1;0;1;1;1;0;0;13;1;5;5;1;0;0;0;0;0;0;0;0;0;0;0;0;11;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;3;45;0;3;0;0;0;14;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;1;1;0;1;4;2;0;2;6;2;3;0;1;1;16;4;0;9;1;1;1;0
44172-6895;SUCESSO;2;1;0;1;1;29;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;3;0;2;0;0;0;0;0;0;0;1;10;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;6;1;1;1;0;0;0;0;0;3;1;1;1;0;0;1;0;1;8;0;0;0;0;0;1;0;0;0;1;1;2;0;13;0;0;0;5;0;0;1;0;0;1;1;2;3;0;1;2;4;1;2;0;0;41;0;1;4;1;0;13;0;2;3;1;2;2;1;1;0;0;0;0;0;0;0;0;5;0;3;0;2;0;2;1;0;3;0;0;0;0;0;2;0;0;2;1;0;0;2;1;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
