IdAluno;Resultado;1>;1>2>;1>2>14>;1>46>;1>46>2>;14>;14>14>;14>14>14>;14>14>14>14>;14>14>2>;14>14>31>;14>14>41>;14>14>41>41>;14>2>;14>2>14>;14>2>2>;14>2>41>;14>2>46>;14>2>46>1>;14>2>46>1>2>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>31>31>30>;14>31>41>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>41>41>41>41>41>;14>41>41>41>41>41>41>41>;14>41>41>41>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>49>;14>49>49>;14>49>49>48>;14>7>;14>7>5>;14>7>5>5>;16>;16>31>;16>31>14>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>2>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;2>46>1>2>14>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>31>;31>31>30>;31>31>31>;31>31>41>;31>41>;31>41>41>;31>48>;31>48>29>;32>;41>;41>14>;41>2>;41>31>;41>31>30>;41>31>30>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>;41>41>41>43>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;43>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>14>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>41>41>;44>14>41>41>41>;44>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>44>;44>44>44>44>44>;45>;46>;46>1>;46>1>2>;46>1>2>14>;46>2>;48>;48>14>;48>29>;48>48>;49>;49>48>;49>49>;49>49>48>;5>;5>5>;6>;6>6>;6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>
35754-6895;insucesso;3;0;0;3;2;38;1;0;0;0;0;1;1;7;1;3;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;17;0;0;4;3;2;2;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;10;2;2;2;1;1;1;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;1;0;0;0;0;9;0;0;4;0;3;2;2;1;1;0;0;0;1;1;0;0;4;0;4;0;0;0;0;0;0;10;1;1;0;0;0;2;1;1;0;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
35950-6590;SUCESSO;2;0;0;2;2;42;1;0;0;0;0;1;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;0;0;5;3;2;2;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;1;1;7;2;2;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;5;1;0;1;0;0;0;0;0;0;0;0;0;0;6;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;9;0;0;5;0;2;2;2;2;0;0;0;0;2;1;1;0;4;1;2;0;1;0;1;1;0;9;2;1;0;0;0;2;2;0;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
35962-6895;insucesso;2;1;1;1;1;30;12;1;1;0;0;2;0;1;1;0;0;0;0;0;0;0;3;1;2;0;0;0;0;0;0;0;0;9;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;5;0;0;0;4;1;1;0;0;0;1;1;1;1;0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;4;2;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;1;0;1;1;0;6;1;1;0;0;0;2;1;1;1;1;0;0;2;1;1;1;1;0;0;0;0;0;0;0;0;3;2;0;0;0;2;0;2;2;0
36099-6895;insucesso;1;1;0;0;0;21;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;2;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;6;1;0;1;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;15;0;0;2;2;0;5;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;4;0;4;0;2;0;0;0;0;7;0;0;0;0;0;3;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0
36259-6590;insucesso;3;2;0;1;1;40;3;0;0;0;0;0;0;5;1;1;2;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;11;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;16;1;1;1;3;1;2;1;1;2;1;1;1;0;1;4;0;3;12;2;0;0;0;0;5;0;1;0;1;1;2;0;16;1;0;1;9;0;0;5;1;0;1;1;1;1;1;0;0;0;0;0;0;2;30;1;1;1;0;0;6;0;0;5;0;3;2;1;0;0;1;1;1;2;2;0;0;2;0;2;2;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;3;2;2;0;1;2;0;1;0;0;0;0;0;4;4;0;0;0;4;0;4;4;0
36589-6895;insucesso;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;4;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;1;2;0;0;0;0;0;1;0;1;0;0;0;2;0;4;0;0;0;1;0;0;0;0;0;0;0;1;2;1;0;0;0;0;3;1;0;16;0;0;1;0;0;4;0;1;2;0;2;1;1;1;1;1;1;1;1;1;0;0;5;1;5;1;2;1;1;0;0;7;3;1;1;0;1;3;2;1;1;0;0;0;0;0;0;0;0;3;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
36615-6895;insucesso;0;0;0;0;0;22;2;0;0;0;0;1;1;2;0;0;1;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;8;0;1;5;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;8;2;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;15;0;1;1;1;0;7;1;0;2;0;2;1;1;0;0;0;1;1;3;3;3;2;4;1;3;0;3;1;2;1;1;3;3;2;1;1;1;3;3;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40086-6590;SUCESSO;2;2;0;0;0;32;0;0;0;0;0;0;0;4;0;0;0;2;2;2;0;0;6;0;3;0;3;2;0;0;3;3;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;1;1;0;0;0;10;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;16;4;0;2;0;0;11;3;5;2;1;1;1;1;13;0;0;0;11;0;0;9;4;2;0;0;0;4;3;1;0;0;0;0;0;0;18;0;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;1;0;0;0;0;0;0;0;4;4;15;1;0;17;7;3;3;0
40093-6590;SUCESSO;2;0;0;1;0;57;2;0;0;0;0;1;0;3;1;0;0;0;0;0;0;0;2;0;2;1;0;0;1;0;0;0;0;17;0;0;5;1;0;0;0;0;0;3;3;1;0;0;0;1;1;1;0;0;0;0;0;5;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7;5;0;0;0;0;0;0;0;0;4;2;0;0;9;3;0;0;7;5;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;54;0;0;4;3;0;12;0;1;2;0;1;1;1;0;0;0;0;0;1;0;0;0;5;1;3;0;1;0;1;1;0;6;3;2;0;0;0;1;0;0;1;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0
40101-6590;SUCESSO;2;2;0;0;0;140;11;0;0;0;3;2;0;5;1;0;1;0;0;0;0;0;29;1;20;2;5;3;1;0;5;3;1;13;0;0;1;0;0;0;0;0;0;0;0;0;12;7;7;2;0;0;1;1;0;2;2;13;0;0;0;2;0;0;0;0;1;2;2;2;0;0;0;0;0;40;6;0;2;1;2;10;2;5;2;5;2;3;1;48;1;0;0;31;2;0;9;4;1;3;1;2;9;3;1;2;3;1;0;0;0;27;0;1;3;1;1;4;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;2;0;2;0;1;0;0;0;0;5;1;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0;0;13;1;0;0;14;11;10;8;3;3;34;16;8;6;0;3;3;3
