IdAluno;Resultado;1>;1>2>;1>2>14>;1>46>;1>46>2>;1>46>2>14>;14>;14>14>;14>14>14>;14>14>14>14>;14>14>14>31>;14>14>2>;14>14>31>;14>14>31>30>;14>14>41>;14>14>41>41>;14>2>;14>2>14>;14>2>2>;14>2>46>;14>2>46>1>;14>2>46>1>2>;14>3>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>31>31>30>;14>31>41>;14>41>;14>41>31>;14>41>31>30>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>41>41>41>41>41>;14>41>41>41>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>49>;14>49>49>;14>49>49>48>;14>7>;14>7>5>;14>7>5>5>;16>;16>31>;16>31>14>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>14>;2>14>41>;2>2>;2>41>;2>46>;2>46>1>;2>46>1>2>;2>46>1>2>14>;29>;3>;3>2>;30>;30>14>;30>14>14>;30>14>14>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>31>30>14>;30>31>30>31>;30>41>;30>41>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>14>;31>30>41>;31>30>41>41>;31>30>48>;31>31>;31>31>30>;31>31>31>;31>31>41>;31>41>;31>41>41>;31>48>;31>48>29>;31>48>30>;32>;41>;41>14>;41>2>;41>31>;41>31>14>;41>31>30>;41>31>30>30>;41>31>48>;41>41>;41>41>14>;41>41>2>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>;41>41>41>41>43>;41>41>41>43>;41>41>43>;41>41>43>44>;41>41>43>44>44>;41>41>43>44>44>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;41>43>44>44>44>44>;41>43>44>44>44>44>44>;43>;43>14>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>14>;43>44>44>14>41>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;43>44>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>41>41>;44>14>41>41>41>;44>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;44>44>44>44>44>44>;44>45>;44>45>43>;44>45>43>44>;45>;45>43>;45>43>44>;46>;46>1>;46>1>2>;46>1>2>14>;46>2>;46>2>14>;47>;48>;48>14>;48>29>;48>30>;48>48>;48>48>48>;49>;49>48>;49>49>;49>49>48>;49>49>49>;5>;5>14>;5>5>;5>5>5>;6>;6>48>;6>6>;6>6>6>;7>;7>14>;7>31>;7>5>;7>5>5>;7>6>
40101-6590;SUCESSO;1;1;0;0;0;0;61;3;0;0;0;0;1;0;2;0;4;0;0;0;0;0;0;21;0;15;2;3;2;0;0;4;2;1;11;0;0;1;0;0;0;0;0;1;0;0;0;10;7;7;1;0;0;0;0;0;2;2;8;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;32;5;0;0;1;0;2;7;1;4;2;3;2;0;0;2;0;1;34;0;0;0;24;2;0;0;6;3;1;1;1;0;1;0;0;6;2;1;1;2;1;0;0;0;0;20;0;0;3;0;1;1;0;3;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;2;0;1;0;0;0;0;0;0;5;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;11;1;0;1;1;0;12;9;10;8;0;1;0;1;0;23;0;9;4;3;0;0;1;1;2
40277-6590;insucesso;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;3;3;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;4;0;0;0;3;0;3;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;2;0;0;1;0;1;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40309-6590;SUCESSO;2;2;0;0;0;0;53;1;0;0;0;0;1;0;0;0;7;0;0;2;2;2;0;11;0;6;0;3;0;0;0;2;0;1;9;0;0;3;2;2;2;0;0;0;9;9;8;0;0;0;1;1;1;1;1;0;3;3;11;0;0;0;0;0;0;0;4;2;2;2;0;0;0;0;17;4;0;0;1;1;0;7;1;1;1;1;0;0;0;4;0;3;24;0;0;0;14;1;0;0;5;1;1;1;0;0;2;0;2;3;1;0;2;5;2;1;0;0;0;50;0;1;8;0;4;1;0;16;0;0;3;8;1;6;3;1;0;0;0;0;1;0;0;0;2;2;2;2;0;0;13;1;1;13;0;10;0;0;4;1;0;0;14;2;0;0;0;3;10;1;0;4;0;1;0;0;0;0;0;1;0;0;2;2;2;0;0;0;0;5;0;0;1;0;0;0;0;0;0;0;1;0;1;0;5;0;0;0;2;0;0;1;1;1
40389-6895;SUCESSO;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;25;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;1;0;0;0;0;2;0;0;2;2;0
41058-6590;SUCESSO;1;0;0;1;1;0;52;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;5;10;0;5;0;2;0;0;0;1;0;0;14;0;0;7;4;3;3;0;0;1;2;1;0;0;0;0;2;2;1;4;4;0;2;2;6;1;1;0;2;0;0;0;0;0;0;0;0;0;7;0;21;4;0;0;1;0;0;8;1;1;0;0;0;0;0;1;0;3;29;4;0;0;17;2;0;1;7;1;0;0;0;0;1;0;2;4;2;1;1;1;1;2;0;0;3;44;0;1;7;0;4;3;0;17;0;0;4;9;2;4;4;1;0;0;0;0;0;0;0;0;3;3;2;1;0;0;11;1;2;8;0;4;0;0;2;2;0;0;21;4;4;0;0;1;11;3;0;4;0;2;0;0;0;0;0;2;0;0;1;0;0;0;1;0;0;9;2;0;1;1;0;2;2;1;1;0;4;0;2;0;0;0;0;0;3;0;0;3;2;0
41258-6590;SUCESSO;1;1;0;0;0;0;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;5;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;5;0;0;0;0;0;0;3;0;2;1;0;0;0;0;1;0;0;6;1;0;0;5;0;0;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;1;0;0;0;0;0;3;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;3;1;0;0;0;1;0;1;0;0;0;0;0;2;0;0;1;1;0
41292-6895;insucesso;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;7;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
41425-6895;insucesso;1;0;0;1;1;1;10;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;7;0;0;0;3;0;2;1;1;0;0;1;1;1;1;0;0;2;2;1;1;1;1;3;0;0;3;2;1;0;0;1;1;1;1;3;2;1;1;1;1;1;0;0;1;0;1;1;1;2;2;2;2;2;2;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41483-6590;insucesso;0;0;0;0;0;0;72;7;5;0;1;0;2;0;1;0;3;2;0;0;0;0;0;20;0;10;0;4;0;0;0;2;0;2;13;2;1;6;4;2;1;1;1;0;4;3;0;0;0;0;3;2;2;0;0;0;0;0;6;0;0;0;4;0;0;0;1;0;0;0;0;2;0;0;15;3;2;1;0;0;0;6;0;2;0;2;2;0;0;0;0;2;24;2;0;1;14;2;2;0;6;2;0;2;2;0;0;0;0;2;1;0;0;3;0;1;0;0;0;22;2;1;3;1;1;0;0;11;1;1;1;6;0;4;2;1;1;0;1;1;4;3;2;2;6;6;4;3;2;1;12;0;3;11;1;7;2;1;5;3;1;1;12;4;2;1;1;0;7;3;2;5;2;3;1;1;1;1;1;2;1;1;0;0;0;0;0;0;0;9;1;2;0;7;1;1;0;0;0;0;3;0;2;0;13;2;1;0;6;0;0;3;2;1
41520-6895;insucesso;1;1;1;0;0;0;10;1;0;0;0;1;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;1;2;0;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
