IdAluno;Resultado;1>;1>2>;1>46>;1>46>2>;1>46>2>14>;13>;14>;14>14>;14>14>41>;14>14>41>41>;14>2>;14>2>1>;14>2>1>46>;14>2>46>;14>2>46>1>;14>2>46>1>2>;14>3>;14>3>2>;14>30>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>31>;14>31>41>;14>31>48>;14>32>;14>32>31>;14>41>;14>41>31>;14>41>41>;14>41>41>31>;14>41>41>41>;14>41>41>41>41>;14>41>43>;14>42>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>48>13>;14>49>;14>49>48>;14>49>48>29>;14>49>49>;14>7>;14>8>;14>8>7>;14>8>7>6>;16>;16>31>;16>31>14>;16>31>30>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>1>46>2>14>;2>14>;2>14>41>;2>2>;2>3>;2>41>;2>41>41>;2>46>;2>46>1>;2>46>1>2>;24>;29>;29>14>;29>30>;29>30>14>;29>48>;29>48>29>;3>;3>14>;3>2>;30>;30>14>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>31>;30>31>14>;30>31>30>;30>32>;30>41>;30>48>;30>48>29>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>31>;31>30>31>14>;31>30>31>30>;31>30>32>;31>30>48>;31>31>;31>31>30>;31>32>;31>32>31>;31>41>;31>41>41>;31>48>;31>48>29>;31>48>29>14>;31>48>29>30>;31>48>48>;32>;32>14>;32>31>;32>31>30>;32>31>48>;41>;41>14>;41>2>;41>31>;41>31>14>;41>31>30>;41>31>48>;41>31>48>29>;41>41>;41>41>14>;41>41>2>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;41>6>;42>;43>;43>14>;43>14>41>;43>41>;43>43>;43>43>44>;43>44>;43>44>14>;43>44>14>41>;43>44>41>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>14>43>44>;44>41>;44>43>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;44>44>44>44>44>44>;44>44>44>45>;44>44>44>45>43>;44>44>45>;44>44>45>43>;44>45>;44>45>43>;45>;45>14>;45>43>;45>43>44>;46>;46>1>;46>1>2>;46>2>;46>2>14>;47>;47>48>;48>;48>13>;48>14>;48>29>;48>29>14>;48>29>30>;48>29>30>14>;48>29>48>;48>29>48>29>;48>30>;48>48>;48>48>29>;48>49>;48>49>48>;49>;49>14>;49>48>;49>48>29>;49>48>29>48>;49>49>;49>49>14>;49>49>48>;49>49>49>;49>49>49>14>;49>49>49>49>;5>;5>5>;6>;6>14>;6>41>;6>6>;6>6>6>;6>6>6>6>;6>6>6>6>6>;6>6>6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>14>;8>7>;8>7>5>;8>7>6>
31317-4114;SUCESSO;3;1;2;2;0;0;28;0;0;0;3;0;0;0;0;0;0;0;0;4;1;1;0;0;0;0;0;0;13;0;6;2;2;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;10;1;1;0;0;3;1;0;0;2;1;0;0;0;0;1;0;0;0;1;0;0;0;0;4;1;0;2;1;1;2;0;1;0;0;0;0;11;4;0;2;4;0;2;1;2;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;1;0;0;25;1;2;4;1;1;0;0;10;0;0;2;0;4;0;4;2;2;2;0;0;1;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;2;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0
31400-4448;SUCESSO;1;1;0;0;0;0;33;2;0;0;7;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;8;0;2;1;0;0;0;0;3;1;0;0;0;0;0;0;0;1;0;0;0;2;2;0;0;0;0;10;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;0;1;0;0;1;0;1;0;0;0;0;13;1;0;0;7;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;23;0;0;2;0;1;0;0;4;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;10;0;0;2;1;1;7;0;0;0;5;2;1;9;0;0;0;0;0;0;0;6;0;3;0;2;2;2;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0
31451-4448;SUCESSO;1;1;0;0;0;1;81;4;0;0;1;0;0;0;0;0;0;0;4;8;1;5;0;0;0;0;3;3;16;0;4;0;0;0;0;0;5;4;1;1;0;0;0;0;0;1;1;0;0;5;4;0;0;4;4;8;0;0;0;0;3;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;29;13;0;4;1;0;2;0;0;0;0;3;0;29;6;0;1;16;6;1;0;1;0;0;0;1;4;0;0;0;1;1;1;0;0;0;0;11;0;7;0;0;50;1;3;4;0;1;0;0;15;0;2;1;0;1;0;1;1;1;1;0;0;2;0;0;0;0;4;17;0;0;1;1;0;11;0;0;0;2;0;0;21;3;1;0;1;1;0;1;6;2;0;0;0;0;0;0;0;0;0;0;0;8;0;4;0;1;1;1;0;0;0;0;6;0;3;1;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;1;0;0;3;2;0;0;0;2;0;1;0;0
31462-4448;SUCESSO;1;1;0;0;0;0;28;3;0;0;4;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;1;1;7;0;4;0;3;2;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;6;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;1;0;0;5;1;0;0;0;0;1;0;0;0;0;0;0;10;1;0;1;5;1;0;0;1;0;0;0;0;2;0;0;0;2;2;2;1;0;0;0;2;0;1;0;0;22;1;2;3;0;3;0;0;11;0;2;2;0;6;0;2;0;0;0;0;0;2;2;0;0;0;0;3;0;0;0;0;0;3;0;0;0;2;1;1;4;2;1;0;0;0;0;0;3;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;3;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;1;1;0;0;4;2;0;0;0;2;0;2;0;0
31569-4114;insucesso;2;2;0;0;0;0;41;3;1;1;4;0;0;1;1;1;0;0;0;6;0;2;0;1;1;1;3;1;8;2;3;0;1;0;1;1;5;5;0;0;0;6;6;6;0;1;5;4;1;0;0;0;0;0;0;8;0;0;0;0;2;0;1;1;0;0;2;2;2;0;18;3;9;3;9;3;2;1;0;11;4;0;2;0;0;2;1;0;1;0;4;3;11;2;1;0;2;0;0;0;0;0;0;0;2;1;0;0;0;2;0;6;5;2;4;1;3;1;1;0;1;24;1;1;5;1;0;3;3;7;0;0;1;0;3;1;1;0;0;0;1;1;2;2;1;1;3;1;10;0;0;0;0;0;10;3;0;2;2;2;1;14;4;0;0;0;0;2;2;4;2;2;2;1;0;0;0;0;0;0;0;0;1;0;1;1;2;2;2;0;0;0;0;20;0;1;18;3;9;3;9;3;0;4;4;0;0;8;1;8;7;4;1;1;1;1;1;0;4;3;21;3;4;7;4;2;2;2;12;0;4;3;3;10;1;8;3;2
31570-4114;insucesso;1;1;0;0;0;0;28;0;0;0;1;0;0;0;0;0;0;0;0;4;0;2;0;1;0;0;0;0;11;0;4;2;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;7;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;9;0;0;5;0;2;1;0;1;0;0;1;0;9;1;0;0;8;0;4;2;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;37;1;0;3;1;2;0;0;12;1;0;2;1;7;1;5;1;1;1;1;1;2;1;0;0;0;2;6;0;0;0;0;0;3;1;0;1;1;0;0;8;3;0;0;0;0;1;0;3;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;0;2;1;0;1;0;1;1;0
31572-4448;insucesso;0;0;0;0;0;0;10;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;4;1;1;0;1;1;0;0;0;0;0;0;0;2;0;0;0;1;0;1;1;1;0;0;2;0;1;0;0;4;1;0;1;0;0;0;0;3;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31728-4114;SUCESSO;1;1;0;0;0;17;63;3;0;0;5;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;4;2;6;0;2;0;0;0;0;0;0;0;0;15;14;3;0;0;0;2;5;0;0;2;2;0;0;0;0;8;0;0;0;0;2;0;0;0;2;1;0;0;0;0;5;0;0;0;1;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;1;0;12;2;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;4;1;1;0;0;0;0;7;0;3;0;0;14;0;1;2;0;0;0;0;6;0;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;1;23;15;2;5;0;0;0;0;0;0;1;0;0;0;3;1;2;0;0;0;0;0;0;0;0;4;2;13;0;0;7;4;2;0;0;8;1;1;0;0;11;0;5;0;0
31729-4448;SUCESSO;1;0;1;1;0;0;14;3;0;0;1;0;0;0;0;0;0;0;0;5;2;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;7;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;16;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;6;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;2;2;6;0;0;0;3;2;2;6;1;0;0;0;0;0;2;3;1;2;1;2;2;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
31759-4114;insucesso;1;0;1;1;0;0;11;3;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;1;0;1;1;1;0;0;0;0;0;0;0;2;0;2;1;1;1;0;0;0;3;1;1;1;0;1;0;0;0;0;0;0;0;3;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;2;2;0;1;0;0;0;0;0;0;23;1;0;1;0;0;1;1;7;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;1;0;0;3;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3;0;0;2;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
