379;22779-4224;insucesso;1>
446;24295-4224;insucesso;1>
484;24303-7111;insucesso;1>
545;27813-7111;insucesso;1>
666;29688-4224;insucesso;1>
806;30688-4429;insucesso;1>
1046;31135-4429;insucesso;1>
1195;31176-4429;insucesso;1>
1353;31256-4429;insucesso;1>
1354;31256-4429;insucesso;1>
1847;31417-4429;insucesso;1>
2048;31467-4429;insucesso;1>
2133;31470-4224;insucesso;1>
2138;31470-4224;insucesso;1>
2301;31539-4429;insucesso;1>
2459;31540-4428;insucesso;1>
2568;31546-4224;insucesso;1>
2751;31569-4224;insucesso;1>
2964;31588-4429;insucesso;1>
3097;31591-4428;insucesso;1>
3185;31701-4429;insucesso;1>
3296;31727-4224;insucesso;1>
3383;31734-4428;insucesso;1>
3920;31856-4429;insucesso;1>
4076;31859-4224;insucesso;1>
4454;31993-4428;insucesso;1>
4455;31993-4428;insucesso;1>
4644;32935-4429;insucesso;1>
4948;33165-4428;insucesso;1>
4949;33165-4428;insucesso;1>
4951;33165-4428;insucesso;1>
5161;33790-4224;insucesso;1>
42;13036-4429;insucesso;2>
43;13036-4429;insucesso;2>
64;14884-4428;insucesso;2>
102;15183-6547;insucesso;2>
112;15183-6547;insucesso;2>
118;15183-6547;insucesso;2>
122;15183-6547;insucesso;2>
126;15183-6547;insucesso;2>
161;18200-6547;insucesso;2>
205;18200-6547;insucesso;2>
277;19173-4429;insucesso;2>
336;22435-4912;insucesso;2>
338;22435-4912;insucesso;2>
346;22435-4912;insucesso;2>
347;22435-4912;insucesso;2>
366;22779-4224;insucesso;2>
377;22779-4224;insucesso;2>
378;22779-4224;insucesso;2>
379;22779-4224;insucesso;2>
399;23859-6395;insucesso;2>
403;23859-6395;insucesso;2>
432;24295-4224;insucesso;2>
439;24295-4224;insucesso;2>
441;24295-4224;insucesso;2>
443;24295-4224;insucesso;2>
445;24295-4224;insucesso;2>
446;24295-4224;insucesso;2>
480;24303-7111;insucesso;2>
481;24303-7111;insucesso;2>
484;24303-7111;insucesso;2>
527;27770-4224;insucesso;2>
542;27813-7111;insucesso;2>
543;27813-7111;insucesso;2>
544;27813-7111;insucesso;2>
545;27813-7111;insucesso;2>
659;29688-4224;insucesso;2>
665;29688-4224;insucesso;2>
666;29688-4224;insucesso;2>
739;30609-4429;insucesso;2>
743;30609-4429;insucesso;2>
744;30609-4429;insucesso;2>
746;30609-4429;insucesso;2>
766;30609-5102;insucesso;2>
796;30688-4429;insucesso;2>
801;30688-4429;insucesso;2>
802;30688-4429;insucesso;2>
803;30688-4429;insucesso;2>
805;30688-4429;insucesso;2>
806;30688-4429;insucesso;2>
807;30688-4429;insucesso;2>
826;30688-4429;insucesso;2>
882;30698-4429;insucesso;2>
887;30698-4429;insucesso;2>
964;30753-4429;insucesso;2>
968;30753-4429;insucesso;2>
969;30753-4429;insucesso;2>
971;30753-4429;insucesso;2>
1043;31135-4429;insucesso;2>
1045;31135-4429;insucesso;2>
1046;31135-4429;insucesso;2>
1047;31135-4429;insucesso;2>
1185;31176-4429;insucesso;2>
1187;31176-4429;insucesso;2>
1191;31176-4429;insucesso;2>
1192;31176-4429;insucesso;2>
1194;31176-4429;insucesso;2>
1195;31176-4429;insucesso;2>
1206;31176-4429;insucesso;2>
1342;31256-4429;insucesso;2>
1345;31256-4429;insucesso;2>
1348;31256-4429;insucesso;2>
1352;31256-4429;insucesso;2>
1353;31256-4429;insucesso;2>
1354;31256-4429;insucesso;2>
1355;31256-4429;insucesso;2>
1398;31256-5102;insucesso;2>
1400;31256-5102;insucesso;2>
1401;31256-5102;insucesso;2>
1502;31288-4429;insucesso;2>
1506;31288-4429;insucesso;2>
1604;31357-4224;insucesso;2>
1608;31357-4224;insucesso;2>
1609;31357-4224;insucesso;2>
1705;31390-4429;insucesso;2>
1777;31398-4224;insucesso;2>
1778;31398-4224;insucesso;2>
1831;31417-4429;insucesso;2>
1835;31417-4429;insucesso;2>
1837;31417-4429;insucesso;2>
1840;31417-4429;insucesso;2>
1842;31417-4429;insucesso;2>
1844;31417-4429;insucesso;2>
1846;31417-4429;insucesso;2>
1847;31417-4429;insucesso;2>
1854;31417-4429;insucesso;2>
1886;31434-4429;insucesso;2>
1892;31434-4429;insucesso;2>
1893;31434-4429;insucesso;2>
1927;31456-4912;insucesso;2>
2014;31467-4429;insucesso;2>
2030;31467-4429;insucesso;2>
2033;31467-4429;insucesso;2>
