105;18344-4912;insucesso;4>
250;23859-6395;insucesso;4>
654;31176-4429;insucesso;4>
702;31176-4429;insucesso;4>
862;31256-5102;insucesso;4>
978;31357-4224;insucesso;4>
1177;31434-4429;insucesso;4>
1204;31467-4429;insucesso;4>
1594;31569-4224;insucesso;4>
1603;31569-4224;insucesso;4>
1623;31569-4224;insucesso;4>
1649;31569-4224;insucesso;4>
1659;31569-4224;insucesso;4>
1783;31588-4429;insucesso;4>
1794;31588-4429;insucesso;4>
1845;31591-4428;insucesso;4>
1855;31591-4428;insucesso;4>
1903;31591-4428;insucesso;4>
1978;31727-4224;insucesso;4>
1981;31727-4224;insucesso;4>
1983;31727-4224;insucesso;4>
2113;31743-4429;insucesso;4>
2132;31743-4429;insucesso;4>
2133;31743-4429;insucesso;4>
2354;31856-4429;insucesso;4>
2449;31859-4224;insucesso;4>
2516;31885-4428;insucesso;4>
2517;31885-4428;insucesso;4>
2536;31885-4428;insucesso;4>
2651;31993-4428;insucesso;4>
2782;32892-4428;insucesso;4>
2871;33165-4428;insucesso;4>
2884;33165-4428;insucesso;4>
2970;33790-4224;insucesso;4>
3012;34979-4912;insucesso;4>
3130;35637-5102;insucesso;4>
3253;35921-5102;insucesso;4>
3262;35921-5102;insucesso;4>
3276;35921-5102;insucesso;4>
296;27770-4224;insucesso;6>
300;27770-4224;insucesso;6>
423;30609-4429;insucesso;6>
424;30609-4429;insucesso;6>
425;30609-4429;insucesso;6>
502;30698-4429;insucesso;6>
507;30698-4429;insucesso;6>
644;31176-4429;insucesso;6>
645;31176-4429;insucesso;6>
648;31176-4429;insucesso;6>
649;31176-4429;insucesso;6>
650;31176-4429;insucesso;6>
655;31176-4429;insucesso;6>
656;31176-4429;insucesso;6>
657;31176-4429;insucesso;6>
658;31176-4429;insucesso;6>
660;31176-4429;insucesso;6>
661;31176-4429;insucesso;6>
666;31176-4429;insucesso;6>
667;31176-4429;insucesso;6>
671;31176-4429;insucesso;6>
891;31288-4429;insucesso;6>
892;31288-4429;insucesso;6>
893;31288-4429;insucesso;6>
894;31288-4429;insucesso;6>
895;31288-4429;insucesso;6>
896;31288-4429;insucesso;6>
897;31288-4429;insucesso;6>
898;31288-4429;insucesso;6>
899;31288-4429;insucesso;6>
900;31288-4429;insucesso;6>
901;31288-4429;insucesso;6>
902;31288-4429;insucesso;6>
903;31288-4429;insucesso;6>
904;31288-4429;insucesso;6>
905;31288-4429;insucesso;6>
981;31357-4224;insucesso;6>
983;31357-4224;insucesso;6>
1212;31467-4429;insucesso;6>
1213;31467-4429;insucesso;6>
1214;31467-4429;insucesso;6>
1215;31467-4429;insucesso;6>
1216;31467-4429;insucesso;6>
1220;31467-4429;insucesso;6>
1221;31467-4429;insucesso;6>
1223;31467-4429;insucesso;6>
1224;31467-4429;insucesso;6>
1341;31539-4429;insucesso;6>
1342;31539-4429;insucesso;6>
1343;31539-4429;insucesso;6>
1345;31539-4429;insucesso;6>
1346;31539-4429;insucesso;6>
1347;31539-4429;insucesso;6>
1349;31539-4429;insucesso;6>
1352;31539-4429;insucesso;6>
1353;31539-4429;insucesso;6>
1354;31539-4429;insucesso;6>
1355;31539-4429;insucesso;6>
1356;31539-4429;insucesso;6>
1357;31539-4429;insucesso;6>
1596;31569-4224;insucesso;6>
1607;31569-4224;insucesso;6>
1608;31569-4224;insucesso;6>
1610;31569-4224;insucesso;6>
1614;31569-4224;insucesso;6>
1615;31569-4224;insucesso;6>
1616;31569-4224;insucesso;6>
1619;31569-4224;insucesso;6>
1620;31569-4224;insucesso;6>
1621;31569-4224;insucesso;6>
1622;31569-4224;insucesso;6>
1656;31569-4224;insucesso;6>
1657;31569-4224;insucesso;6>
1674;31569-4224;insucesso;6>
1675;31569-4224;insucesso;6>
1754;31588-4429;insucesso;6>
1755;31588-4429;insucesso;6>
1756;31588-4429;insucesso;6>
1757;31588-4429;insucesso;6>
1758;31588-4429;insucesso;6>
1761;31588-4429;insucesso;6>
1762;31588-4429;insucesso;6>
1763;31588-4429;insucesso;6>
1764;31588-4429;insucesso;6>
1906;31701-4429;insucesso;6>
1907;31701-4429;insucesso;6>
1908;31701-4429;insucesso;6>
1912;31701-4429;insucesso;6>
1913;31701-4429;insucesso;6>
1996;31727-4224;insucesso;6>
1997;31727-4224;insucesso;6>
2057;31743-4429;insucesso;6>
2058;31743-4429;insucesso;6>
2059;31743-4429;insucesso;6>
2060;31743-4429;insucesso;6>
2061;31743-4429;insucesso;6>
2062;31743-4429;insucesso;6>
2063;31743-4429;insucesso;6>
2064;31743-4429;insucesso;6>
