108;18200-6547;insucesso;2>
239;22435-4912;insucesso;2>
241;22435-4912;insucesso;2>
768;35880-5786;insucesso;2>
774;35880-5786;insucesso;2>
129;18344-4912;insucesso;4>
251;23859-6395;insucesso;4>
301;31256-5102;insucesso;4>
495;34979-4912;insucesso;4>
613;35637-5102;insucesso;4>
782;35921-5102;insucesso;4>
791;35921-5102;insucesso;4>
805;35921-5102;insucesso;4>
547;34979-4912;insucesso;6>
548;34979-4912;insucesso;6>
549;34979-4912;insucesso;6>
551;34979-4912;insucesso;6>
552;34979-4912;insucesso;6>
553;34979-4912;insucesso;6>
555;34979-4912;insucesso;6>
556;34979-4912;insucesso;6>
651;35659-6547;insucesso;6>
62;15735-5786;insucesso;7>
227;22435-4912;insucesso;7>
343;31456-4912;insucesso;7>
545;34979-4912;insucesso;7>
614;35637-5102;insucesso;7>
651;35659-6547;insucesso;7>
760;35880-5786;insucesso;7>
821;35921-5102;insucesso;7>
887;35923-4912;insucesso;7>
890;35923-4912;insucesso;7>
52;15735-5786;insucesso;8>
330;31456-4912;insucesso;8>
433;32897-4912;insucesso;8>
543;34979-4912;insucesso;8>
545;34979-4912;insucesso;8>
582;34979-4912;insucesso;8>
821;35921-5102;insucesso;8>
827;35921-5102;insucesso;8>
829;35921-5102;insucesso;8>
830;35921-5102;insucesso;8>
9;15183-5786;insucesso;9>
67;15735-5786;insucesso;9>
115;18200-6547;insucesso;9>
157;18344-4912;insucesso;9>
183;21782-5786;insucesso;9>
236;22435-4912;insucesso;9>
373;31489-6019;insucesso;9>
473;33410-6547;insucesso;9>
474;33410-6547;insucesso;9>
582;34979-4912;insucesso;9>
694;35677-5786;insucesso;9>
759;35880-5786;insucesso;9>
762;35880-5786;insucesso;9>
906;35923-4912;insucesso;9>
9;15183-5786;insucesso;11>
67;15735-5786;insucesso;11>
75;15735-5786;insucesso;11>
108;18200-6547;insucesso;11>
110;18200-6547;insucesso;11>
112;18200-6547;insucesso;11>
114;18200-6547;insucesso;11>
115;18200-6547;insucesso;11>
116;18200-6547;insucesso;11>
117;18200-6547;insucesso;11>
119;18200-6547;insucesso;11>
157;18344-4912;insucesso;11>
158;18344-4912;insucesso;11>
182;21782-5786;insucesso;11>
183;21782-5786;insucesso;11>
236;22435-4912;insucesso;11>
237;22435-4912;insucesso;11>
238;22435-4912;insucesso;11>
239;22435-4912;insucesso;11>
247;22435-4912;insucesso;11>
271;27813-7111;insucesso;11>
273;27813-7111;insucesso;11>
372;31489-6019;insucesso;11>
373;31489-6019;insucesso;11>
376;31489-6019;insucesso;11>
471;33410-6547;insucesso;11>
473;33410-6547;insucesso;11>
474;33410-6547;insucesso;11>
581;34979-4912;insucesso;11>
582;34979-4912;insucesso;11>
694;35677-5786;insucesso;11>
699;35677-5786;insucesso;11>
701;35677-5786;insucesso;11>
705;35677-5786;insucesso;11>
759;35880-5786;insucesso;11>
762;35880-5786;insucesso;11>
765;35880-5786;insucesso;11>
768;35880-5786;insucesso;11>
905;35923-4912;insucesso;11>
906;35923-4912;insucesso;11>
913;35923-4912;insucesso;11>
217;22435-4912;insucesso;13>
613;35637-5102;insucesso;13>
791;35921-5102;insucesso;13>
805;35921-5102;insucesso;13>
826;35921-5102;insucesso;13>
0;15183-5786;insucesso;14>
1;15183-5786;insucesso;14>
2;15183-5786;insucesso;14>
4;15183-5786;insucesso;14>
7;15183-5786;insucesso;14>
8;15183-5786;insucesso;14>
9;15183-5786;insucesso;14>
10;15183-5786;insucesso;14>
11;15183-5786;insucesso;14>
12;15183-5786;insucesso;14>
14;15183-5786;insucesso;14>
20;15183-6547;insucesso;14>
21;15183-6547;insucesso;14>
25;15183-6547;insucesso;14>
26;15183-6547;insucesso;14>
29;15183-6547;insucesso;14>
30;15183-6547;insucesso;14>
31;15183-6547;insucesso;14>
34;15183-6547;insucesso;14>
35;15183-6547;insucesso;14>
36;15183-6547;insucesso;14>
37;15183-6547;insucesso;14>
38;15183-6547;insucesso;14>
40;15183-6547;insucesso;14>
42;15183-6547;insucesso;14>
