IdAluno;Resultado;1>;11>;11>9>;13>;14>;14>11>;14>14>;14>14>14>;14>14>31>;14>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>31>48>;14>32>;14>32>31>;14>38>;14>38>14>;14>38>33>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>48>;14>49>;14>7>;14>8>;16>;16>31>;16>31>30>;17>;17>30>;17>30>30>;17>31>;17>31>31>;2>;2>14>;28>;28>30>;29>;29>48>;3>;30>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>14>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>32>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>31>30>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>48>;31>31>;31>31>30>;31>31>31>;31>32>;31>38>;31>41>;31>48>;31>48>29>;31>48>30>;32>;32>14>;32>31>;32>31>30>;33>;34>;34>36>;34>36>37>;34>37>;34>38>;36>;36>34>;36>34>37>;36>36>;36>36>34>;36>37>;36>38>;37>;37>34>;37>36>;37>38>;38>;38>14>;38>14>31>;38>31>;38>33>;38>36>;38>38>;39>;4>;41>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;42>;46>;48>;48>13>;48>14>;48>29>;48>29>48>;48>30>;48>30>30>;48>31>;48>48>;48>48>48>;49>;49>14>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;7>;7>14>;7>5>;8>;8>7>;9>
32377-4429;SUCESSO;1;2;1;0;44;0;2;0;0;3;7;2;0;0;0;0;0;0;1;2;0;6;3;0;12;0;3;0;1;1;1;0;2;2;0;3;0;0;3;0;6;1;1;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;3;1;1;0;3;3;2;0;0;1;3;0;0;0;0;1;1;2;2;0;0;11;5;1;0;2;0;1;3;0;30;2;1;0;5;1;0;0;2;1;3;0;0;2;0;0;0;0;0;0;2;0;0;0;1;1;0;0;0;2;0;1;2;0;1
32380-4224;SUCESSO;0;4;1;1;55;2;2;0;1;0;17;0;8;1;0;0;0;3;2;0;0;3;0;0;10;1;3;1;1;0;2;0;3;3;1;4;0;0;4;0;3;1;0;0;0;0;0;32;3;1;0;12;2;7;5;3;1;1;2;0;1;0;0;0;1;3;38;1;0;0;0;19;1;0;6;4;2;1;0;0;0;0;0;3;1;0;2;0;0;4;0;3;4;3;1;0;4;5;3;1;2;0;17;3;2;2;0;2;1;4;1;0;2;17;2;0;1;4;7;0;0;0;35;1;2;0;6;0;2;0;1;0;13;0;0;0;0;5;3;0;4;3;1;0;1;0;2;2;0;0;0;2;0;2;0;0;1
32422-5102;SUCESSO;1;1;1;0;35;1;3;0;0;2;7;1;2;0;2;0;0;0;1;0;0;5;1;3;3;0;0;0;0;0;0;0;2;2;0;1;0;0;1;0;5;0;0;0;0;0;0;5;1;0;0;4;1;1;0;0;0;1;1;0;1;0;0;0;0;0;12;2;1;0;1;3;0;0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;3;3;2;1;0;0;7;2;0;2;0;2;1;2;1;0;0;10;2;0;1;3;3;1;0;0;10;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
32508-4429;SUCESSO;1;3;1;0;72;1;0;0;0;2;25;1;5;0;2;1;0;2;4;0;0;2;0;0;6;1;0;0;0;0;3;0;1;1;0;7;2;0;5;0;5;1;0;0;3;0;0;19;0;0;0;5;0;2;1;0;0;0;0;0;0;0;0;0;0;0;45;6;2;0;0;7;0;0;2;1;1;0;0;0;0;0;0;4;1;1;0;1;3;5;2;3;3;0;0;0;3;3;1;1;1;1;3;2;1;1;0;1;0;2;0;0;1;8;1;0;0;3;1;0;1;0;29;0;1;0;5;0;0;0;0;1;10;0;3;2;0;3;1;0;3;2;0;0;0;0;1;1;0;0;0;5;0;1;4;0;1
32525-4428;SUCESSO;1;0;0;13;18;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;2;0;3;0;0;3;0;8;0;0;0;5;0;5;7;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;3;3;1;1;1;1;3;1;0;0;0;1;0;2;0;0;0;5;0;0;0;0;0;0;2;3;15;0;0;0;2;0;1;0;0;1;8;0;1;1;0;1;0;0;2;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
32885-4429;SUCESSO;1;2;1;0;29;0;15;0;0;2;4;0;0;0;0;0;0;4;0;0;0;0;0;0;8;1;1;0;0;0;1;0;2;2;0;5;0;0;5;0;5;1;0;0;4;2;0;2;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;22;5;1;0;2;2;0;0;2;0;0;0;0;0;0;0;0;12;1;0;0;0;0;4;2;0;3;1;1;0;4;4;3;1;0;1;4;2;0;1;0;1;0;2;1;0;0;5;1;0;0;2;0;3;0;0;28;1;2;0;6;0;4;3;1;1;7;0;2;4;2;0;0;0;4;0;1;0;0;0;1;1;0;0;0;2;0;1;1;0;1
32891-4428;SUCESSO;1;2;1;3;71;1;6;0;2;6;28;1;2;1;1;1;0;5;15;0;0;3;0;1;17;1;6;3;1;2;1;0;5;3;0;2;0;0;2;0;9;3;0;0;33;13;5;6;3;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;44;4;2;0;0;3;1;0;1;1;0;0;0;0;0;0;0;7;0;1;0;3;2;29;27;0;4;1;3;0;6;6;2;2;2;0;23;4;2;7;0;2;3;4;0;0;2;13;2;0;1;3;1;0;1;2;37;0;6;0;10;1;3;1;1;1;38;0;9;31;11;0;0;0;3;0;8;0;6;4;0;0;0;0;0;1;0;0;0;0;1
32892-4428;insucesso;0;1;0;1;8;0;0;0;0;0;7;0;3;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;7;5;1;8;5;1;2;0;0;0;0;0;1;0;0;24;1;0;0;6;0;6;2;1;0;2;7;0;4;1;0;0;0;6;28;0;0;0;0;17;1;0;4;4;1;0;5;2;0;0;3;4;3;1;0;0;2;4;0;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3;0;0;0;1;0;0;0;1;14;0;1;1;2;0;0;0;0;0;14;0;0;1;0;7;0;2;4;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
32892-4912;SUCESSO;1;4;1;0;19;0;2;0;1;1;10;0;5;0;2;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;3;3;3;10;3;0;7;0;6;0;6;5;0;0;0;25;1;0;0;9;1;3;3;2;0;0;1;0;1;0;0;0;2;0;32;0;0;0;0;13;0;0;4;1;1;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;3;3;1;0;0;0;5;1;0;1;0;1;1;2;1;0;0;7;2;0;2;3;0;1;0;0;10;0;2;2;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
32897-4912;insucesso;0;0;0;0;7;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;1;0;2;1;1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0
32933-4428;SUCESSO;1;2;0;0;20;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;0;2;0;0;6;0;1;1;0;0;0;0;2;2;0;1;0;0;1;0;3;0;0;0;4;3;0;5;0;0;0;4;0;3;1;0;0;1;1;0;0;0;0;0;0;0;17;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;4;1;0;2;0;3;3;2;0;7;1;5;0;3;3;1;1;1;0;5;2;1;1;0;1;0;3;0;0;1;6;0;0;0;1;2;1;0;0;24;1;0;0;10;0;8;3;3;1;7;0;0;3;2;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
32935-4429;insucesso;1;2;1;0;16;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;6;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;1;0;2;1;1;0;0;0;0;2;1;0;1;4;0;0;0;2;0;0;1;0;8;0;0;0;3;0;3;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
32948-4428;SUCESSO;1;5;1;1;82;2;2;0;1;2;30;1;11;1;1;0;2;5;1;0;0;6;0;2;8;0;4;0;1;0;5;0;6;4;0;3;1;0;2;0;9;0;0;0;13;5;2;33;2;2;1;7;1;2;0;0;0;0;6;0;3;0;0;0;0;8;67;6;1;0;0;21;2;2;2;0;0;0;3;1;0;0;0;13;2;2;0;2;3;9;4;2;3;1;0;0;7;5;2;2;2;0;12;3;2;2;0;3;1;4;1;0;1;20;2;0;2;6;6;0;3;0;44;2;5;0;19;5;4;2;1;4;33;0;1;13;4;7;2;0;3;1;9;0;4;2;10;3;30;18;8;20;0;6;3;0;1
32986-4428;insucesso;0;3;1;0;29;1;3;0;1;7;5;1;1;0;1;0;0;0;1;0;0;2;0;0;9;0;3;0;0;0;0;1;1;0;0;3;0;0;3;1;11;3;0;0;3;1;2;14;1;0;0;9;1;2;1;1;0;1;2;1;0;0;0;0;0;0;20;4;0;0;1;9;0;0;7;2;1;0;1;0;0;0;0;4;1;0;0;0;2;5;3;1;0;0;0;0;5;5;2;0;2;0;11;3;2;1;0;2;0;5;1;1;2;13;2;1;0;4;1;0;2;0;24;0;3;0;8;3;2;0;0;0;8;0;2;3;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;2;0;0;1;1;1
32995-4428;insucesso;0;0;0;0;35;0;14;1;4;4;10;4;0;0;0;0;0;5;0;0;0;1;1;0;5;0;0;0;0;0;0;0;0;0;0;2;0;0;2;1;4;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;8;5;0;2;1;1;0;0;0;0;0;0;0;0;0;0;9;1;1;0;0;0;0;0;0;0;0;0;0;3;2;2;0;0;0;5;1;0;3;1;1;0;2;2;0;0;9;4;1;0;0;1;0;0;0;10;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33161-5102;SUCESSO;1;0;0;0;17;0;1;0;1;0;6;0;2;0;0;0;0;0;0;0;0;5;1;1;0;0;0;0;1;0;0;0;2;2;1;3;1;0;2;0;5;0;1;1;0;0;4;11;1;0;0;3;0;2;2;1;1;0;0;0;0;0;0;0;0;1;15;0;0;0;0;4;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;7;6;3;2;1;2;14;3;1;0;0;2;2;6;0;0;2;14;3;2;0;6;2;3;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0
33165-4428;insucesso;3;7;1;2;130;2;10;1;0;4;26;5;7;2;3;0;0;3;2;8;7;6;1;1;15;0;3;0;0;2;1;0;3;3;0;4;2;1;2;1;8;4;1;0;7;0;0;39;9;3;2;10;1;5;2;0;0;0;0;0;0;0;0;0;0;2;58;16;9;2;0;17;5;0;4;2;1;0;0;0;0;0;0;4;1;0;1;0;2;3;1;0;11;1;9;6;6;6;1;0;3;1;13;5;3;0;0;0;0;5;1;1;2;22;4;0;0;4;4;0;2;3;66;0;2;1;11;1;2;0;1;3;16;1;4;6;0;3;0;0;5;0;6;1;3;0;0;0;6;0;0;6;3;0;2;1;2
33173-4224;SUCESSO;0;7;1;1;43;4;3;0;2;1;11;0;3;2;1;0;0;0;0;0;0;4;1;2;6;0;0;0;0;2;2;0;2;2;1;4;1;0;3;0;2;1;0;0;1;0;3;10;5;0;0;4;2;4;2;1;1;0;2;0;1;0;0;0;0;0;20;0;0;0;0;6;3;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2;1;0;2;1;0;0;3;3;0;0;2;1;16;3;2;6;0;0;1;2;0;0;0;9;5;1;1;3;0;0;2;0;19;0;1;0;2;1;0;0;0;0;5;0;0;1;0;0;0;0;1;1;2;0;0;1;0;0;0;0;0;3;0;0;2;0;1
33384-4428;SUCESSO;1;0;0;0;14;0;3;0;0;3;2;0;1;0;1;1;0;1;0;1;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;1;1;5;4;0;0;0;3;0;2;0;0;0;1;1;0;1;0;0;0;1;2;6;1;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;4;1;1;0;0;0;0;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;3;0;9;0;1;0;4;0;2;2;3;1;3;0;0;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33410-6547;insucesso;0;7;2;0;51;1;1;0;0;3;14;0;4;0;0;0;1;1;0;7;2;1;0;0;8;0;2;0;1;0;0;0;2;2;0;5;2;0;3;1;10;1;0;0;0;0;5;14;1;1;1;1;0;1;0;0;0;0;4;2;1;0;0;0;0;1;28;2;0;0;0;9;0;0;0;0;0;0;3;1;0;0;1;3;0;0;2;0;3;2;0;2;16;4;4;2;5;5;0;0;3;0;5;5;3;2;1;1;0;5;0;2;0;10;0;0;0;2;0;0;4;0;31;0;1;1;12;0;2;1;1;0;4;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
33483-4912;SUCESSO;0;4;1;0;72;1;14;0;6;5;23;2;8;0;1;1;1;1;2;0;0;9;4;0;9;3;3;2;1;1;2;0;3;3;1;12;8;0;4;0;10;3;4;1;18;8;6;46;4;1;0;7;0;4;1;1;1;1;8;0;2;0;0;0;0;4;67;10;2;0;1;20;0;0;2;2;0;0;1;0;0;0;0;5;0;0;4;0;5;12;11;1;10;6;4;1;3;2;1;0;0;0;6;1;0;0;0;0;1;1;1;0;0;15;8;2;4;3;2;4;9;0;26;1;5;1;9;0;5;4;2;1;27;0;4;18;7;1;0;0;2;0;3;0;1;0;0;0;1;1;0;5;0;0;1;0;1
33521-4429;SUCESSO;0;3;0;1;35;0;9;0;1;1;4;0;1;0;0;0;0;1;0;2;0;5;1;2;7;0;2;0;1;1;1;0;3;3;1;3;0;0;3;0;3;0;1;1;0;0;0;11;1;1;0;3;0;1;0;0;0;1;1;0;0;0;0;0;1;0;26;4;0;0;0;6;0;0;2;1;0;0;0;0;0;0;0;2;1;0;0;0;1;2;0;0;3;1;2;0;4;3;1;0;0;0;6;1;0;0;0;2;1;2;1;0;0;10;3;1;0;4;2;1;1;1;17;0;1;0;2;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;5;0;0;1;0;0;0;0;0;1;0;0;3;0;1
33790-4224;insucesso;1;1;1;0;22;0;4;2;1;1;5;0;1;0;0;0;0;0;0;0;0;2;1;1;9;0;3;0;0;0;0;1;1;1;0;6;2;2;4;1;3;0;0;0;0;0;0;11;3;0;0;6;2;1;1;0;0;0;0;0;0;0;0;0;0;2;18;0;0;0;0;6;0;0;3;1;1;0;0;0;0;0;1;3;1;1;0;0;1;0;0;0;0;0;0;0;3;3;2;0;1;0;4;1;0;0;0;2;1;3;0;1;1;5;1;0;0;3;0;0;0;1;21;0;1;1;4;0;1;0;0;1;5;0;2;0;0;1;0;1;2;0;1;1;1;0;0;0;0;0;0;2;1;0;1;1;1
33958-5102;SUCESSO;1;2;1;0;61;1;4;0;1;2;10;1;4;0;1;1;2;0;0;4;0;2;1;1;20;2;4;1;0;1;1;0;4;4;3;5;2;0;3;0;7;2;0;0;0;0;1;27;6;1;0;10;1;7;4;2;1;0;6;0;5;5;0;0;0;1;31;5;0;0;2;17;4;0;5;4;1;0;5;5;0;0;0;0;0;0;2;0;0;1;0;1;7;0;5;4;3;3;2;1;0;1;8;1;0;0;0;1;1;2;1;0;0;10;4;0;0;3;3;0;0;0;37;1;5;5;7;1;1;0;0;1;2;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1
34561-5102;SUCESSO;1;7;1;5;133;3;11;0;2;4;35;6;18;1;2;2;5;4;0;8;0;15;2;3;32;2;10;1;27;2;2;0;6;6;4;26;22;0;4;0;9;1;7;5;7;1;3;68;14;4;2;6;0;3;0;0;0;1;14;0;9;5;0;0;3;4;74;13;2;0;2;45;9;3;6;3;0;0;12;8;0;0;0;7;4;0;8;0;0;1;0;0;29;10;20;15;5;5;2;2;0;3;18;4;0;5;0;2;1;10;0;0;1;22;6;1;0;4;2;3;6;1;63;3;8;3;18;2;3;1;2;1;61;0;34;5;1;0;0;0;4;1;3;0;1;2;3;2;0;0;0;3;0;2;0;0;1
34845-4912;SUCESSO;1;4;1;0;29;3;1;0;0;1;4;0;3;1;0;0;0;0;0;0;0;2;0;1;8;0;2;0;0;1;0;0;1;1;1;4;2;0;2;0;4;1;0;0;0;0;0;12;3;0;0;0;0;0;0;0;0;0;4;0;1;1;0;0;0;0;18;3;0;0;1;7;2;0;0;0;0;0;2;0;0;0;0;3;0;1;0;0;0;0;0;0;1;1;0;0;3;3;1;1;2;0;6;2;2;0;0;1;0;3;0;0;1;7;2;0;0;2;1;0;2;0;19;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1
