IdAluno;Resultado;11>;13>;14>;14>14>;14>14>14>;14>14>31>;14>31>;14>31>14>;14>31>14>31>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>31>31>30>;14>31>41>;14>31>48>;14>31>48>29>;14>32>;14>32>31>;14>38>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>42>;14>48>;14>49>;14>7>;14>8>;14>8>7>;16>;16>31>;16>31>14>;16>31>30>;16>31>31>;16>31>48>;17>;17>30>;17>30>30>;17>30>31>;17>31>;28>;28>30>;29>;29>14>;29>29>;29>30>;29>4>;29>48>;29>48>29>;30>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>31>;30>30>31>;30>30>31>30>;30>30>48>;30>31>;30>31>14>;30>31>30>;30>31>30>30>;30>31>30>31>;30>31>30>31>30>;30>31>30>31>30>31>;30>31>30>31>30>31>30>;30>32>;30>41>;30>48>;30>48>30>;31>;31>14>;31>14>31>;31>14>31>30>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>14>31>30>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>31>30>31>30>31>;31>30>48>;31>31>;31>31>30>;31>31>31>;31>32>;31>32>31>;31>41>;31>41>41>;31>48>;31>48>29>;31>48>30>;31>48>48>;32>;32>14>;32>14>31>;32>31>;32>31>30>;33>;34>;34>36>;34>36>37>;34>37>;36>;36>34>;36>34>37>;36>36>;36>37>;37>;37>34>;37>36>;37>38>;38>;38>14>;38>14>31>;38>33>;38>36>;39>;4>;41>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;42>;47>;47>48>;48>;48>13>;48>14>;48>14>31>;48>29>;48>29>14>;48>29>30>;48>29>48>;48>29>48>29>;48>30>;48>30>30>;48>31>;48>48>;48>48>48>;49>;49>14>;49>48>;49>49>;6>;6>6>;7>;8>;8>7>
31539-4429;insucesso;0;0;37;0;0;0;14;0;0;3;0;0;0;1;4;0;0;1;0;0;0;1;7;1;1;1;0;0;0;2;1;1;2;2;0;1;1;0;2;1;0;0;1;1;1;2;0;1;1;0;1;1;19;2;0;0;5;0;1;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;30;3;1;0;0;7;0;0;0;3;1;1;1;1;0;0;0;0;0;5;1;2;1;0;0;0;2;2;0;0;1;1;1;0;0;3;3;1;1;1;8;2;1;2;2;3;1;1;1;6;1;0;2;0;0;0;23;0;4;0;5;1;1;0;0;0;0;2;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;13;3;4;1;1
31540-4428;insucesso;0;0;47;12;3;1;9;0;0;3;0;2;1;0;2;0;2;0;0;7;6;4;2;0;1;0;2;1;0;0;0;0;3;3;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;18;2;0;0;6;1;4;2;1;1;0;0;1;0;0;5;1;1;0;0;0;0;0;3;0;2;0;30;3;1;0;0;15;1;0;0;5;3;0;0;3;1;0;0;0;2;5;2;3;2;0;3;1;1;0;1;0;13;6;0;7;4;1;1;1;1;0;1;0;0;0;1;2;0;0;0;9;0;0;1;0;0;0;8;1;1;0;4;0;1;0;2;0;0;4;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
31546-4224;insucesso;0;0;40;3;0;0;7;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;5;1;1;0;0;2;0;0;0;0;4;4;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;8;3;0;0;2;0;2;2;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;21;3;0;0;0;5;3;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;1;0;3;1;0;1;0;1;1;1;1;0;1;1;0;0;1;1;0;0;1;3;1;0;0;0;0;0;16;0;2;1;3;1;1;0;0;0;0;5;0;0;0;1;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;1;1;0
31547-4428;SUCESSO;0;5;48;6;0;0;16;3;0;7;0;2;0;1;1;0;1;3;0;1;0;2;12;1;1;1;0;6;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;6;1;0;0;0;1;0;15;1;0;0;7;0;4;2;2;2;2;1;1;0;3;2;0;2;2;1;1;0;0;0;2;6;0;33;5;3;2;1;11;0;0;0;6;4;2;2;2;2;1;0;0;3;3;0;0;1;0;2;0;6;1;2;0;3;2;1;0;0;2;2;2;1;0;3;0;0;0;1;2;1;0;1;5;0;0;2;1;0;1;28;0;2;0;4;0;3;0;0;1;0;29;4;8;2;6;1;0;1;0;3;1;0;10;4;5;2;3;1;0;0;1;0;0
31549-4428;SUCESSO;0;0;36;2;0;2;21;1;0;0;0;0;0;0;5;0;0;7;7;0;0;0;9;0;4;2;0;1;0;0;0;0;6;5;0;0;0;2;2;1;0;0;0;3;3;30;2;0;5;0;16;16;10;2;2;0;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;46;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;11;0;1;2;1;0;0;21;19;0;0;4;0;0;1;0;2;2;0;0;2;3;2;2;0;0;2;0;0;1;7;0;0;2;1;0;2;24;0;3;0;11;1;6;4;1;10;0;43;0;1;0;29;2;3;16;16;0;0;0;5;0;1;0;0;0;0;0;0;0;0
31562-4429;insucesso;0;0;10;0;0;0;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;2;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;4;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;1;1;0;0;1;1;1;1;0;2;1;0;0;1;1;0;0;1;3;0;0;1;0;0;0;4;0;1;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0
31563-4224;SUCESSO;0;2;41;0;0;0;12;1;0;3;0;1;1;2;4;0;0;0;0;0;0;1;7;0;1;1;0;2;1;0;0;0;3;3;1;2;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;1;18;5;2;0;6;2;3;1;1;1;1;2;2;0;1;6;3;2;1;1;0;0;0;0;1;1;0;29;7;2;1;2;9;3;2;0;3;3;1;1;2;2;1;0;0;0;5;1;0;0;0;4;0;1;0;0;0;2;0;0;0;0;1;1;0;0;1;1;1;1;1;0;1;0;0;0;4;1;0;1;0;0;1;32;0;3;0;5;1;2;1;0;1;0;8;1;3;1;1;0;0;1;1;0;0;0;3;0;2;0;1;0;0;0;1;1;0
31566-4428;SUCESSO;0;0;10;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;5;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;9;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;9;0;2;0;3;1;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31569-4224;insucesso;0;4;44;3;0;1;20;2;1;1;0;0;0;0;3;0;0;8;0;2;2;1;5;0;0;0;1;4;1;0;4;4;2;2;0;1;0;1;1;0;0;0;1;0;0;42;0;3;3;4;15;7;10;2;2;0;2;1;1;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;3;0;35;5;2;0;0;4;0;0;0;2;1;1;0;0;0;0;0;0;1;3;1;2;2;0;1;0;15;14;0;2;6;0;0;5;0;3;2;1;1;1;2;1;1;0;1;2;1;0;1;4;2;0;1;0;1;5;22;0;0;0;2;0;0;0;1;5;4;52;1;5;0;39;0;0;10;0;1;1;5;6;2;3;2;2;0;15;1;8;10;8
31570-4224;SUCESSO;0;1;40;2;0;1;17;1;0;3;0;1;1;0;0;0;3;0;0;0;0;2;7;0;2;0;0;0;1;0;1;0;4;4;2;1;0;0;3;1;0;0;2;2;2;0;0;0;0;0;0;0;23;4;0;0;8;1;6;4;2;0;0;1;2;0;0;3;0;2;2;0;0;0;0;1;0;0;0;36;4;2;1;0;12;1;0;0;4;2;2;1;1;1;0;0;0;0;2;1;0;0;0;5;0;0;0;0;0;4;0;0;2;1;1;1;0;0;1;1;1;1;0;0;1;0;0;1;5;1;1;1;0;0;0;24;0;3;1;5;2;0;0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0
31572-4428;insucesso;0;1;20;1;0;0;7;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;3;1;1;0;0;0;0;0;0;0;4;4;1;0;0;3;1;1;0;0;0;0;0;7;0;1;1;0;2;2;7;2;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;21;1;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;7;3;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;10;0;2;1;4;1;2;0;0;0;0;10;1;0;0;7;0;0;2;0;1;0;0;3;1;0;0;0;0;0;0;0;0;0
31572-4912;SUCESSO;2;0;27;1;0;1;7;2;0;1;0;0;0;0;2;0;0;1;0;1;0;1;4;1;0;0;0;0;0;0;2;0;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;6;0;0;0;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;17;3;1;0;0;3;0;0;0;1;1;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;2;0;1;0;2;1;0;0;0;3;3;1;1;2;5;2;2;0;1;4;0;0;1;7;1;0;2;1;0;2;5;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;3;0
31580-4429;SUCESSO;0;4;49;2;0;0;30;1;0;18;0;16;9;2;4;1;2;3;1;3;2;2;11;0;4;1;0;0;0;0;0;0;3;3;0;1;0;0;9;7;0;0;2;1;0;9;1;0;4;0;2;1;54;4;2;1;36;1;21;13;9;8;6;2;3;1;2;5;0;2;2;0;0;0;0;1;2;3;0;49;7;3;0;3;33;0;0;0;25;16;10;7;2;1;0;0;0;0;5;2;2;2;1;3;0;5;1;1;0;6;2;1;5;3;1;1;0;0;1;3;1;1;0;0;1;0;0;0;3;0;0;0;1;0;0;22;0;5;0;8;2;3;1;2;0;0;11;3;0;0;7;1;3;1;0;1;0;0;1;0;1;0;1;0;0;0;1;0;0
31586-4428;SUCESSO;0;0;46;2;0;0;8;2;0;2;0;0;0;0;0;0;0;1;0;3;2;1;5;0;2;0;0;2;2;0;0;0;3;3;0;1;0;1;2;0;0;0;2;0;0;4;0;0;0;0;1;0;26;1;0;0;3;1;1;0;0;0;0;0;1;1;0;7;0;6;0;4;1;0;0;1;0;0;0;53;4;2;1;0;15;0;0;0;0;0;0;0;6;3;1;0;0;0;2;0;0;5;1;0;0;8;0;5;0;16;4;1;8;3;2;2;0;0;2;2;1;1;0;0;2;0;0;0;3;0;0;0;0;0;1;20;0;2;0;4;1;1;0;3;2;0;18;0;3;1;4;0;0;1;0;6;1;0;3;2;9;4;3;1;0;0;0;0;0
31588-4429;insucesso;0;2;48;10;2;3;12;2;0;2;1;0;0;0;2;0;1;0;0;2;1;2;7;0;2;0;4;1;1;0;5;1;4;4;3;1;0;0;4;3;0;0;1;0;0;3;0;0;1;0;1;0;14;1;0;0;4;0;3;2;2;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;33;6;0;0;1;5;1;0;0;3;2;2;2;1;1;0;0;0;1;6;0;3;0;0;3;1;0;0;0;0;4;2;1;3;1;2;2;0;0;2;4;0;0;0;0;2;0;2;0;7;1;0;2;0;3;2;20;0;1;0;6;1;2;1;7;1;0;6;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;9;1;5;7;3
31589-4224;SUCESSO;0;2;20;1;0;0;7;2;0;1;0;0;0;1;0;0;0;2;2;3;2;1;6;0;1;0;0;1;0;0;1;0;4;4;1;0;0;1;3;2;0;0;1;0;0;8;1;0;0;0;1;1;9;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;2;0;1;0;23;5;1;0;0;3;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;3;3;0;0;6;5;1;0;12;1;1;10;2;2;2;0;0;1;4;1;1;0;1;2;1;0;0;3;0;0;2;0;0;3;16;0;0;0;4;0;1;0;1;1;0;10;0;1;1;8;1;0;1;1;1;1;0;1;0;2;0;2;1;0;0;0;1;0
