IdAluno;Resultado;1>;11>;11>11>;11>14>;11>31>;11>48>;11>9>;11>9>11>;12>;14>;14>11>;14>11>48>;14>14>;14>14>14>;14>14>14>14>;14>14>31>;14>14>41>;14>2>;14>3>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>31>31>30>;14>31>41>;14>31>48>;14>32>;14>32>31>;14>38>;14>38>14>;14>38>33>;14>39>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>48>;14>49>;14>7>;15>;15>31>;16>;16>31>;16>31>30>;17>;17>30>;17>30>14>;17>31>;2>;2>14>;2>31>;2>41>;28>;28>30>;29>;3>;3>2>;30>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>48>;30>31>;30>31>14>;30>31>30>;30>31>30>30>;30>31>30>31>;30>31>30>31>30>;30>31>30>31>30>31>;30>31>30>31>30>31>30>;30>41>;30>48>;30>48>31>;31>;31>14>;31>14>31>;31>14>31>30>;31>14>41>;31>15>;31>16>;31>16>31>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>31>;31>30>31>14>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>31>30>31>30>31>;31>30>31>30>31>30>31>30>;31>30>48>;31>31>;31>31>14>;31>31>30>;31>31>30>30>;31>31>31>;31>32>;31>38>;31>41>;31>41>41>;31>48>;31>48>30>;31>48>30>30>;32>;32>14>;32>31>;32>31>30>;33>;34>;34>36>;34>36>37>;34>37>;34>38>;36>;36>34>;36>34>37>;36>36>;36>36>34>;36>36>34>37>;36>36>36>;36>37>;37>;37>34>;37>36>;37>38>;38>;38>14>;38>14>31>;38>14>38>;38>31>;38>33>;38>36>;38>38>;39>;39>38>;4>;41>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;42>;46>;48>;48>14>;48>29>;48>30>;48>30>30>;48>31>;48>31>30>;48>48>;48>49>;49>;49>14>;49>48>;49>49>;49>49>48>;5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>5>;8>;9>;9>11>
18344-4912;insucesso;0;2;0;0;0;2;1;0;0;22;2;2;1;0;0;0;0;0;0;12;2;9;0;3;2;0;3;3;1;0;1;0;0;0;0;0;0;0;3;0;1;0;1;4;0;0;0;3;3;3;2;1;0;1;0;0;0;0;0;0;0;0;0;16;2;2;2;0;8;0;5;0;3;2;2;0;0;1;7;1;5;2;2;2;2;2;0;4;1;19;3;1;0;0;0;0;0;15;2;2;7;4;2;0;0;7;1;5;2;2;2;2;2;1;0;1;0;1;2;0;2;1;0;0;0;2;2;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;1;0;0;1;0;1;14;0;2;1;2;1;0;0;0;0;0;7;4;0;0;0;1;1;1;1;5;3;2;0;0;0;0;0;0;0;0;0;0;1;0
19653-6547;SUCESSO;2;2;0;0;0;0;0;0;0;28;1;0;0;0;0;0;0;1;0;8;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;2;1;0;0;0;0;0;2;2;1;9;6;0;3;7;0;0;0;1;1;0;0;0;24;3;1;1;2;3;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;3;0;0;23;0;0;0;0;0;0;0;11;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;6;6;1;1;3;0;6;2;2;1;0;0;0;3;6;2;0;3;9;2;0;0;2;4;0;0;0;0;0;17;1;2;0;5;1;1;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
20475-5786;SUCESSO;1;5;0;1;0;0;0;0;0;77;1;0;3;0;0;1;0;4;0;33;1;18;3;3;2;1;1;0;4;1;0;3;1;0;8;0;1;0;17;4;3;0;0;1;1;0;0;4;4;2;16;10;5;4;8;0;0;0;3;0;1;0;0;46;13;4;2;2;7;1;5;0;2;0;0;0;2;0;6;0;3;1;0;0;0;0;1;0;0;63;10;4;1;1;0;0;0;31;5;0;5;4;2;0;0;2;0;0;0;0;0;0;0;6;2;3;1;1;0;0;4;0;4;0;0;2;1;1;0;3;3;1;0;1;1;6;2;1;2;0;0;1;1;2;1;0;1;13;3;0;0;6;2;1;2;0;0;0;35;0;9;2;8;1;0;0;0;1;4;6;1;1;0;0;0;0;1;0;2;0;0;0;0;1;0;0;0;0;1;1;0;1;0
21206-5102;SUCESSO;0;3;0;0;0;0;0;0;0;109;2;0;2;0;0;0;0;4;0;20;0;8;0;3;2;1;0;0;3;1;0;1;1;0;1;0;0;0;21;1;6;2;0;0;2;0;0;4;4;2;5;1;0;3;6;1;0;0;0;0;0;0;0;46;2;0;0;1;19;1;8;0;2;1;0;0;2;0;5;0;1;0;0;0;0;0;2;1;0;50;4;2;1;0;0;0;0;20;1;0;8;4;2;1;0;0;0;0;0;0;0;0;0;7;2;1;1;0;0;0;3;0;1;0;0;3;1;0;0;4;3;0;0;2;1;8;3;2;0;0;0;0;0;2;0;0;0;10;1;1;0;0;4;1;0;1;0;0;54;4;4;1;13;0;3;1;0;2;0;4;1;0;1;0;0;0;2;0;0;0;0;0;0;0;3;1;1;0;5;0;0;1;0
21782-5786;insucesso;0;2;0;0;0;0;1;1;0;19;0;0;1;1;0;0;1;0;0;6;1;2;0;0;0;0;1;0;0;0;0;0;0;0;2;2;0;0;2;1;1;1;0;0;0;0;0;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;5;3;3;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;8;1;0;0;0;0;0;0;4;3;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;0;0;0;0;0;9;0;1;1;2;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
21853-6019;SUCESSO;0;6;0;1;0;0;0;0;0;58;4;0;1;0;0;0;0;4;0;16;3;9;2;3;2;0;0;0;2;0;0;1;0;0;3;0;0;0;8;0;1;1;3;3;3;0;0;2;2;1;3;1;0;2;9;1;0;0;0;0;2;0;0;15;2;2;1;0;7;0;6;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;30;6;1;0;1;0;0;0;13;2;2;5;4;1;1;0;0;0;0;0;0;0;0;0;4;1;0;0;1;0;0;1;0;3;2;0;6;2;3;0;4;3;1;0;0;1;5;1;0;0;0;0;0;1;4;2;0;1;11;1;1;0;0;4;1;0;0;0;0;26;0;1;1;4;1;1;0;0;0;0;15;4;1;2;0;0;0;2;0;6;0;0;0;0;0;0;0;0;0;3;0;0;1;0
21973-6547;SUCESSO;1;6;0;0;0;0;0;0;0;75;4;0;3;0;0;1;0;5;0;45;0;31;5;1;0;0;4;0;6;5;0;1;0;0;4;0;1;0;4;1;1;1;0;1;1;0;0;2;2;1;15;13;4;2;9;1;0;0;5;5;0;0;0;66;10;2;1;1;8;0;3;0;3;3;3;2;1;0;5;0;2;0;0;0;0;0;0;3;0;60;2;1;1;0;0;0;0;47;6;1;3;1;1;1;1;4;0;1;0;0;0;0;0;8;0;6;1;0;0;1;2;0;2;2;0;4;1;3;2;2;1;0;0;1;0;2;1;1;0;0;0;0;0;1;0;0;1;7;0;0;0;1;2;1;1;1;0;0;8;0;1;1;2;0;2;1;0;0;2;19;3;0;4;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;2;0;0;1;0
22435-4912;insucesso;0;6;0;0;0;2;1;1;1;47;2;1;3;0;0;1;0;2;0;19;3;11;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;5;1;4;2;1;3;2;0;0;2;2;1;1;0;0;1;4;0;1;0;0;0;2;2;1;22;2;1;1;0;6;0;2;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;2;1;0;39;5;1;0;0;0;0;0;17;1;0;5;2;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;1;1;0;0;1;0;4;1;1;1;1;1;0;0;1;0;0;1;3;1;0;0;0;0;0;0;0;0;0;15;0;3;0;7;1;4;2;2;0;0;7;3;2;0;0;0;0;1;1;6;2;3;3;2;0;0;0;0;0;2;0;0;1;1
22435-6547;SUCESSO;1;3;0;0;0;0;0;0;0;42;0;0;3;0;0;0;0;5;0;12;0;7;1;5;2;1;1;0;0;0;0;0;0;0;4;1;1;0;5;0;2;1;0;0;1;0;0;1;1;1;3;2;2;1;9;1;0;0;0;0;0;2;0;13;6;2;0;0;7;2;3;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;23;1;0;0;0;0;0;0;10;2;1;6;2;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;8;1;1;0;0;1;0;0;0;0;0;21;0;1;1;5;0;2;1;0;0;1;2;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
23859-6395;insucesso;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;3;3;0;0;0;0;0;0;0;1;0;0;0;0;0;9;0;0;2;0;0;0;0;0;0;0;0;2;1;0;1;0;1;0;0;1;0;1;10;1;0;0;6;0;5;3;1;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
